,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,人工智能,机器学习工程师,数据挖掘算法工程师 - 电商,字节跳动,3-6万/月,北京,民营公司,3-4年经验,6,招3人,,10000人以上
1,人工智能,机器学习工程师,AI软件设计工程师,北京国电经纬工程技术有限公司,1.5-2万/月,北京-海淀区,民营公司,3-4年经验,7,招1人,五险一金 节日福利 餐补,少于50人
2,人工智能,机器学习工程师,工业大数据算法专家,小米通讯技术有限公司,3-5万/月,北京-海淀区,民营公司,5-7年经验,7,招1人,,10000人以上
3,人工智能,机器学习工程师,算法工程师,中邮信息科技（北京）有限公司,2-4万/月,北京,国企,本科,6,招5人,五险一金 补充医疗保险 员工旅游 企业年金 通讯补贴 取暖补贴 员工食堂 交通补贴 定期体检 疗养基金,500-1000人
4,人工智能,机器学习工程师,高级算法工程师,普华永道信息技术（上海）有限公司,1.5-3万/月,异地招聘,外资（欧美）,本科,6,招若干人,,500-1000人
5,人工智能,机器学习工程师,AI推理系统开发工程师,北京达佳互联信息技术有限公司,3-6万/月,北京,上市公司,无需经验,6,招1人,,5000-10000人
6,人工智能,机器学习工程师,机器学习研究员,NEC（中国）有限公司,30-50万/年,北京-朝阳区,外资（非欧美）,1年经验,8,招1人,做五休二 五险一金 带薪年假 绩效奖金 专业培训,1000-5000人
7,人工智能,机器学习工程师,Python+人工智能讲师,北京晟景秀程教育科技有限责任公司,1.5-2万/月,北京-房山区,民营公司,3-4年经验,5,招若干人,包吃 包住宿 节日福利 绩效奖金 五险一金 周末双休,50-150人
8,人工智能,机器学习工程师,人工智能算法工程师,北京享控智能科技有限公司,2-3.5万/月,北京-朝阳区,民营公司,5-7年经验,6,招1人,五险一金 餐饮补贴 定期体检 年终奖金 节假日福利 专业培训,50-150人
9,人工智能,机器学习工程师,算法,深圳市德科信息技术有限公司,2.5-3.5万/月,北京-西城区,民营公司,5-7年经验,7,招2人,五险一金 年终奖金 绩效奖金 商业意外险 周末双休 每年一次调薪,
10,人工智能,机器学习工程师,AI开发工程师,深圳市华云中盛科技股份有限公司,1.5-2.5万/月,北京-朝阳区,民营公司,3-4年经验,5,招2人,五险一金 专业培训 绩效奖金 年终奖金 通讯补贴,500-1000人
11,人工智能,机器学习工程师,气象机器学习工程师（kzx）,航天宏图信息技术股份有限公司,1.5-4万/月,北京-海淀区,上市公司,1年经验,6,招2人,,1000-5000人
12,人工智能,机器学习工程师,机器学习算法工程师,英特工程仿真技术（大连）有限公司,1.5-3万/月,北京-海淀区,民营公司,无需经验,7,招若干人,五险一金 交通补贴 绩效奖金 年终奖金 定期体检 通讯补贴 餐饮补贴 研发奖金 专业培训 节日福利,50-150人
13,人工智能,机器学习工程师,NLP工程师,北京安德信业信息咨询有限责任公司,2.5-4万/月,北京-朝阳区,民营公司,3-4年经验,6,招2人,员工旅游 专业培训 绩效奖金 年终奖金 全勤奖 带薪年假 餐饮补贴 加班补贴 节日福利 六险一金,50-150人
14,人工智能,机器学习工程师,机器学习与大数据智能处理算法工程师,中国科学院计算机网络信息中心,0.6-1.8万/月,北京,事业单位,本科,6,招1人,五险一金 补充医疗保险 餐饮补贴 定期体检 年终奖金 绩效奖金 弹性工作 专业培训,500-1000人
15,人工智能,机器学习工程师,架构师（机器学习平台）,东方微银科技股份有限公司,3-5万/月,北京-海淀区,民营公司,3-4年经验,6,招1人,五险一金 餐饮补贴 通讯补贴 定期体检 专业培训 带薪年假 节日福利,150-500人
16,人工智能,机器学习工程师,人工智能AI算法工程师/AI智能机器人训练师/AI训练师,大连隆基信息技术有限公司,1.5-2.5万/月,北京-朝阳区,外资（非欧美）,无需经验,6,招若干人,五险一金 补充医疗保险 交通补贴 餐饮补贴 年终奖金 定期体检 周末双休 弹性工作 带薪年假 节日福利,150-500人
17,人工智能,机器学习工程师,区块链研究员,大连飞创信息技术有限公司,3.5-6万/月,北京-朝阳区,国企,2年经验,7,招1人,五险一金 补充医疗保险 交通补贴 定期体检 年终奖金 绩效奖金 专业培训 免费早午餐,150-500人
18,人工智能,机器学习工程师,机器学习算法工程师,北京华清信安科技有限公司,1.2-1.8万/月,北京-朝阳区,民营公司,2年经验,6,招1人,年终奖金 交通补贴 员工旅游 专业培训,50-150人
19,人工智能,机器学习工程师,用户画像算法工程师,同方知网（北京）技术有限公司,1.5-2.5万/月,北京,外资（欧美）,3-4年经验,6,招1人,免费早午餐 办公环境好 健身俱乐部 五险一金 补充医疗保险 免费班车 定期体检 绩效奖金,1000-5000人
20,人工智能,机器学习工程师,机器学习算法工程师（LT1sl）(J12608),北京东方国信科技股份有限公司,1-2万/月,北京,上市公司,2年经验,6,招1人,五险一金 年终奖金 定期体检 专业培训 餐饮补贴,5000-10000人
21,人工智能,机器学习工程师,AI/数据训练工程师,北京赛迈特锐医疗科技有限公司,0.6-1.2万/月,北京-西城区,民营公司,1年经验,5,招4人,五险一金 交通补贴 餐饮补贴 通讯补贴 员工旅游 年终奖金 定期体检 专业培训,50-150人
22,人工智能,机器学习工程师,算法工程师,上海艾融软件股份有限公司,0.8-2万/月,北京-海淀区,民营公司,1年经验,6,招若干人,五险一金 定期体检 专业培训 餐饮补贴,500-1000人
23,人工智能,机器学习工程师,Software Engineer (Machine Learning),亿磐,,北京-朝阳区,外资（欧美）,1年经验,,招若干人,专业培训 弹性工作 五险一金 补充医疗保险 上市公司 发展空间大,10000人以上
24,人工智能,机器学习工程师,数据挖掘工程师(J10403),中移（杭州）信息技术有限公司,2-3万/月,北京-西城区,国企,2年经验,6,招1人,五险一金 交通补贴 餐饮补贴 绩效奖金 补充医疗保险 年终奖金 定期体检 通讯补贴,1000-5000人
25,人工智能,机器学习工程师,7K+人工智能机器人实习,北京彩色鲤鱼科技有限公司,6-8千/月,北京-朝阳区,民营公司,无需经验,5,招若干人,五险一金 弹性工作 定期体检 员工旅游 补充公积金,50-150人
26,人工智能,机器学习工程师,数据挖掘,长安通信科技有限责任公司,1.6-2.1万/月,北京-海淀区,国企,2年经验,6,招1人,五险一金 餐饮补贴 定期体检 年终奖金 绩效奖金,500-1000人
27,人工智能,机器学习工程师,AIOps开发工程师,北京神州泰岳软件股份有限公司,1.5-2.5万/月,北京-朝阳区,上市公司,1年经验,6,招1人,补充医疗保险 餐饮补贴 员工旅游 定期体检 年终奖金,1000-5000人
28,人工智能,机器学习工程师,AI机器算法/人工智能,北京迈高材云科技有限公司,1-1.5万/月,北京-海淀区,民营公司,无需经验,7,招3人,五险一金 交通补贴 餐饮补贴 通讯补贴 周末双休,50-150人
29,人工智能,机器学习工程师,Ai训练师,小i机器人,6-8千/月,北京-丰台区,民营公司,1年经验,6,招若干人,五险一金 补充医疗保险 年终奖金 绩效奖金 专业培训 弹性工作 定期体检,500-1000人
30,人工智能,机器学习工程师,机器人ROS工程师,北京能创科技有限公司,1.5-3.5万/月,北京-顺义区,民营公司,3-4年经验,7,招若干人,五险一金 定期体检 周末双休,50-150人
31,人工智能,机器学习工程师,机器人训练师,北京掌上先机网络科技有限公司,0.8-1.3万/月,北京-海淀区,民营公司,2年经验,6,招1人,五险一金 通讯补贴 年终奖金 周末双休 餐饮补贴 交通补贴,1000-5000人
32,人工智能,机器学习工程师,好平台好项目合伙人,北京蚂蚁嘉汇科技有限公司,3-4万/月,北京-朝阳区,民营公司,无需经验,5,招3人,五险一金 员工旅游 通讯补贴 专业培训 绩效奖金 年终奖金 股票期权 弹性工作,50-150人
33,人工智能,机器学习工程师,技术新星-知识图谱工程师 (MJ002649),神州数码信息服务股份有限公司,1.5-2万/月,北京,上市公司,在校生/应届生,7,招2人,五险一金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 年终奖金 定期体检,5000-10000人
34,人工智能,机器学习工程师,管培生-技术序列,金电联行（北京）信息技术有限公司,0.8-1万/月,北京-朝阳区,民营公司,在校生/应届生,7,招3人,五险一金 员工旅游 通讯补贴 年终奖金 定期体检,500-1000人
