,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,后端开发,Java开发工程师,Java开发工程师,北京神州九盛软件股份有限公司,0.7-1.5万/月,北京-海淀区,民营公司,1年经验,5,招2人,交通补贴 年终奖金 通讯补贴 周末双休,少于50人
1,后端开发,Java开发工程师,Java开发工程师（朝阳-金融）,华付云技术（深圳）有限公司,1.6-2.2万/月,异地招聘,民营公司,3-4年经验,5,招2人,,1000-5000人
2,后端开发,Java开发工程师,Java开发工程师,北京心玺健康科技有限公司,1.5-2万/月,北京-海淀区,民营公司,5-7年经验,7,招4人,五险一金 弹性工作 年终奖金 餐饮补贴,50-150人
3,后端开发,Java开发工程师,应届生Java程序员,北京华电园信息技术有限公司,0.6-1.2万/月,北京-海淀区,民营公司,无需经验,6,招10人,五险一金 交通补贴 年终奖金,50-150人
4,后端开发,Java开发工程师,Java开发工程师(金融01）,申朴信息技术（上海）股份有限公司,1.5-2万/月,北京-丰台区,上市公司,3-4年经验,6,招5人,做五休二 周末双休 带薪年假 五险一金 节日福利 高温补贴,500-1000人
5,后端开发,Java开发工程师,Java开发工程师,蓝普金睛（北京）科技有限公司,1-2万/月,北京-朝阳区,民营公司,5-7年经验,6,招2人,五险一金 员工旅游 绩效奖金 年终奖金,
6,后端开发,Java开发工程师,Java开发工程师,北京汉克时代科技有限公司,1.2-2.2万/月,北京-海淀区,民营公司,5-7年经验,5,招2人,,1000-5000人
7,后端开发,Java开发工程师,Java开发工程师（金融科技行业）,汉堂软件工程（上海）有限公司,1.2-2万/月,北京-西城区,民营公司,3-4年经验,6,招5人,五险一金 补充医疗保险 免费班车 定期体检 做五休二 带薪年假 绩效奖金 年终奖金,150-500人
8,后端开发,Java开发工程师,Java中高级开发工程师,北京久其软件股份有限公司,1.2-1.8万/月,北京-海淀区,上市公司,3-4年经验,6,招3人,五险一金 员工旅游 餐饮补贴 通讯补贴 绩效奖金 定期体检 专业培训 免费班车 年终奖金,1000-5000人
9,后端开发,Java开发工程师,高级Java开发工程师 (MJ007331),广联达,1.8-2.5万/月,北京-海淀区,上市公司,3-4年经验,6,招1人,,5000-10000人
10,后端开发,Java开发工程师,驻场开发&实施,北京恒信启华信息技术有限公司,0.6-1.3万/月,北京-海淀区,民营公司,2年经验,5,招10人,五险一金 补充医疗保险 定期体检 探亲假,50-150人
11,后端开发,Java开发工程师,JAVA开发工程师-讯飞数码-北京,科大讯飞股份有限公司,2-3万/月,北京-海淀区,上市公司,3-4年经验,6,招若干人,五险一金 餐饮补贴 通讯补贴 年终奖金 定期体检 补充医疗保险 试用期全额 14薪,1000-5000人
12,后端开发,Java开发工程师,Java开发工程师,北京节点通网络技术有限公司,1-2万/月,北京-海淀区,民营公司,5-7年经验,5,招1人,五险一金 补充医疗保险 员工旅游 绩效奖金 定期体检 交通补贴 通讯补贴,50-150人
13,后端开发,Java开发工程师,Java开发（北京顺义区）,上海奥拓翰明计算机科技有限公司,0.6-1.2万/月,北京-顺义区,民营公司,1年经验,6,招3人,五险一金 餐饮补贴 员工旅游 定期体检,150-500人
14,后端开发,Java开发工程师,Java开发工程师,深圳市络道科技有限公司,1-1.5万/月,北京-西城区,国企,3-4年经验,6,招2人,,150-500人
15,后端开发,Java开发工程师,初级JAVA开发师,北京银信长远科技股份有限公司,0.8-1万/月,北京-朝阳区,上市公司,3-4年经验,6,招1人,午餐补助 通讯津贴 电脑补助 带薪年假 定期体检 五险一金 意外保险,1000-5000人
16,后端开发,Java开发工程师,Java人员,新东网科技有限公司,15-20万/年,北京-朝阳区,民营公司,2年经验,5,招若干人,五险一金 绩效奖金 专业培训 定期体检,500-1000人
17,后端开发,Java开发工程师,高级Java开发工程师,北京轩宇信息技术有限公司,1.5-2.5万/月,北京,国企,3-4年经验,6,招2人,餐饮补贴 五险一金 补充医疗保险 专业培训 定期体检 高温补贴 劳保费 节日福利,150-500人
18,后端开发,Java开发工程师,Java开发工程师,北京石基大商信息技术有限公司,1-1.8万/月,北京-朝阳区,上市公司,3-4年经验,6,招2人,五险一金 通讯补贴 定期体检 带薪年假 员工福利 周末双休 弹性工作 节日福利 年终奖金 季度奖金,500-1000人
19,后端开发,Java开发工程师,Java开发工程师（初级）,上海安托信息技术有限公司,0.8-1.5万/月,北京-东城区,民营公司,1年经验,6,招2人,周末双休 带薪年假 五险一金 绩效奖金 专业培训 通讯补贴 出差补贴 员工旅游 补充医疗保险 定期体检,150-500人
20,后端开发,Java开发工程师,Java后端开发工程师（SZZF1zjf）(J12489),北京东方国信科技股份有限公司,0.8-1.5万/月,北京,上市公司,1年经验,6,招4人,五险一金 年终奖金 定期体检 专业培训 餐饮补贴,5000-10000人
21,后端开发,Java开发工程师,Java中级开发工程师,北京南天软件有限公司,1.2-1.4万/月,北京,上市公司,3-4年经验,6,招10人,五险一金 绩效奖金,1000-5000人
