,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,数据,数据分析经理/主管,业务应用研究员,红盾大数据（北京）有限公司,1-1.5万/月,北京-海淀区,合资,2年经验,7,招5人,五险一金 补充医疗保险 餐饮补贴 交通补贴 年终奖金 定期体检,50-150人
1,数据,数据分析经理/主管,数据分析师,北京澎湃信用管理有限公司,1-2万/月,北京-朝阳区,民营公司,3-4年经验,7,招1人,五险一金 员工旅游 餐饮补贴 专业培训 绩效奖金 定期体检,50-150人
2,数据,数据分析经理/主管,数据分析师,北京中农信达信息技术有限公司,1.5-2万/月,北京-海淀区,上市公司,3-4年经验,6,招2人,绩效奖金 周末双休 带薪年假 节日福利 五险一金 专业培训,1000-5000人
3,数据,数据分析经理/主管,数据分析经理,北京呈创科技股份有限公司,30-50万/年,北京-西城区,民营公司,5-7年经验,7,招1人,五险一金 补充医疗保险 绩效奖金 过节福利 专业培训,50-150人
4,数据,数据分析经理/主管,数据咨询部部门经理,陆泽科技有限公司,1.5-2万/月,北京-大兴区,民营公司,8-9年经验,6,招1人,,
5,数据,数据分析经理/主管,数据分析经理（数据产品经理）,匡衡软件（北京）有限公司,1.5-2.5万/月,北京-朝阳区,民营公司,3-4年经验,6,招1人,五险一金 通讯补贴 年终奖金 定期体检 员工旅游 绩效奖金,少于50人
6,数据,数据分析经理/主管,数据分析专员（应届生优先）,北京地大方圆广告设计有限公司,6-8千/月,北京-朝阳区,民营公司,无需经验,5,招3人,周末双休 弹性工作 五险一金 免费班车 专业培训 全勤奖 节日福利 交通补贴 通讯补贴 绩效奖金,50-150人
7,数据,数据分析经理/主管,数据分析专员（五险，可应届）,北京彩色鲤鱼科技有限公司,6-8千/月,异地招聘,民营公司,无需经验,5,招若干人,,50-150人
8,数据,数据分析经理/主管,商业数据分析师,华云数通科技（北京）有限公司,0.8-1万/月,北京-通州区,民营公司,无需经验,5,招10人,五险一金 免费班车 交通补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检 股票期权 餐饮补贴,150-500人
9,数据,数据分析经理/主管,数据分析师,罗科仕科技（北京）股份有限公司,1.5-2万/月,北京-朝阳区,创业公司,3-4年经验,6,招1人,五险一金 交通补贴 餐饮补贴 弹性工作 年终奖金,50-150人
10,数据,数据分析经理/主管,数字营销经理,上海古星电子商务有限公司,2.5-3万/月,北京-丰台区,外资（非欧美）,5-7年经验,6,招1人,周末双休 弹性工作 带薪年假 五险一金 补充医疗保险 年底双薪,500-1000人
11,数据,数据分析经理/主管,数据产品经理,中视士德数据科技（北京）有限公司,24-25万/年,北京-海淀区,民营公司,3-4年经验,6,招1人,五险一金 交通补贴 餐饮补贴 通讯补贴,50-150人
12,数据,数据分析经理/主管,服务信息运营,小米通讯技术有限公司,15-20万/年,北京-海淀区,民营公司,2年经验,6,招1人,,10000人以上
13,数据,数据分析经理/主管,高级数据仓库leader（数据平台）,北京达佳互联信息技术有限公司,4-7万/月,北京-海淀区,上市公司,8-9年经验,6,招若干人,,5000-10000人
14,数据,数据分析经理/主管,医学数据挖掘与分析主管/经理,广州天鹏计算机科技有限公司,1-2万/月,北京,民营公司,2年经验,7,招若干人,绩效奖金 餐饮补贴 员工旅游 专业培训 股票期权 定期体检 项目奖金 做五休二 交通便利 六险一金,150-500人
15,数据,数据分析经理/主管,数据安全工程师,阿米华晟数据科技（江苏）有限公司,1-1.5万/月,北京-朝阳区,民营公司,3-4年经验,5,招2人,五险一金 13薪 专业培训 绩效奖金 年终奖金 定期体检 员工旅游,50-150人
16,数据,数据分析经理/主管,商业分析负责人,北京安德信业信息咨询有限责任公司,5-7万/月,北京-朝阳区,民营公司,8-9年经验,6,招若干人,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 全勤奖 带薪年假,50-150人
17,数据,数据分析经理/主管,软件项目经理（北京）,上海瑞谷拜特软件技术有限公司,1-2万/月,北京-海淀区,民营公司,3-4年经验,6,招2人,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检 专业培训,150-500人
18,数据,数据分析经理/主管,项目经理,北京智达方通科技有限公司,1.5-2.5万/月,北京-朝阳区,民营公司,5-7年经验,7,招1人,五险一金 弹性工作 周末双休 差旅补贴,50-150人
19,数据,数据分析经理/主管,Software Engineer (Data Mining),亿磐,,北京-朝阳区,外资（欧美）,3-4年经验,,招若干人,专业培训 弹性工作 五险一金 补充医疗保险 上市公司 发展空间大,10000人以上
20,数据,数据分析经理/主管,大数据应用开发经理,北京根网科技有限公司,2.5-3.5万/月,北京-海淀区,民营公司,10年以上经验,6,招1人,,500-1000人
21,数据,数据分析经理/主管,需求分析师,北京汉王影研科技有限公司,1-1.5万/月,北京-朝阳区,民营公司,1年经验,5,招5人,,500-1000人
22,数据,数据分析经理/主管,业务分析主管/专员,云从科技,1.5-2.5万/月,北京,民营公司,在校生/应届生,6,招1人,五险一金 免费班车 餐饮补贴 专业培训 绩效奖金 年终奖金 弹性工作,1000-5000人
23,数据,数据分析经理/主管,管培生-行业咨询与解决方案方向,北京旷视科技有限公司,1.5-2.2万/月,北京-海淀区,民营公司,在校生/应届生,6,招若干人,周末双休 五险一金 餐饮补贴 弹性工作 免费班车,1000-5000人
24,数据,数据分析经理/主管,电商数据咨询经理,陆泽科技有限公司,1-2万/月,北京-大兴区,民营公司,5-7年经验,6,招2人,,
25,数据,数据分析经理/主管,数据分析文员,北京地大方圆广告设计有限公司,6-8千/月,北京-朝阳区,民营公司,无需经验,5,招若干人,周末双休 弹性工作 五险一金 免费班车 专业培训 全勤奖 节日福利 交通补贴 通讯补贴 绩效奖金,50-150人
26,数据,数据分析经理/主管,数据分析实习生,北京地大方圆广告设计有限公司,6-8千/月,异地招聘,民营公司,无需经验,5,招若干人,周末双休 弹性工作 五险一金 免费班车 专业培训 全勤奖 节日福利 交通补贴 通讯补贴 绩效奖金,50-150人
27,数据,数据分析经理/主管,数据采集助理/专员（应届生优先）,北京地大方圆广告设计有限公司,6-8千/月,异地招聘,民营公司,无需经验,5,招3人,周末双休 弹性工作 五险一金 免费班车 专业培训 全勤奖 节日福利 交通补贴 通讯补贴 绩效奖金,50-150人
28,数据,数据分析经理/主管,金融数据分析助理,北京地大方圆广告设计有限公司,6-8千/月,北京-朝阳区,民营公司,无需经验,5,招若干人,周末双休 弹性工作 五险一金 免费班车 专业培训 全勤奖 节日福利 交通补贴 通讯补贴 绩效奖金,50-150人
29,数据,数据分析经理/主管,数据分析实习生,北京地大方圆广告设计有限公司,6-8千/月,北京-丰台区,民营公司,无需经验,5,招若干人,周末双休 弹性工作 五险一金 免费班车 专业培训 全勤奖 节日福利 交通补贴 通讯补贴 绩效奖金,50-150人
30,数据,数据分析经理/主管,数据清洗分析助理（可应届）,北京彩色鲤鱼科技有限公司,6-8千/月,异地招聘,民营公司,无需经验,5,招若干人,,50-150人
31,数据,数据分析经理/主管,数据清洗分析助理（可应届）,北京彩色鲤鱼科技有限公司,4.5-6千/月,异地招聘,民营公司,无需经验,5,招若干人,,50-150人
32,数据,数据分析经理/主管,数据清洗分析助理（可应届）,北京彩色鲤鱼科技有限公司,6-8千/月,异地招聘,民营公司,无需经验,5,招若干人,,50-150人
33,数据,数据分析经理/主管,数据清洗分析助理（可应届）,北京彩色鲤鱼科技有限公司,6-8千/月,异地招聘,民营公司,无需经验,5,招若干人,,50-150人
34,数据,数据分析经理/主管,数据清洗分析助理（可应届）,北京彩色鲤鱼科技有限公司,6-8千/月,异地招聘,民营公司,无需经验,5,招若干人,,50-150人
35,数据,数据分析经理/主管,数据清洗分析助理（可应届）,北京彩色鲤鱼科技有限公司,6-8千/月,北京-海淀区,民营公司,无需经验,5,招若干人,,50-150人
36,数据,数据分析经理/主管,数据库产品经理-金融客户端方向,匡衡软件（北京）有限公司,1.5-2.5万/月,北京-朝阳区,民营公司,2年经验,6,招1人,五险一金 通讯补贴 年终奖金 定期体检 员工旅游 绩效奖金,少于50人
37,数据,数据分析经理/主管,文员（数据分析方向）,北京地大方圆广告设计有限公司,6-8千/月,异地招聘,民营公司,无需经验,5,招3人,周末双休 弹性工作 五险一金 免费班车 专业培训 全勤奖 节日福利 交通补贴 通讯补贴 绩效奖金,50-150人
38,数据,数据分析经理/主管,数据分析统计员（五险，可应届）,北京彩色鲤鱼科技有限公司,6-8千/月,北京-丰台区,民营公司,无需经验,5,招若干人,,50-150人
39,数据,数据分析经理/主管,数据产品经理助理,华云数通科技（北京）有限公司,6-8千/月,北京-海淀区,民营公司,无需经验,5,招5人,五险一金 免费班车 交通补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检 股票期权 餐饮补贴,150-500人
40,数据,数据分析师,500强PayPal AML Rules Data Analyst,美银宝网络信息服务（上海）有限公司,3-4万/月,北京,外资（欧美）,5-7年经验,6,招1人,五险一金 补充医疗保险 专业培训 定期体检,1000-5000人
41,数据,数据分析师,数据分析主管,上海梯之星信息科技有限公司,1.5-2万/月,北京-通州区,民营公司,3-4年经验,6,招1人,五险一金 周末双休 早九晚六 带薪年假 绩效奖金 节日福利 餐饮补贴,150-500人
42,数据,数据分析师,数据解译,北京国电经纬工程技术有限公司,1.5-2万/月,北京-海淀区,民营公司,3-4年经验,7,招1人,五险一金 节日福利 餐补,少于50人
43,数据,数据分析师,数据挖掘算法工程师(J10912),亚联(天津)信息技术有限责任公司北京分公司,1.4-2.5万/月,北京-西城区,民营公司,3-4年经验,6,招若干人,五险一金 餐饮补贴 绩效奖金 年终奖金 定期体检,500-1000人
44,数据,数据分析师,数据分析师,北京友邦佳通电子科技有限公司,1-2万/月,北京,民营公司,3-4年经验,6,招1人,带薪年假 节日福利 五险一金 加班补贴 年底双薪 年终奖金 绩效奖金,150-500人
45,数据,数据分析师,数据工程师-丰台,北京安德医智科技有限公司,0.8-1.2万/月,北京-丰台区,民营公司,2年经验,6,招若干人,五险一金,150-500人
46,数据,数据分析师,数据分析师,中视士德数据科技（北京）有限公司,14-15万/年,北京-海淀区,民营公司,2年经验,6,招1人,五险一金 交通补贴 餐饮补贴 通讯补贴,50-150人
47,数据,数据分析师,中级数据处理工程师,中邮信息科技（北京）有限公司,2-4万/月,北京,国企,2年经验,6,招若干人,五险一金 补充医疗保险 员工旅游 企业年金 通讯补贴 取暖补贴 员工食堂 交通补贴 定期体检 疗养基金,500-1000人
48,数据,数据分析师,风控安全运营-数据运营方向,字节跳动,1.5-2.5万/月,北京,民营公司,3-4年经验,6,招2人,下午茶 健身瑜伽 六险一金 团队氛围好 晋升空间大 带薪休假 扁平管理 用户过亿 大牛带队 免费三餐,10000人以上
49,数据,数据分析师,数据分析师,中软国际科技服务有限公司,0.9-1.3万/月,北京-海淀区,合资,2年经验,6,招1人,免费班车 绩效奖金 年终奖金 弹性工作 定期体检 员工旅游 五险一金,10000人以上
50,数据,数据分析师,数据分析师,印孚瑟斯技术（中国）有限公司,1-2.5万/月,北京-东城区,外资（非欧美）,3-4年经验,5,招3人,五险一金 补充医疗保险 年终奖金,1000-5000人
51,数据,数据分析师,资深数据分析专家（内容与增长）-[DA],北京达佳互联信息技术有限公司,3-6万/月,北京,上市公司,无需经验,6,招1人,,5000-10000人
52,数据,数据分析师,数据分析工程师 (MJ002077),神州数码信息服务股份有限公司,1.1-1.6万/月,北京-朝阳区,上市公司,3-4年经验,6,招4人,,5000-10000人
53,数据,数据分析师,数据分析师（BI系统方向）(J17347),瑞庭网络技术（上海）有限公司北京分公司-安居客,1.5-2万/月,北京-朝阳区,外资（非欧美）,2年经验,6,招1人,,1000-5000人
54,数据,数据分析师,数据分析师,北京融数循唐信息技术有限责任公司,0.8-1.2万/月,北京-西城区,创业公司,2年经验,5,招1人,,少于50人
55,数据,数据分析师,数据分析师,北京海新诺安科技有限公司,7-9千/月,北京-朝阳区,民营公司,1年经验,6,招1人,五险一金,
