,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,前端开发,Web前端开发,前端RD,慧博云通科技有股份有限公司,0.8-1.2万/月,北京-大兴区,民营公司,1年经验,6,招2人,五险一金 补充医疗保险 定期体检 弹性工作 绩效奖金,1000-5000人
1,前端开发,Web前端开发,高级前端开发工程师,北京晓羊教育科技集团有限公司,1.5-2.5万/月,北京-海淀区,民营公司,3-4年经验,5,招1人,五险一金 周末双休 补充医疗保险 餐饮补贴 定期体检,150-500人
2,前端开发,Web前端开发,前端开发工程师,北京东软越通软件技术有限公司,1-2万/月,北京-海淀区,民营公司,3-4年经验,6,招5人,绩效奖金 带薪年假 餐饮补贴 通讯补贴 交通补贴 五险一金,10000人以上
3,前端开发,Web前端开发,小程序开发/前端,翌飞锐特电子商务（北京）有限公司,1-2万/月,北京-顺义区,民营公司,3-4年经验,5,招2人,五险一金 周末双休 全勤奖 带薪年假,150-500人
4,前端开发,Web前端开发,前端开发工程师,北京大数元科技发展有限公司,1-1.5万/月,北京-海淀区,民营公司,2年经验,6,招1人,五险一金 补充医疗保险 交通补贴 通讯补贴 餐饮补贴,150-500人
5,前端开发,Web前端开发,前端开发工程师,深圳思谋信息科技有限公司,2.5-5万/月,异地招聘,外资（非欧美）,3-4年经验,6,招若干人,五险一金 绩效奖金 年终奖金 定期体检 专业培训,150-500人
6,前端开发,Web前端开发,Web前端工程师（顺义）,北京安德医智科技有限公司,2-3.5万/月,北京-丰台区,民营公司,3-4年经验,6,招3人,五险一金,150-500人
7,前端开发,Web前端开发,前端开发工程师,北京南北天地科技股份有限公司,1-1.8万/月,北京,民营公司,2年经验,6,招2人,五险一金 补充医疗保险 专业培训 餐饮补贴 年终奖金 定期体检 弹性工作,150-500人
8,前端开发,Web前端开发,Web前端开发工程师,北京腾信软创科技股份有限公司,1.5-2万/月,北京-海淀区,上市公司,3-4年经验,6,招2人,五险一金 员工旅游 餐饮补贴 股票期权,1000-5000人
9,前端开发,Web前端开发,前端开发工程师,上海塔罗信息技术有限公司,1.1-1.8万/月,北京-西城区,民营公司,3-4年经验,6,招1人,五险一金 员工旅游 定期体检,50-150人
10,前端开发,Web前端开发,Web前端开发工程师,天地图有限公司,1-2万/月,北京-海淀区,民营公司,2年经验,5,招10人,五险一金 员工旅游 交通补贴 餐饮补贴 年终奖金 绩效奖金,
11,前端开发,Web前端开发,Web前端开发工程师,北京能创科技有限公司,1.5-3万/月,北京-顺义区,民营公司,5-7年经验,6,招若干人,五险一金 定期体检,50-150人
12,前端开发,Web前端开发,Web前端开发工程师,上海永映软件有限公司,1-1.5万/月,北京-西城区,民营公司,3-4年经验,5,招10人,,50-150人
13,前端开发,Web前端开发,WEB前端开发工程师,北京轩宇信息技术有限公司,1.2-1.8万/月,北京,国企,3-4年经验,6,招1人,餐饮补贴 五险一金 补充医疗保险 专业培训 定期体检 高温补贴 劳保费 节日福利,150-500人
14,前端开发,Web前端开发,Web前端开发工程师（SZZF1zjf）(J12490),北京东方国信科技股份有限公司,0.8-1.5万/月,北京,上市公司,1年经验,6,招4人,五险一金 年终奖金 定期体检 专业培训 餐饮补贴,5000-10000人
15,前端开发,Web前端开发,前端工程师,长城计算机软件与系统有限公司,1-1.5万/月,北京-海淀区,国企,2年经验,6,招若干人,周末双休 五险一金 节日福利 餐饮补贴 交通补贴 带薪年假,1000-5000人
16,前端开发,Web前端开发,Web前端开发工程师,北京格瑞得科技有限公司,1-1.5万/月,北京-海淀区,民营公司,2年经验,6,招2人,,少于50人
17,前端开发,Web前端开发,Web前端开发工程师,北京嘉和星华科技有限公司,0.8-1.5万/月,北京-海淀区,民营公司,2年经验,6,招5人,,少于50人
18,前端开发,Web前端开发,前端工程师,光辉城市（重庆）科技有限公司,1.5-2万/月,北京,民营公司,2年经验,6,招3人,五险一金 员工旅游 交通补贴 通讯补贴 年终奖金 定期体检,150-500人
