,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,游戏,游戏开发工程师,Unity3D开发工程师 (手游客户端,北京米达科技有限公司,1-2.5万/月,北京-朝阳区,民营公司,3-4年经验,6,招1人,,少于50人
1,游戏,游戏开发工程师,"视景工程师（C#,Unity熟练）",北京东方瑞丰航空技术有限公司,1-1.5万/月,北京,民营公司,2年经验,6,招2人,五险一金 年终奖金 定期体检 弹性工作 餐饮补贴 带薪年假,50-150人
2,游戏,游戏开发工程师,游戏开发工程师,北京腾信软创科技股份有限公司,1-1.5万/月,北京-朝阳区,上市公司,3-4年经验,5,招2人,五险一金 员工旅游 餐饮补贴 股票期权,1000-5000人
3,游戏,游戏开发工程师,PHP开发工程师,武汉牧望群网络科技有限公司,1.2-3万/月,异地招聘,合资,2年经验,5,招5人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
4,游戏,游戏开发工程师,Unity开发工程师,北京天人同达软件科技有限公司,1.2-2万/月,北京-海淀区,民营公司,1年经验,5,招1人,五险一金 员工旅游 餐饮补贴 年终奖金,50-150人
5,游戏,游戏开发工程师,Cocos Creator游戏开发,博彦科技股份有限公司,1-1.5万/月,北京,上市公司,2年经验,6,招1人,五险一金 专业培训 年终奖金 弹性工作 定期体检 免费班车 绩效奖金,10000人以上
6,游戏,游戏开发工程师,Cocos Creator开发工程师,柯莱特科技股份有限公司,1.5-2万/月,北京,上市公司,1年经验,5,招若干人,五险一金,5000-10000人
7,游戏,游戏开发工程师,足球游戏核心玩法开发,北京拱顶石科技有限公司,2-4万/月,北京-朝阳区,民营公司,3-4年经验,6,招1人,,
8,游戏,游戏开发工程师,Cry Engine开发工程师,深圳臻像科技有限公司,2.5-3万/月,北京-石景山区,民营公司,2年经验,6,招1人,五险一金 全勤奖 周末双休 节日福利,少于50人
9,游戏,游戏开发工程师,C++开发程序员,北京像素软件科技股份有限公司,3-3.5万/月,北京-朝阳区,民营公司,2年经验,5,招1人,五险一金 餐饮补贴 绩效奖金 定期体检,150-500人
10,游戏,游戏开发工程师,H5游戏前端开发工程师,迪原创新（北京）科技有限公司,1-1.5万/月,北京-海淀区,民营公司,2年经验,6,招若干人,,150-500人
11,游戏,游戏开发工程师,Cocos creator游戏开发,浙江杰游网络科技有限公司,0.5-1万/月,异地招聘,民营公司,2年经验,5,招2人,五险一金 弹性工作 不加班 包住宿,少于50人
12,游戏,游戏开发工程师,Cocos creator开发工程师+双休,知了育才（北京）科技有限公司,2.5-3.5万/月,北京-海淀区,创业公司,1年经验,5,招30人,,1000-5000人
13,游戏,游戏开发工程师,工具开发工程师,北京智造宝科技有限公司,1.5-3万/月,北京-朝阳区,民营公司,3-4年经验,6,招若干人,周末双休 弹性工作 带薪年假 五险一金 绩效奖金 节日福利 专业培训 免费班车 年终奖金 股票期权,50-150人
14,游戏,游戏开发工程师,7k+游戏设计开发,北京彩色鲤鱼科技有限公司,6-8千/月,北京-丰台区,民营公司,无需经验,5,招若干人,五险一金 弹性工作 定期体检 员工旅游 补充公积金,50-150人
15,游戏,游戏开发工程师,游戏开发工程师,北京立言科技有限公司,1.5-2万/月,北京-朝阳区,民营公司,3-4年经验,6,招若干人,五险一金 餐饮补贴 年终奖金 弹性工作 免费下午茶,少于50人
16,游戏,游戏开发工程师,Unity3D研发工程师,北京中教启星科技股份有限公司,1.5-2万/月,北京,民营公司,3-4年经验,6,招2人,五险一金 专业培训 绩效奖金 年终奖金 交通补贴 餐饮补贴 通讯补贴,150-500人
17,游戏,游戏开发工程师,Cocos Creator 游戏开发工程师,北京米兜科技有限公司,0.8-1万/月,北京-海淀区,合资,2年经验,6,招5人,五险一金 专业培训 出国机会 绩效奖金 年终奖金 员工旅游,50-150人
18,游戏,游戏开发工程师,c++,北京友邦佳通电子科技有限公司,1-2万/月,北京,民营公司,3-4年经验,6,招1人,五险一金 年终奖金 带薪年假 弹性工作,150-500人
19,游戏,游戏开发工程师,初级程序员,北京像素软件科技股份有限公司,,北京,民营公司,在校生/应届生,6,招若干人,,
20,游戏,游戏开发工程师,HTML5开发工程师,武汉牧望群网络科技有限公司,1.5-3.5万/月,异地招聘,合资,3-4年经验,5,招2人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
21,游戏,游戏开发工程师,cocos creator 游戏开发,博彦科技股份有限公司,2-4万/月,北京,上市公司,2年经验,6,招1人,五险一金 专业培训 年终奖金 弹性工作 定期体检 免费班车 绩效奖金,10000人以上
22,游戏,游戏开发工程师,游戏U3D客户端（高级）,武汉牧望群网络科技有限公司,1.5-3.5万/月,异地招聘,合资,3-4年经验,5,招3人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
