,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,移动开发,Android开发工程师,Android开发工程师,北京心玺健康科技有限公司,1.5-2万/月,北京-西城区,民营公司,5-7年经验,6,招2人,五险一金 弹性工作 年终奖金 餐饮补贴,50-150人
1,移动开发,Android开发工程师,Android高级开发工程师,北京随闻科技有限公司,2-3.5万/月,北京-海淀区,民营公司,5-7年经验,6,招1人,五险一金 节日福利 团建活动 绩效奖金 股票期权,少于50人
2,移动开发,Android开发工程师,安卓开发工程师,深圳市华云中盛科技股份有限公司,1.5-2.5万/月,北京-海淀区,民营公司,5-7年经验,5,招若干人,,500-1000人
3,移动开发,Android开发工程师,Android开发工程师(J12785),北京北大方正电子有限公司,1.1-1.8万/月,北京-海淀区,国企,3-4年经验,6,招2人,"五险一金 餐饮补贴 ,带薪年假, 体检 补充医疗保险 通讯补贴 年终奖金 绩效奖金",1000-5000人
4,移动开发,Android开发工程师,Android 移动开发,京逸（深圳）科技有限公司北京分公司,0.7-1万/月,北京-海淀区,民营公司,2年经验,6,招若干人,五险一金 绩效奖金 年终奖金 弹性工作 员工聚餐,50-150人
5,移动开发,Android开发工程师,Android开发工程师,北京中广瑞波科技股份有限公司,1.2-1.7万/月,北京,上市公司,3-4年经验,5,招1人,五险一金 补充医疗保险 员工旅游 绩效奖金 年终奖金 股票期权 定期体检,150-500人
6,移动开发,Android开发工程师,安卓高级开发工程师,广州明煌企业管理有限公司东莞分公司,2-2.5万/月,北京-昌平区,民营公司,3-4年经验,6,招10人,,
7,移动开发,Android开发工程师,Android高级开发工程师,北京健悦时代科技有限公司,1.5-2.5万/月,北京,民营公司,3-4年经验,6,招1人,五险一金 专业培训 定期体检 绩效奖金 弹性工作,50-150人
8,移动开发,Android开发工程师,Android开发工程师,南京百尔马智能技术有限公司,2.5-3万/月,北京-海淀区,民营公司,3-4年经验,5,招2人,五险一金 免费班车 定期体检 弹性工作 绩效奖金,50-150人
9,移动开发,Android开发工程师,Android（安卓)开发工程师,北京墨樱科技有限公司,1.3-1.8万/月,北京-海淀区,民营公司,2年经验,5,招1人,周末双休 五险一金 补充医疗保险 员工旅游 定期体检 年终奖金 绩效奖金 带薪年假 节假日福利,50-150人
10,移动开发,Android开发工程师,Android开发工程师,北京睿智荟聚科技发展有限公司,1.2-1.8万/月,北京-西城区,民营公司,3-4年经验,5,招2人,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 股票期权,少于50人
11,移动开发,Android开发工程师,Android开发工程师,上海清鹤科技股份有限公司,1.2-1.8万/月,北京-昌平区,合资,1年经验,6,招若干人,五险一金 餐饮补贴 绩效奖金 快速发展空间 通讯补贴,150-500人
12,移动开发,Android开发工程师,Android开发工程师,苏州萝卜电子科技有限公司,2-2.5万/月,北京-昌平区,外资（欧美）,3-4年经验,6,招1人,,
13,移动开发,Android开发工程师,Android开发工程师,上海倍孜网络技术有限公司,2.5-3万/月,北京-朝阳区,民营公司,3-4年经验,6,招1人,,少于50人
14,移动开发,Android开发工程师,Android开发工程师,北京数雨如歌智能科技有限公司,0.8-1.2万/月,北京-顺义区,民营公司,2年经验,5,招2人,,
15,移动开发,Android开发工程师,Android高级开发工程师,北京奥德达斯软件有限公司,1.5-3万/月,北京-海淀区,外资（欧美）,3-4年经验,6,招若干人,五险一金 补充医疗保险 交通补贴 餐饮补贴 年终奖金 弹性工作 定期体检,50-150人
16,移动开发,Android开发工程师,高级Android开发工程师（白盒测试方向）,小米通讯技术有限公司,2-4万/月,北京-海淀区,民营公司,3-4年经验,6,招1人,五险一金 餐饮补贴 年终奖金 补充医疗保险 免费班车,10000人以上
17,移动开发,Android开发工程师,客户端开发工程师,慧博云通科技有股份有限公司,1-1.5万/月,北京-昌平区,民营公司,3-4年经验,6,招若干人,,1000-5000人
