,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,运维/技术支持,运维工程师,网络运维工程师,北京三意亚通科技有限公司,200元/天,北京-通州区,民营公司,5-7年经验,6,招10人,,
1,运维/技术支持,运维工程师,运维工程师,深圳前海零点信息技术有限公司,1-1.2万/月,北京-朝阳区,民营公司,2年经验,5,招5人,,少于50人
2,运维/技术支持,运维工程师,驻场桌面运维工程师,北京银信长远科技股份有限公司,6-7千/月,北京-西城区,上市公司,3-4年经验,6,招1人,五险一金 定期体检 补充医疗保险 餐饮补贴 通讯补贴 绩效奖金,1000-5000人
3,运维/技术支持,运维工程师,运维工程师,天阳宏业科技股份有限公司,0.8-1万/月,北京-海淀区,民营公司,2年经验,5,招2人,五险一金 定期体检 绩效奖金 带薪年假,5000-10000人
4,运维/技术支持,运维工程师,呼叫中心运维工程师,北京卓信世通科技有限公司,0.8-1万/月,北京-海淀区,民营公司,2年经验,6,招2人,弹性工作 专业培训 绩效奖金 通讯补贴 餐饮补贴 交通补贴,50-150人
5,运维/技术支持,运维工程师,运维工程师（双休）,南京迈特望科技股份有限公司,0.7-1.1万/月,北京-海淀区,上市公司,2年经验,5,招1人,,1000-5000人
6,运维/技术支持,运维工程师,驻场运维工程师,北京联创慧科信息技术有限公司,4.5-6千/月,北京-朝阳区,民营公司,3-4年经验,5,招5人,五险一金 员工旅游 年终奖金 定期体检 交通补贴 餐饮补贴 通讯补贴,
7,运维/技术支持,运维工程师,运维工程师（石景山区）,北京浩鸿达科技发展股份公司,3-5千/月,北京-石景山区,民营公司,1年经验,6,招1人,五险一金 绩效奖金 年终奖金 定期体检 通讯补贴 餐饮补贴 保健卡 交通补贴 国家法定假日,150-500人
8,运维/技术支持,运维工程师,运维工程师,维恩贝特科技有限公司,0.8-1.6万/月,北京-大兴区,民营公司,3-4年经验,5,招若干人,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 年终奖金 定期体检,500-1000人
9,运维/技术支持,运维工程师,热线运维工程师,北京思诺博信息技术有限公司,0.6-1.2万/月,北京-昌平区,合资,1年经验,6,招若干人,五险一金 定期体检 年终奖金 专业培训 补充医疗保险,150-500人
10,运维/技术支持,运维工程师,运维专员,深圳市盛阳科技股份有限公司,0.8-1万/月,北京-海淀区,民营公司,3-4年经验,5,招1人,五险一金 补充医疗保险 带薪年假 周末双休,150-500人
11,运维/技术支持,运维工程师,运维工程师,北京新榕基业软件技术有限公司,0.8-1万/月,北京-海淀区,民营公司,2年经验,6,招1人,五险一金 带薪年假,50-150人
12,运维/技术支持,运维工程师,负载均衡网络运维,北京宏远科创软件有限公司,0.8-1.5万/月,北京-大兴区,民营公司,2年经验,5,招2人,五险一金 周末双休 节日福利 带薪年假,50-150人
13,运维/技术支持,运维工程师,驻场运维工程师,北京东方森太科技发展有限公司,0.8-1万/月,北京-海淀区,民营公司,2年经验,5,招1人,周末双休 带薪年假 五险一金 绩效奖金 节日福利 专业培训,
14,运维/技术支持,运维工程师,系统运行与维护,航天科工仿真技术有限责任公司,18-22万/年,北京-海淀区,国企,2年经验,6,招2人,五险一金 补充医疗保险 交通补贴 通讯补贴 餐饮补贴 绩效奖金 年终奖金 定期体检,50-150人
15,运维/技术支持,运维工程师,Linux系统运维工程师,北京信普达系统工程有限公司,0.7-1.5万/月,北京,民营公司,2年经验,6,招2人,五险一金 专业培训 定期体检 餐饮补贴 工作居住证 下午茶生日会 每周打球活动 带薪假期多多,50-150人
16,运维/技术支持,运维工程师,Citrix运维工程师,北京华夏威科软件技术有限公司,1-1.5万/月,北京-海淀区,民营公司,5-7年经验,5,招若干人,五险一金 餐饮补贴 通讯补贴 交通补贴 专业培训,50-150人
17,运维/技术支持,运维工程师,大数据运维工程师-北京,中电福富信息科技有限公司,1-2万/月,北京,国企,2年经验,6,招若干人,五险一金 餐饮补贴 定期体检 年终奖金,1000-5000人
18,运维/技术支持,运维工程师,智能化运维解决方案专家-BJITS02,网思科技股份有限公司,2-3万/月,北京-西城区,民营公司,5-7年经验,6,招1人,弹性工作 通讯补贴 绩效奖金 员工旅游 年终奖金 餐饮补贴 节日福利 周末双休 包吃 带薪年假,150-500人
19,运维/技术支持,运维工程师,工程助理,北京国政科技有限公司,6-8千/月,北京-海淀区,民营公司,无需经验,,招若干人,,50-150人
20,运维/技术支持,运维工程师,系统运维工程师,北京知元创通信息技术有限公司,0.8-1.2万/月,北京-丰台区,民营公司,2年经验,6,招1人,五险一金 员工旅游 交通补贴 餐饮补贴 绩效奖金 定期体检 补充医疗保险 年终奖金,少于50人
21,运维/技术支持,运维工程师,运维工程师,软极网络技术（北京）有限公司,1-1.6万/月,北京-朝阳区,创业公司,2年经验,6,招若干人,五险一金 餐饮补贴 通讯补贴 弹性工作 年终奖金 定期体检 员工旅游,50-150人
22,运维/技术支持,运维工程师,运维工程师,东方口岸科技有限公司,1-1.5万/月,北京-朝阳区,国企,2年经验,6,招1人,五险一金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检,150-500人
23,运维/技术支持,运维工程师,IT运维服务台工程师（系统/网络方向）,北京昆仑联通科技发展股份有限公司,6-8千/月,北京-海淀区,上市公司,1年经验,5,招6人,五险一金 补充医疗保险 员工旅游 年终奖金 定期体检 弹性工作 餐饮补贴 专业培训,150-500人
24,运维/技术支持,运维工程师,ITIL运维工程师,中邮信息科技（北京）有限公司,1.6-2.6万/月,北京,国企,1年经验,6,招3人,五险一金 补充医疗保险 员工旅游 企业年金 通讯补贴 取暖补贴 员工食堂 交通补贴 定期体检 疗养基金,500-1000人
