,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,人工智能,机器学习工程师,算法leader-飞书人力套件,字节跳动,3-6万/月,成都,民营公司,3-4年经验,6,招1人,免费三餐 六险一金 大牛带队 带薪休假 弹性工作,10000人以上
1,人工智能,机器学习工程师,Research Scientist,新电信息科技（成都）有限公司,15-20万/年,成都-高新区,外资（非欧美）,3-4年经验,6,招若干人,周末双休 带薪年假 五险一金 节日福利 专业培训 弹性工作,500-1000人
2,人工智能,机器学习工程师,算法工程师-深度学习,成都运达科技股份有限公司,1.3-1.8万/月,成都,上市公司,3-4年经验,7,招1人,五险一金 补充医疗保险 通讯补贴 交通补贴 绩效奖金 年终奖金 定期体检 员工旅游,500-1000人
3,人工智能,机器学习工程师,NIP自然语言处理工程师,上海柯林布瑞信息技术有限公司,1.8-2.5万/月,成都-武侯区,民营公司,3-4年经验,7,招1人,五险一金 餐饮补贴 绩效奖金 年终奖金 员工旅游 周末双休 做五休二 弹性工作,150-500人
4,人工智能,机器学习工程师,机器学习算法工程师,入迷（成都）信息技术有限公司,2-2.5万/月,成都-高新区,外资（欧美）,3-4年经验,6,招1人,五险一金 交通补贴 餐饮补贴 周末双休 定期体检 带薪年假 全勤奖,150-500人
5,人工智能,机器学习工程师,数据挖掘工程师,成都大汇智安科技有限公司,1.5-2.7万/月,成都-武侯区,创业公司,5-7年经验,6,招2人,五险一金 绩效奖金 年终奖金 定期体检 弹性工作 股票期权,少于50人
6,人工智能,机器学习工程师,AI工程师,中电长城网际系统应用有限公司,1-1.5万/月,成都-高新区,国企,3-4年经验,7,招5人,五险一金 免费班车 交通补贴 餐饮补贴 绩效奖金 定期体检,150-500人
7,人工智能,机器学习工程师,Al数据标注,亿达信息技术有限公司成都分公司,3-5千/月,成都-高新区,民营公司,1年经验,5,招3人,,1000-5000人
8,人工智能,机器学习工程师,机器人流程自动化-RPA-实习-智胜慧安,四川川大智胜系统集成有限公司,2-3.5千/月,成都-武侯区,民营公司,在校生/应届生,5,招25人,五险一金 交通补贴 餐饮补贴 定期体检 年终奖金 商业意外险,150-500人
9,人工智能,机器学习工程师,算法工程师-飞书人力套件,字节跳动,2-4万/月,成都,民营公司,3-4年经验,6,招3人,弹性工作 带薪休假 免费三餐 大牛带队 六险一金,10000人以上
10,人工智能,机器学习工程师,Senior Research Scientist,新电信息科技（成都）有限公司,20-30万/年,成都-高新区,外资（非欧美）,5-7年经验,8,招若干人,周末双休 带薪年假 五险一金 节日福利 专业培训 弹性工作,500-1000人
11,人工智能,机器学习工程师,Research Engineer,新电信息科技（成都）有限公司,15-20万/年,成都-高新区,外资（非欧美）,3-4年经验,6,招若干人,周末双休 带薪年假 五险一金 节日福利 专业培训 弹性工作,500-1000人
12,人工智能,深度学习工程师,AI编译器工程师,深圳云天励飞技术有限公司,2.5-5万/月,异地招聘,民营公司,2年经验,6,招5人,年终奖金 弹性工作 五险一金 餐饮补贴 交通补贴 定期体检,500-1000人
13,人工智能,深度学习工程师,深度学习算法工程师,成都通甲优博科技有限责任公司,1.5-3万/月,成都-双流区,民营公司,2年经验,6,招3人,五险一金 餐饮补贴 定期体检 绩效奖金 年终奖金 股票期权 交通补贴 员工旅游,150-500人
14,人工智能,深度学习工程师,深度学习工程师-视觉方向,四川深瑞视科技有限公司,1-3万/月,成都-武侯区,创业公司,2年经验,7,招若干人,周末双休 下午茶 节日福利,少于50人
15,人工智能,深度学习工程师,高级算法工程师,成都思腾数联信息技术有限公司,2-3万/月,成都-高新区,外资（欧美）,3-4年经验,7,招1人,五险一金 补充公积金 绩效奖金 交通补贴 餐饮补贴 弹性工作 年终奖金 通讯补贴,50-150人
16,人工智能,深度学习工程师,数据挖掘工程师,成都大汇智安科技有限公司,1.5-2.7万/月,成都-武侯区,创业公司,5-7年经验,6,招2人,五险一金 绩效奖金 年终奖金 定期体检 弹性工作 股票期权,少于50人
17,人工智能,深度学习工程师,软件开发工程师-大数据,北京超图软件股份有限公司,0.8-1万/月,成都,上市公司,1年经验,6,招1人,五险一金 免费班车 年终奖金 定期体检,1000-5000人
18,人工智能,深度学习工程师,语音识别算法研究,四川川大智胜软件股份有限公司,0.8-1.5万/月,成都,民营公司,1年经验,7,招2人,年终奖金 绩效奖金 通讯补贴 五险一金 补充医疗保险 定期体检 交通补贴 餐饮补贴 免费班车,150-500人
19,人工智能,深度学习工程师,人工智能算法工程师,深圳市菲森科技有限公司,1.5-3万/月,成都,民营公司,在校生/应届生,7,招2人,五险一金 定期体检 员工旅游 弹性工作 绩效奖金 年终奖金 餐饮补贴,150-500人
20,人工智能,深度学习工程师,计算机视觉研究员,成都通甲优博科技有限责任公司,30-40万/年,成都-双流区,民营公司,2年经验,8,招2人,五险一金 员工旅游 餐饮补贴 专业培训 出国机会 绩效奖金 年终奖金 股票期权 弹性工作 定期体检,150-500人
21,人工智能,图像算法工程师,图像算法及应用工程师,北京优创新港科技股份有限公司绵阳分公司,1-1.8万/月,成都,民营公司,2年经验,6,招1人,五险一金 弹性工作 年终奖金 绩效奖金 交通补贴 通讯补贴 餐饮补贴,少于50人
