,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,后端开发,Java开发工程师,中/高级后端开发工程师,杭州友声科技股份有限公司,0.7-1.2万/月,成都-武侯区,民营公司,3-4年经验,6,招2人,五险一金 绩效奖金 员工旅游 交通补贴 餐饮补贴 通讯补贴 定期体检 周末双休 节日福利,150-500人
1,后端开发,Java开发工程师,Java开发工程师,四川聚典新业科技有限公司,6-8千/月,成都-双流区,民营公司,1年经验,5,招2人,员工旅游 餐饮补贴 年终奖金 绩效奖金 年终分红 定期团建,50-150人
2,后端开发,Java开发工程师,Java资深开发工程师（Java开发组长）,上海迈辰信息科技有限公司成都分公司,2-2.5万/月,成都-高新区,民营公司,8-9年经验,6,招3人,五险一金 绩效奖金 通讯补贴 交通补贴 餐饮补贴 年终奖金 加班补贴 专业培训 股票期权 定期体检,少于50人
3,后端开发,Java开发工程师,Java开发工程师,成都威而信实业有限公司,0.8-1万/月,成都-金牛区,民营公司,3-4年经验,6,招若干人,五险一金 年终奖金 弹性工作,少于50人
4,后端开发,Java开发工程师,Java开发工程师,成都房联云码科技有限公司,0.8-1.5万/月,成都-青羊区,民营公司,3-4年经验,6,招2人,五险一金 节日福利 周末双休 定期体检 年终奖金 团队建设基金 弹性工作 带薪年假 餐饮补贴,150-500人
5,后端开发,Java开发工程师,JAVA 开发工程师（十五薪）,上扬软件（上海）有限公司,0.6-1.2万/月,成都,外资（非欧美）,2年经验,5,招1人,五险一金 员工旅游 餐饮补贴 通讯补贴 出国机会 专业培训 年终奖金,150-500人
6,后端开发,Java开发工程师,初中高JAVA,成都熙恩网络科技有限公司,1.2-1.8万/月,成都,民营公司,2年经验,5,招2人,五险一金 绩效奖金 年终奖金,150-500人
7,后端开发,Java开发工程师,JAVA后端开发工程师,讯视云联信息技术成都有限公司,0.8-1万/月,成都-高新区,民营公司,3-4年经验,5,招2人,五险一金 餐饮补贴 年终奖金 绩效奖金,少于50人
8,后端开发,Java开发工程师,java开发（二次开发+英语可交流）,成都迈思信息技术有限公司,2-2.5万/月,成都-高新区,民营公司,8-9年经验,5,招若干人,五险一金 绩效奖金 年终奖金,150-500人
9,后端开发,Java开发工程师,初级Java开发,成都匠翎信息技术有限公司,4.5-6千/月,成都-高新区,民营公司,无需经验,5,招3人,,150-500人
10,后端开发,Java开发工程师,Java高级开发工程师,四川威名智慧物流科技有限公司,1.2-1.8万/月,成都-青羊区,民营公司,5-7年经验,6,招若干人,五险一金 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检,少于50人
11,后端开发,Java开发工程师,Java 工程师K,大连亿达信息技术有限公司深圳分公司,0.7-1.2万/月,异地招聘,民营公司,3-4年经验,5,招3人,五险一金 补充商业保险 公积金 年终奖金 员工旅游 定期体检,500-1000人
12,后端开发,Java开发工程师,Java开发工程师,新东网科技有限公司,6-8千/月,成都-青羊区,民营公司,1年经验,5,招1人,五险一金 员工旅游 交通补贴 通讯补贴 绩效奖金 年终奖金 定期体检 奖金提成,500-1000人
13,后端开发,Java开发工程师,Java开发工程师,四川世纪银通科技有限公司,1-1.6万/月,成都-武侯区,民营公司,5-7年经验,6,招1人,,150-500人
14,后端开发,Java开发工程师,Java中级开发工程师,深圳市金龄科技有限公司,1-1.5万/月,成都-高新区,创业公司,3-4年经验,6,招2人,五险一金 年终奖金 下午茶,50-150人
15,后端开发,Java开发工程师,急聘设备通讯接口开发工程师(java),四川星瑞科科技有限公司,1-1.5万/月,成都-成华区,民营公司,3-4年经验,5,招5人,周末双休 员工旅游 五险一金 年终奖金 项目奖金,少于50人
16,后端开发,Java开发工程师,Java高级开发工程师,成都通广茂禄信息技术有限公司,1.5-2.5万/月,成都-高新区,民营公司,8-9年经验,6,招2人,五险一金 弹性工作 单双休,少于50人
