,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,数据,数据分析经理/主管,高级数据分析师,成都天晟云信息技术有限公司,1.5-2万/月,成都-高新区,民营公司,5-7年经验,5,招若干人,五险一金 弹性工作 员工旅游 绩效奖金 年终奖金,50-150人
1,数据,数据分析经理/主管,数据运营助理,成都德锋创享科技有限公司,6-8千/月,成都-锦江区,民营公司,无需经验,5,招若干人,五险一金 绩效奖金 带薪年假 节日福利 专业培训 周末双休,50-150人
2,数据,数据分析经理/主管,解决方案架构师,成都持波科技有限公司,1.5-2万/月,成都-高新区,外资（非欧美）,5-7年经验,6,招1人,,150-500人
3,数据,数据分析经理/主管,高级研发工程师,民航成都信息技术有限公司,1-1.4万/月,成都-新津县,国企,3-4年经验,7,招1人,补充医疗保险 免费班车 交通补贴 餐饮补贴 专业培训 年终奖金 绩效奖金 定期体检 七险一金,50-150人
4,数据,数据分析经理/主管,SDK工程师（图像识别方向）,北京微点科技有限公司,2-4.5万/月,成都-高新区,民营公司,2年经验,6,招1人,五险一金 专业培训 餐饮补贴 绩效奖金,少于50人
5,数据,数据分析经理/主管,销售运营经理（中西战区/成都）(J13275),北京北森云计算股份有限公司,1-2万/月,成都-高新区,民营公司,3-4年经验,6,招若干人,,1000-5000人
6,数据,数据分析经理/主管,资深研发工程师,民航成都信息技术有限公司,1-1.5万/月,成都-新津县,国企,3-4年经验,8,招1人,补充医疗保险 免费班车 交通补贴 餐饮补贴 专业培训 年终奖金 绩效奖金 定期体检 七险一金,50-150人
7,数据,数据分析师,数据分析师,北京达佳互联信息技术有限公司,0.6-1万/月,成都-高新区,上市公司,3-4年经验,5,招2人,做五休二 带薪年假 五险一金 绩效奖金 交通补贴 餐饮补贴 住房补贴 节日福利 加班补贴,5000-10000人
8,数据,数据分析师,分析师助理+周末双休,四川凯洋浩博科技有限公司,6-8千/月,成都-武侯区,民营公司,1年经验,5,招6人,,
9,数据,数据分析师,数据分析师（成都）,广州市云景信息科技有限公司,6-8千/月,异地招聘,民营公司,1年经验,6,招1人,五险一金 员工旅游 年终奖金 定期体检 周末双休,150-500人
10,数据,数据分析师,数据分析,成都嘉谊互娱科技有限公司,0.7-1.2万/月,成都,民营公司,3-4年经验,6,招若干人,,150-500人
11,数据,数据分析师,数据分析（策略运营方向）,腾讯RDM,0.8-1.2万/月,成都-高新区,上市公司,2年经验,6,招2人,免费班车 弹性工作 节日福利 免费早餐 带薪年假 五险一金 绩效奖金 专业培训 商业保险 住房补贴,1000-5000人
12,数据,数据分析师,数据分析师(信息安全),北京陌陌信息技术有限公司成都分公司,0.8-1.5万/月,成都-高新区,民营公司,无需经验,6,招1人,,500-1000人
13,数据,数据分析师,EA工程师,四川科盛鑫成科技有限公司,0.8-1.6万/月,成都-武侯区,民营公司,1年经验,6,招5人,五险一金 员工旅游 交通补贴 绩效奖金 年终奖金 弹性工作 定期体检,
14,数据,数据分析师,数据治理开发工程师,成都知识视觉科技有限公司,0.6-1.2万/月,成都-金牛区,民营公司,2年经验,6,招1人,绩效奖金 餐补 周末双休 弹性工作 补充医疗保险 餐饮补贴 年终奖金 五险一金,50-150人
15,数据,数据分析师,高级数据分析师,成都天晟云信息技术有限公司,1.5-2万/月,成都-高新区,民营公司,5-7年经验,5,招若干人,五险一金 弹性工作 员工旅游 绩效奖金 年终奖金,50-150人
16,数据,数据分析师,数据分析师,四川吉联科技有限公司,0.8-1万/月,成都,民营公司,无需经验,5,招1人,专业培训 五险一金 全勤奖 公司重点项目 节日福利 法定节假日 团队聚餐 绩效奖金 员工旅游,50-150人
