,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,前端开发,Web前端开发,中级前端开发工程师（外派上海6个月）,深圳诺伊云计算科技有限公司,1.5-2万/月,成都-金牛区,民营公司,3-4年经验,6,招1人,,
1,前端开发,Web前端开发,前端开发工程师,四川三德信息技术有限责任公司,0.8-1.2万/月,成都,民营公司,3-4年经验,6,招1人,五险一金 交通补贴 通讯补贴 专业培训 绩效奖金 年终奖金,少于50人
2,前端开发,Web前端开发,React （前端）工程师,成都格理特电子技术有限公司,1-1.5万/月,成都-高新区,民营公司,3-4年经验,6,招1人,五险一金 绩效奖金 年终奖金,50-150人
3,前端开发,Web前端开发,前端开发工程师,成都嘿芝麻科技有限公司,6-8千/月,成都,民营公司,1年经验,5,招4人,做五休二 免费班车 餐饮补贴 车补 五险一金 年终奖金 绩效奖金,50-150人
4,前端开发,Web前端开发,Web前端开发工程师,成都小步创想慧联科技有限公司,0.9-1.5万/月,成都-武侯区,民营公司,2年经验,6,招2人,五险一金 专业培训 绩效奖金 年终奖金 股票期权 弹性工作 周末双休,150-500人
5,前端开发,Web前端开发,Web前端工程师,四川省金科成地理信息技术有限公司,0.5-1万/月,成都-高新区,民营公司,1年经验,5,招2人,五险一金 年终奖金 员工旅游 定期体检,50-150人
6,前端开发,Web前端开发,Web前端开发工程师,成都爱易佰网络科技有限公司,6-8千/月,成都-武侯区,民营公司,1年经验,6,招1人,五险一金 员工旅游 交通补贴 餐饮补贴 年终奖金 绩效奖金,50-150人
7,前端开发,Web前端开发,Web前端开发工程师,CI&T,0.9-1.5万/月,成都-高新区,外资（非欧美）,1年经验,5,招3人,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 定期体检 弹性工作,50-150人
8,前端开发,Web前端开发,前端开发工程师,成都迈思信息技术有限公司,1-1.5万/月,成都-锦江区,民营公司,3-4年经验,5,招2人,五险一金 弹性工作 绩效奖金 年终奖金 交通补贴,150-500人
9,前端开发,Web前端开发,初期前端开发,成都匠翎信息技术有限公司,4.5-6千/月,成都-高新区,民营公司,无需经验,5,招若干人,,150-500人
10,前端开发,Web前端开发,php开发,成都奎安科技有限公司,4-6千/月,成都-高新区,民营公司,1年经验,5,招若干人,,50-150人
11,前端开发,Web前端开发,高级前端开发工程师,四川威名智慧物流科技有限公司,0.8-1.2万/月,成都-青羊区,民营公司,3-4年经验,6,招若干人,五险一金 餐饮补贴 专业培训 绩效奖金,少于50人
12,前端开发,Web前端开发,Web前端开发工程师,四川百信智创科技有限公司,0.7-1万/月,成都,民营公司,1年经验,5,招3人,周末双休 餐饮补贴 五险 年休 补充医疗保险 年终奖金 绩效奖金,少于50人
13,前端开发,Web前端开发,Web前端开发工程师,成都荣为信息技术有限公司,1-1.5万/月,成都,民营公司,2年经验,6,招2人,周末双休 带薪年假 五险一金 绩效奖金 全勤奖 节日福利 交通补贴 加班补贴 餐饮补贴,少于50人
14,前端开发,Web前端开发,Web前端开发,直面科技（成都）有限公司,0.7-1万/月,成都-武侯区,民营公司,3-4年经验,5,招2人,绩效奖金 购买社保 周末双休 免费午餐 不定时团建 员工旅游,少于50人
15,前端开发,Web前端开发,Web前端开发工程师,成都中联华睿人工智能科技有限公司,1-1.5万/月,成都-高新区,民营公司,3-4年经验,5,招1人,,50-150人
16,前端开发,Web前端开发,前端开发工程师,四川宏劲科技有限公司成都分公司,0.8-1.2万/月,成都-武侯区,民营公司,3-4年经验,6,招2人,,50-150人
17,前端开发,Web前端开发,Web前端开发工程师,北京都在哪网讯科技有限公司成都分公司,0.8-1.3万/月,成都-高新区,民营公司,2年经验,6,招若干人,五险一金 交通补贴 餐饮补贴 通讯补贴 弹性工作 周末双休 带薪年假,少于50人
18,前端开发,Web前端开发,web前端开发工程师（react方向）,上海泛微网络科技股份有限公司,1.5-3万/月,成都,上市公司,3-4年经验,6,招2人,五险一金 免费班车 员工旅游 年终奖金 餐饮补贴 定期体检 通讯补贴,5000-10000人
19,前端开发,Web前端开发,前端开发工程师,安徽晶奇网络科技股份有限公司,1-1.5万/月,成都-青羊区,民营公司,2年经验,6,招2人,五险一金 员工旅游 年终奖金 餐饮补贴 定期体检 周末双休 节日福利,500-1000人
20,前端开发,Web前端开发,Web前端开发,成都华鼎智胜科技有限公司,0.6-1万/月,成都-高新区,民营公司,2年经验,5,招2人,,少于50人
21,前端开发,Web前端开发,中高级Web前端开发（VUE框架）,广州咨元信息科技有限公司,0.8-1.2万/月,成都,民营公司,2年经验,6,招1人,五险一金 补充医疗保险 通讯补贴,150-500人
22,前端开发,Web前端开发,游戏前端开发工程师,成都橘子樱桃科技有限公司,1-1.5万/月,成都-高新区,民营公司,1年经验,6,招1人,五险一金 年终奖金 弹性工作 定期体检,少于50人
23,前端开发,Web前端开发,前端中级工程师,四川中科数微科技有限公司,6-8千/月,成都-武侯区,民营公司,2年经验,6,招5人,,50-150人
24,前端开发,Web前端开发,高级web前端开发工程师,杭州潮流信息技术有限公司成都分公司,0.8-1.5万/月,成都-锦江区,民营公司,3-4年经验,6,招1人,五险一金 交通补贴 餐饮补贴 通讯补贴 年终奖金 绩效奖金,50-150人
25,前端开发,Web前端开发,前端开发工程师,四川银利华应用科技有限责任公司,0.6-1万/月,成都-金牛区,民营公司,3-4年经验,5,招若干人,五险一金 定期体检 年终奖金 员工旅游,50-150人
26,前端开发,Web前端开发,Web前端开发工程师,南京迈特望科技股份有限公司,0.7-1.2万/月,成都-武侯区,上市公司,2年经验,5,招若干人,,1000-5000人
27,前端开发,Web前端开发,Web前端工程师,四川创数智慧科技股份有限公司,6-8千/月,成都-武侯区,国企,1年经验,5,招2人,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 周末双休,50-150人
28,前端开发,Web前端开发,Web前端开发工程师,成都正欣德信息技术有限公司,0.7-1.4万/月,成都,民营公司,2年经验,5,招1人,五险一金 补充医疗保险 员工旅游 弹性工作 定期体检 绩效奖金 年终奖金 专业培训,50-150人
29,前端开发,Web前端开发,Web前端开发工程师（五险一金+周末双休）,四川锐狐网络科技有限公司,0.8-1万/月,成都,民营公司,2年经验,6,招2人,五险一金 周末双休 带薪年假 员工旅游 节日福利 补充医疗保险,50-150人
30,前端开发,Web前端开发,前端开发工程师,成都市亿合科技有限公司,0.8-1.2万/月,成都-青羊区,民营公司,3-4年经验,5,招3人,五险一金 周末双休 节假日福利 生日福利 专业培训,50-150人
31,前端开发,Web前端开发,React工程师,恩士迅信息科技（上海）有限公司,1.5-2万/月,成都,外资（非欧美）,5-7年经验,6,招3人,做五休二 周末双休 带薪年假 五险一金 绩效奖金 专业培训 十三薪 年终奖金,500-1000人
32,前端开发,Web前端开发,前端开发工程师,成都中科创达软件有限公司,0.9-1.8万/月,成都-高新区,上市公司,3-4年经验,5,招2人,五险一金 补充医疗保险 交通补贴 餐饮补贴 年终奖金 定期体检 弹性工作 绩效奖金,150-500人
33,前端开发,Web前端开发,北斗公司-Web研发工程师,成都民航空管科技发展有限公司,15-25万/年,成都-武侯区,国企,无需经验,6,招3人,五险一金 补充医疗保险 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检,150-500人
34,前端开发,Web前端开发,前端开发工程师,北京赛福阔利特科技有限公司,0.8-1.5万/月,成都,民营公司,3-4年经验,5,招2人,五险一金 餐饮补贴 绩效奖金 定期体检,少于50人
35,前端开发,Web前端开发,Web前端开发工程师,北京微点科技有限公司,1-1.5万/月,成都-高新区,民营公司,2年经验,6,招1人,五险一金 专业培训 餐饮补贴 绩效奖金,少于50人
36,前端开发,Web前端开发,软件前端工程师,成都艾迪众恒企业管理咨询有限公司,0.8-1万/月,成都-高新区,民营公司,2年经验,6,招1人,,50-150人
37,前端开发,Web前端开发,前端开发工程师,北京深蓝海域信息科技有限公司,1-1.5万/月,成都,民营公司,2年经验,6,招3人,五险一金 弹性工作 专业培训 绩效奖金 年终奖金 员工旅游,50-150人
38,前端开发,Web前端开发,Web前端开发工程师,成都卓影科技股份有限公司,1-1.5万/月,成都,民营公司,3-4年经验,5,招1人,五险一金 绩效奖金 通讯补贴 餐饮补贴 年终奖金,150-500人
39,前端开发,Web前端开发,高级前端开发工程师,四川天正信息科技有限公司,1.2-1.8万/月,成都-高新区,民营公司,3-4年经验,6,招5人,五险一金 餐饮补贴 定期体检 通讯补贴 员工旅游 年终奖金 高温补贴 出差补贴 过节福利,少于50人
40,前端开发,Web前端开发,Web前端开发工程师,北京青牛技术股份有限公司,1-1.5万/月,成都-高新区,外资（欧美）,2年经验,6,招1人,五险一金 餐饮补贴 通讯补贴 绩效奖金 定期体检 补充医疗保险 免费班车 年终奖金,500-1000人
41,前端开发,Web前端开发,web开发,腾讯RDM,1.5-2.5万/月,成都-高新区,上市公司,1年经验,6,招若干人,免费班车 弹性工作 节日福利 免费早餐 带薪年假 五险一金 绩效奖金 专业培训 商业保险 住房补贴,1000-5000人
