,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,游戏,游戏开发工程师,.NET高级开发工程师,成都哈德曼科技有限公司,1-2万/月,成都-高新区,民营公司,5-7年经验,6,招1人,五险一金 周末双休 加班补贴,少于50人
1,游戏,游戏开发工程师,初级PHP开发,成都匠翎信息技术有限公司,4.5-6千/月,成都-高新区,民营公司,无需经验,5,招3人,,150-500人
2,游戏,游戏开发工程师,Senior Graphics Programmer 高级图形程序员,成都育碧电脑软件有限公司,,成都,外资（欧美）,5-7年经验,6,招2人,五险一金 绩效奖金 专业培训 补充医疗保险 定期体检,150-500人
3,游戏,游戏开发工程师,资深程序员-游戏开发,维塔士电脑软件（成都）有限公司,1-1.5万/月,成都-锦江区,外资（欧美）,3-4年经验,6,招2人,餐饮补贴 弹性工作 节日福利,500-1000人
4,游戏,游戏开发工程师,Unity客户端,成都红石魔方科技有限公司,1-1.5万/月,成都-高新区,民营公司,2年经验,5,招2人,,
5,游戏,游戏开发工程师,PHP程序员,武汉牧望群网络科技有限公司,0.7-1万/月,异地招聘,合资,2年经验,5,招1人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
6,游戏,游戏开发工程师,c++游戏服务器主程,成都趣乐美科技有限公司,2-2.5万/月,成都-高新区,民营公司,5-7年经验,5,招1人,五险一金 交通补贴 餐饮补贴 年终奖金 弹性工作 周末双休,50-150人
7,游戏,游戏开发工程师,CocosCreator游戏开发,成都帅猫科技有限公司,1-1.5万/月,成都-高新区,民营公司,3-4年经验,5,招1人,五险一金 年终奖金 节日福利,少于50人
8,游戏,游戏开发工程师,Unity3D手游程序,成都嘉谊互娱科技有限公司,0.6-1.1万/月,成都,民营公司,2年经验,6,招3人,五险一金 补充医疗保险 员工旅游 交通补贴 弹性工作 周末双休 带薪年假 全勤奖,150-500人
9,游戏,游戏开发工程师,4-6k招聘电竞游戏开发助理,成都德锋创享科技有限公司,4.5-6千/月,成都-高新区,民营公司,无需经验,5,招5人,,50-150人
10,游戏,游戏开发工程师,小游戏开发工程师,成都乐原科技有限公司,5-9千/月,成都-武侯区,民营公司,无需经验,5,招8人,周末双休 带薪年假 五险一金 全勤奖 绩效奖金 节日福利 专业培训 年终奖金 员工旅游 定期体检,少于50人
11,游戏,游戏开发工程师,小游戏服务器开发工程师,亿达信息技术有限公司成都分公司,0.6-1万/月,成都,民营公司,1年经验,6,招若干人,五险一金 免费班车 员工旅游 餐饮补贴 年终奖金 弹性工作 定期体检,1000-5000人
12,游戏,游戏开发工程师,VR/AR开发工程师,四川华控图形科技有限公司,1-1.5万/月,成都,民营公司,2年经验,6,招2人,五险一金 员工旅游 餐饮补贴 绩效奖金 年终奖金 专业培训 定期体检,50-150人
13,游戏,游戏开发工程师,Golang游戏服务器工程师,成都辛克普雷科技有限公司,1.5-3万/月,成都-高新区,民营公司,5-7年经验,6,招若干人,绩效奖金 年终奖金 股票期权 定期体检 五险一金 餐饮补贴 要求高 福利好,少于50人
14,游戏,游戏开发工程师,Unity开发工程师,成都动视时代科技有限公司,1-1.5万/月,成都-高新区,民营公司,3-4年经验,5,招若干人,周末双休 绩效奖金 五险一金 员工旅游 餐饮补贴 弹性工作 年终奖金,少于50人
15,游戏,游戏开发工程师,laya游戏开发工程师,成都雷兽互动科技有限公司,1-2万/月,成都-高新区,民营公司,1年经验,5,招2人,五险一金 员工旅游 绩效奖金 年终奖金 定期体检 调薪机会 餐饮补贴 加班补助 节日福利,50-150人
16,游戏,游戏开发工程师,Laya3d开发工程师,苏州番茄互娱信息科技有限公司,1-1.8万/月,异地招聘,民营公司,2年经验,5,招若干人,五险一金 年终奖金 免费零食,150-500人
17,游戏,游戏开发工程师,HTML5开发工程师（助理）,成都九威全然科技有限公司,3-4.5千/月,成都-高新区,民营公司,无需经验,,招若干人,五险一金 交通补贴 绩效奖金 补充医疗保险 通讯补贴 弹性工作 专业培训 免费班车 年终奖金 定期体检,50-150人
18,游戏,游戏开发工程师,Java高级游戏服务器开发工程师,成都算力网络科技有限公司,1.5-2万/月,成都-金牛区,民营公司,3-4年经验,5,招2人,绩效奖金 周末双休 节日福利 餐饮补贴 交通补贴 通讯补贴 年终奖金 住房补贴 全勤奖 高温补贴,150-500人
19,游戏,游戏开发工程师,游戏开发实习生（双休）,成都橙网科技有限公司,4.5-6千/月,成都-高新区,民营公司,1年经验,5,招3人,五险一金 员工旅游 交通补贴 绩效奖金 年终奖金 通讯补贴 定期体检 出国机会 补充公积金 补充医疗保险,少于50人
20,游戏,游戏开发工程师,次世代美术培训生,完美世界（重庆）网络发展有限公司成都分公司,2-3千/月,成都-高新区,民营公司,在校生/应届生,5,招10人,周末双休 弹性工作,5000-10000人
21,游戏,游戏开发工程师,C++游戏程序员 C++ Gameplay Programmer,成都育碧电脑软件有限公司,,成都,外资（欧美）,3-4年经验,6,招2人,五险一金 绩效奖金 专业培训 补充医疗保险 定期体检,150-500人
22,游戏,游戏开发工程师,Golang  服务器开发,成都红石魔方科技有限公司,1.5-2万/月,成都-高新区,民营公司,3-4年经验,5,招4人,,
23,游戏,游戏开发工程师,H5游戏开发,武汉牧望群网络科技有限公司,1.2-2万/月,异地招聘,合资,1年经验,5,招2人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
24,游戏,游戏开发工程师,H5游戏前端开发,成都帅猫科技有限公司,1-1.5万/月,成都-高新区,民营公司,3-4年经验,5,招1人,五险一金 年终奖金 节日福利,少于50人
25,游戏,游戏开发工程师,nodejs开发工程师,成都嘉谊互娱科技有限公司,1.1-1.8万/月,成都,民营公司,3-4年经验,6,招若干人,五险一金 绩效奖金 年终奖金 员工旅游 弹性工作 补充医疗保险 交通补贴 定期体检,150-500人
26,游戏,游戏开发工程师,游戏前端开发工程师(H5),成都算力网络科技有限公司,1-2万/月,成都-金牛区,民营公司,2年经验,5,招2人,绩效奖金 周末双休 节日福利 餐饮补贴 交通补贴 通讯补贴 年终奖金 全勤奖 住房补贴 高温补贴,150-500人
27,游戏,游戏开发工程师,游戏前端开发工程师,成都算力网络科技有限公司,1-1.5万/月,成都-金牛区,民营公司,1年经验,5,招2人,周末双休 节日福利 年终奖金 全勤奖 餐饮补贴 五险,150-500人
28,游戏,游戏开发工程师,cocos2d游戏客户端,成都算力网络科技有限公司,1-2万/月,成都-金牛区,民营公司,2年经验,5,招2人,绩效奖金 周末双休 节日福利 餐饮补贴 交通补贴 通讯补贴 年终奖金 住房补贴 高温补贴 全勤奖,150-500人
29,游戏,游戏开发工程师,C++ Engine Programmer(C++引擎程序员）,成都育碧电脑软件有限公司,1-1.7万/月,成都,外资（欧美）,3-4年经验,6,招1人,,150-500人
30,游戏,游戏开发工程师,资深技术美术师(Senior TA),维塔士电脑软件（成都）有限公司,0.6-1.2万/月,成都-锦江区,外资（欧美）,3-4年经验,6,招若干人,五险一金 员工旅游 年终奖金 专业培训 餐饮补贴 弹性工作 定期体检 带薪年假 节日福利 周末双休,500-1000人
31,游戏,游戏开发工程师,Junior C++ programmer/初级C++ 程序师,维塔士电脑软件（成都）有限公司,6-8千/月,成都-锦江区,外资（欧美）,无需经验,6,招若干人,,500-1000人
32,游戏,游戏开发工程师,Java游戏服务器,武汉牧望群网络科技有限公司,2-3万/月,异地招聘,合资,2年经验,5,招2人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
33,游戏,游戏开发工程师,游戏体验游戏测评师,成都德锋创享科技有限公司,6-8千/月,成都-锦江区,民营公司,无需经验,5,招若干人,五险一金 绩效奖金 带薪年假,50-150人
34,游戏,游戏开发工程师,高级运维工程师,武汉牧望群网络科技有限公司,1.5-3万/月,异地招聘,合资,3-4年经验,5,招2人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
35,游戏,游戏开发工程师,游戏程序员/Gameplay Programmer,维塔士电脑软件（成都）有限公司,6-8千/月,成都-锦江区,外资（欧美）,在校生/应届生,6,招5人,五险一金 员工旅游 餐饮补贴 专业培训 弹性工作 定期体检,500-1000人
36,游戏,游戏开发工程师,游戏开发实习生,维塔士电脑软件（成都）有限公司,200元/天,成都-锦江区,外资（欧美）,在校生/应届生,6,招10人,五险一金 补充医疗保险 餐饮补贴 专业培训 弹性工作 定期体检,500-1000人
37,游戏,Cocos2d-x开发工程师,cocos creator,成都嘉谊互娱科技有限公司,0.6-1.1万/月,成都,民营公司,3-4年经验,6,招若干人,,150-500人
38,游戏,Cocos2d-x开发工程师,Java开发实习工程师,成都京成北智能科技有限责任公司,3-4.5千/月,成都-高新区,民营公司,无需经验,5,招8人,五险一金 绩效奖金 餐饮补贴 弹性工作 年终奖金,
