,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,移动开发,Android开发工程师,Android开发工程师,成都迈思信息技术有限公司,1-1.5万/月,成都-高新区,民营公司,5-7年经验,5,招若干人,五险一金 弹性工作 绩效奖金 年终奖金 交通补贴,150-500人
1,移动开发,Android开发工程师,Android BSP开发工程师,成都天软信息技术有限公司,1.2-2万/月,成都,民营公司,3-4年经验,6,招5人,五险一金 员工旅游 年终奖金 定期体检 周末双休 节日福利 专业培训,150-500人
2,移动开发,Android开发工程师,Anroid 高级工程师,深圳市智阳软件有限公司,1-1.5万/月,成都-锦江区,民营公司,2年经验,6,招2人,五险一金 员工旅游 年终奖金 股票期权,少于50人
3,移动开发,Android开发工程师,Android开发工程师,成都千行科技有限公司,1-1.5万/月,成都,民营公司,2年经验,5,招1人,五险一金 员工旅游 绩效奖金 年终奖金 股票期权 弹性工作 定期体检,50-150人
4,移动开发,Android开发工程师,Android开发工程师,四川鹏杰智联科技有限责任公司,1-1.2万/月,成都-高新区,民营公司,2年经验,5,招1人,周末双休 弹性工作 带薪年假 社保,少于50人
5,移动开发,Android开发工程师,Android开发工程师,成都法美尔科技有限公司,0.8-1.2万/月,成都,民营公司,2年经验,6,招1人,五险一金 交通补贴 绩效奖金 年终奖金 通讯补贴 餐饮补贴 员工旅游 13薪,50-150人
6,移动开发,Android开发工程师,Android开发工程师,成都心泽科技有限公司,6-8千/月,成都-武侯区,民营公司,3-4年经验,5,招2人,五险一金 交通补贴 餐饮补贴 年终奖金,50-150人
7,移动开发,Android开发工程师,Android开发工程师,中软国际科技服务有限公司,1-1.5万/月,成都-武侯区,合资,2年经验,5,招5人,周末双休 带薪年假 五险一金 餐饮补贴 年终奖金 弹性工作,10000人以上
8,移动开发,Android开发工程师,Android开发工程师,普联技术有限公司（TP-LINK),1.5-2万/月,成都-高新区,民营公司,2年经验,6,招若干人,五险一金 免费班车 年终奖金 做五休二 餐饮补贴 带薪年假 节日福利,10000人以上
9,移动开发,Android开发工程师,Android开发工程师,图丰信息（成都）有限责任公司,1-1.5万/月,成都-金牛区,外资（欧美）,5-7年经验,6,招2人,五险一金 弹性工作 年终奖金 员工旅游 餐饮补贴 股票期权 周末双休,150-500人
