,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,运维/技术支持,运维工程师,运维工程师（cache、CDN）,武汉佰钧成技术有限责任公司,4.5-6千/月,成都,民营公司,1年经验,5,招4人,五险一金 交通补贴 通讯补贴 定期体检 专业培训 年终奖金,10000人以上
1,运维/技术支持,运维工程师,空气站运维工程师（成都）,广州市云景信息科技有限公司,0.6-1万/月,异地招聘,民营公司,3-4年经验,5,招1人,五险一金 绩效奖金 年终奖金 定期体检,150-500人
2,运维/技术支持,运维工程师,实施运维工程师,成都金税电子技术有限公司,5-7千/月,成都-武侯区,民营公司,1年经验,5,招3人,,50-150人
3,运维/技术支持,运维工程师,Linux运维工程师,成都优旭科技有限公司,0.6-1.5万/月,成都,民营公司,2年经验,5,招2人,五险一金 年终奖金 出差补贴 周末双休 员工旅游,少于50人
4,运维/技术支持,运维工程师,思科HyperFlex（英语流利）,成都迈思信息技术有限公司,1.5-2万/月,成都-高新区,民营公司,5-7年经验,5,招若干人,五险一金 绩效奖金 年终奖金,150-500人
5,运维/技术支持,运维工程师,it技术支持维护专员,成都奎安科技有限公司,3-5.5千/月,成都-高新区,民营公司,1年经验,5,招若干人,,50-150人
6,运维/技术支持,运维工程师,Linux运维工程师,成都同辉数联信息技术有限公司,0.5-1万/月,成都-高新区,创业公司,1年经验,5,招2人,五险一金 专业培训 餐饮补贴 绩效奖金 年终奖金,少于50人
7,运维/技术支持,运维工程师,运维工程师,成都磊数科技有限公司,4.5-6千/月,成都-成华区,民营公司,2年经验,5,招1人,五险一金 周末双休 年终奖金 绩效奖金 带薪年假 专业培训,50-150人
8,运维/技术支持,运维工程师,巡检运维工程师,成都清华高科信息技术有限公司,0.5-1万/月,成都-高新区,民营公司,3-4年经验,5,招2人,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 专业培训,150-500人
9,运维/技术支持,运维工程师,运维工程师(J10221),广州嘉为科技有限公司,1.1-2万/月,成都-武侯区,民营公司,1年经验,6,招1人,五险一金 绩效奖金 定期体检 餐饮补贴 通讯补贴 年底双薪 带薪年假,500-1000人
10,运维/技术支持,运维工程师,识别服务运维（智胜云猫公司）,四川川大智胜软件股份有限公司,4.5-5.5千/月,成都-武侯区,民营公司,1年经验,5,招4人,五险一金 补充公积金 通讯补贴 交通补贴 绩效奖金 专业培训,150-500人
