,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,人工智能,机器学习工程师,算法/机器学习工程师,重庆慧都科技有限公司,0.6-1万/月,重庆-九龙坡区,民营公司,1年经验,6,招1人,五险一金 交通补贴 通讯补贴 餐饮补贴 年终奖金 周末双休 员工旅游 专业培训 绩效奖金,50-150人
1,人工智能,机器学习工程师,人工智能算法工程师,北京享控智能科技有限公司,1-1.8万/月,重庆-渝北区,民营公司,5-7年经验,6,招1人,五险一金 餐饮补贴 定期体检 年终奖金 节假日福利 专业培训,50-150人
2,人工智能,机器学习工程师,自动驾驶视觉软件算法高级工程师（上海）(J13810),重庆长安汽车软件科技有限公司,2.4-4.8万/月,异地招聘,民营公司,3-4年经验,6,招6人,,
3,人工智能,机器学习工程师,机器学习工程师,深圳微品致远信息科技有限公司,1.5-2.2万/月,重庆,民营公司,1年经验,5,招若干人,五险一金 专业培训 绩效奖金 年终奖金 弹性工作,150-500人
4,人工智能,机器学习工程师,人工智能,贵州趣益科技有限责任公司,5-8千/月,重庆-渝北区,民营公司,1年经验,5,招4人,五险一金 补充医疗保险 补充公积金 员工旅游 定期体检 年终奖金 绩效奖金 交通补贴 餐饮补贴 通讯补贴,少于50人
5,人工智能,机器学习工程师,AI训练师（重庆电信）,重庆市云日信息技术有限公司,0.9-1.2万/月,重庆-南岸区,民营公司,2年经验,6,招1人,五险一金,150-500人
6,人工智能,机器学习工程师,医学经理/专员（AI应用方向）,广州天鹏计算机科技有限公司,1-1.5万/月,重庆-渝北区,民营公司,2年经验,6,招5人,周末双休 带薪年假 五险一金 餐饮补贴 绩效奖金 丰厚奖金 股票期权,150-500人
7,人工智能,机器学习工程师,机器人工程师,重庆凡事达科技有限公司,4.5-6千/月,重庆-九龙坡区,民营公司,无需经验,5,招2人,,50-150人
8,人工智能,机器学习工程师,机器学习工程师,重庆斐邦科技有限公司,0.5-1万/月,重庆-九龙坡区,民营公司,无需经验,5,招2人,五险一金 专业培训 通讯补贴 餐饮补贴 绩效奖金,
9,人工智能,机器学习工程师,长安软件公司-机器学习算法高级工程师(J13466),重庆长安汽车软件科技有限公司,1.2-2.4万/月,重庆-江北区,民营公司,3-4年经验,6,招4人,,
10,人工智能,深度学习工程师,人工智能/AI/深度学习算法工程师,重庆云网科技股份有限公司,1.5-3.5万/月,重庆-南岸区,上市公司,2年经验,6,招1人,专业培训 节日福利 带薪年假 定期体检 绩效奖金 五险,150-500人
11,人工智能,深度学习工程师,深度算法工程师,重庆数宜信信用管理有限公司,0.8-1.3万/月,重庆-巴南区,民营公司,3-4年经验,6,招1人,五险一金 绩效奖金,50-150人
12,人工智能,深度学习工程师,长安软件公司-强化学习算法高级工程师(J13467),重庆长安汽车软件科技有限公司,1.2-2.4万/月,重庆-江北区,民营公司,3-4年经验,6,招8人,,
13,人工智能,深度学习工程师,嵌入式开发学徒,重庆嘉锦科技有限公司,4-6千/月,重庆-九龙坡区,民营公司,无需经验,5,招3人,五险一金 交通补贴 餐饮补贴 专业培训 弹性工作,50-150人
14,人工智能,图像算法工程师,高级算法工程师/图像处理工程师,重庆摇橹船科技有限公司,1.2-3万/月,重庆-渝北区,合资,5-7年经验,7,招3人,,50-150人
15,人工智能,图像算法工程师,AI算法工程师,苏州纳智天地智能科技有限公司,0.8-1万/月,重庆-沙坪坝区,民营公司,2年经验,6,招2人,五险一金 餐饮补贴 弹性工作 绩效奖金 年终奖金 股票期权,50-150人
16,人工智能,图像算法工程师,图像算法工程师,江苏雷科防务科技股份有限公司,1.5-2.5万/月,异地招聘,上市公司,3-4年经验,7,招若干人,五险一金 补充医疗保险 定期体检 节日福利 带薪年假,
17,人工智能,图像算法工程师,图像算法工程师,中冶赛迪重庆信息技术有限公司,1-1.5万/月,重庆,国企,1年经验,7,招10人,五险一金 餐饮补贴 定期体检 专业培训 员工旅游,500-1000人
18,人工智能,图像算法工程师,算法工程师,重庆傲雄在线信息技术有限公司,1.2-3万/月,重庆-渝北区,民营公司,2年经验,6,招3人,餐饮补贴 年终奖金 周末双休 五险一金 做五休二 节日福利,150-500人
19,人工智能,图像算法工程师,算法工程师,北京英孚泰克信息技术股份有限公司重庆分公司,0.8-1.6万/月,重庆-渝北区,民营公司,无需经验,6,招4人,五险一金 周末双休 带薪年假,150-500人
20,人工智能,图像算法工程师,AI实习生,重庆傲雄在线信息技术有限公司,3-5千/月,重庆-渝北区,民营公司,在校生/应届生,6,招5人,,150-500人
21,人工智能,图像处理工程师,OpenGL/DirectX开发工程师,上海砥学信息科技有限公司,1-1.5万/月,重庆,民营公司,1年经验,5,招10人,,50-150人
22,人工智能,图像处理工程师,视觉图像算法工程师,华通科技有限公司,1-2万/月,重庆-渝北区,民营公司,2年经验,6,招1人,五险一金 补充医疗保险 年终奖金 餐饮补贴 免费班车,500-1000人
23,人工智能,图像处理工程师,高级camera驱动/hal工程师,中科创达软件股份有限公司,1.8-3.5万/月,重庆-渝北区,上市公司,1年经验,,招10人,五险一金 餐饮补贴 补充医疗保险 员工旅游 交通补贴 年终奖金 弹性工作,5000-10000人
24,人工智能,图像处理工程师,高级camera tuning工程师,中科创达软件股份有限公司,1.5-3.5万/月,重庆-渝北区,上市公司,1年经验,,招10人,五险一金 餐饮补贴 补充医疗保险 员工旅游 交通补贴 年终奖金 弹性工作,5000-10000人
25,人工智能,图像处理工程师,高级camera tuning工程师,中科创达软件股份有限公司,1.5-3万/月,重庆-渝北区,上市公司,3-4年经验,,招若干人,五险一金 餐饮补贴 补充医疗保险 员工旅游 交通补贴 年终奖金 股票期权 弹性工作,5000-10000人
26,人工智能,图像处理工程师,高级camera tuning工程师,中科创达软件股份有限公司,1-2万/月,重庆-渝北区,上市公司,5-7年经验,,招若干人,五险一金 餐饮补贴 员工旅游 交通补贴 年终奖金 股票期权 弹性工作 每年两次调薪 专业培训 定期团建,5000-10000人
27,人工智能,图像识别工程师,中级算法工程师,重庆摇橹船科技有限公司,1-1.5万/月,重庆-渝北区,合资,3-4年经验,7,招3人,,50-150人
28,人工智能,图像识别工程师,人工智能,贵州趣益科技有限责任公司,5-8千/月,重庆-渝北区,民营公司,1年经验,5,招4人,五险一金 补充医疗保险 补充公积金 员工旅游 定期体检 年终奖金 绩效奖金 交通补贴 餐饮补贴 通讯补贴,少于50人
29,人工智能,图像识别工程师,数据标注工程师（初级算法）,重庆摇橹船科技有限公司,4.5-6千/月,重庆-渝北区,合资,无需经验,6,招2人,,50-150人
30,人工智能,语音识别工程师,数据标注专员,循声科技（重庆）有限公司,150元/天,重庆-南岸区,创业公司,1年经验,5,招若干人,专业培训 弹性工作,50-150人
31,人工智能,机器视觉工程师,机器视觉算法工程师,重庆庆云石油工程技术有限责任公司,1.3-2.5万/月,重庆-渝北区,民营公司,2年经验,6,招1人,五险 工作餐 周末双休,150-500人
32,人工智能,机器视觉工程师,长安软件公司-自动驾驶视觉高级软件工程师(J13465),重庆长安汽车软件科技有限公司,1.2-2.4万/月,重庆-江北区,民营公司,3-4年经验,6,招17人,,
33,人工智能,机器视觉工程师,机器视觉算法工程师,重庆庆云石油工程技术有限责任公司,1-1.8万/月,重庆-渝北区,民营公司,2年经验,6,招1人,五险 工作餐 周末双休,150-500人
34,人工智能,自然语言处理(NLP),知识图谱研发工程师,重庆数宜信信用管理有限公司,1-2.5万/月,重庆-巴南区,民营公司,2年经验,6,招1人,五险一金 弹性工作 绩效奖金,50-150人
35,人工智能,自然语言处理(NLP),博士后研究员,重庆兆光科技股份有限公司,4-5万/月,重庆-渝北区,民营公司,1年经验,8,招5人,五险 周末双休 绩效奖金,50-150人
36,人工智能,算法工程师,3D点云重建及处理算法高级工程师,重庆庆图光电有限公司,1.5-5万/月,重庆,民营公司,1年经验,6,招2人,五险一金 绩效奖金 年终奖金 包住宿,少于50人
37,人工智能,算法工程师,图像算法工程师,重庆广睿达科技有限公司,1-2万/月,重庆-渝北区,民营公司,3-4年经验,7,招1人,五险一金 绩效奖金 年终奖金 定期体检,50-150人
38,人工智能,算法工程师,算法工程师,重庆斐邦科技有限公司,5-9.5千/月,重庆-九龙坡区,民营公司,无需经验,5,招2人,,
39,人工智能,算法工程师,高级算法工程师/图像处理工程师,重庆摇橹船科技有限公司,1.2-3万/月,重庆-渝北区,合资,5-7年经验,7,招3人,,50-150人
40,人工智能,算法工程师,算法工程师,重庆电政信息科技有限公司,1-1.5万/月,重庆-渝北区,民营公司,2年经验,6,招2人,五险一金 绩效奖金 周末双休 员工宿舍 弹性工作 全勤奖 节假日福利 交通补贴 餐饮补贴 半年调薪机会,50-150人
41,人工智能,算法工程师,AI算法工程师,重庆兆光科技股份有限公司,6-9千/月,重庆-渝北区,民营公司,招5人,,招5人,五险 周末双休,50-150人
42,人工智能,算法工程师,机器视觉算法工程师,重庆庆云石油工程技术有限责任公司,1.3-2.5万/月,重庆-渝北区,民营公司,2年经验,6,招1人,五险 工作餐 周末双休,150-500人
43,人工智能,算法工程师,UWB定位算法工程师,深圳市翌日科技有限公司,1-2万/月,重庆-渝北区,民营公司,2年经验,6,招1人,包住宿 周末双休 五险一金 年终奖金 绩效奖金 生日礼金 节日福利 带薪年假 员工旅游 定期体检,50-150人
44,人工智能,算法工程师,气象算法工程师,重庆云辑数字科技有限责任公司,0.6-1.6万/月,重庆-渝北区,合资,1年经验,6,招2人,五险一金 周末双休 打车报销 零食下午茶 早九晚六 食堂 年终奖金,50-150人
45,人工智能,算法工程师,视觉SLAM算法开发工程师（上海）(J13812),重庆长安汽车软件科技有限公司,2.4-4.8万/月,异地招聘,民营公司,3-4年经验,6,招4人,,
46,人工智能,算法工程师,人工智能/AI/深度学习算法工程师,重庆云网科技股份有限公司,1.5-3.5万/月,重庆-南岸区,上市公司,2年经验,6,招1人,专业培训 节日福利 带薪年假 定期体检 绩效奖金 五险,150-500人
47,人工智能,算法工程师,算法科学家,重庆精耕企业管理咨询有限公司,1.5-2万/月,重庆,民营公司,10年以上经验,6,招2人,带薪年假 专业培训 绩效奖金 五险一金 节日福利 生日礼金 年度旅游,50-150人
48,人工智能,算法工程师,算法工程师,重庆数宜信信用管理有限公司,1.5-3万/月,重庆-巴南区,民营公司,无需经验,6,招7人,五险一金 绩效奖金,50-150人
49,人工智能,算法工程师,算法工程师,重庆桥思科技有限责任公司,1.3-1.6万/月,重庆-渝北区,民营公司,5-7年经验,6,招1人,双休 交通补贴 餐饮补贴 五险,少于50人
50,人工智能,算法工程师,三维点云处理工程师,重庆九洲星熠导航设备有限公司,1.5-2万/月,异地招聘,国企,2年经验,6,招2人,五险一金 交通补贴 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 带薪年假,150-500人
51,人工智能,算法工程师,数据算法工程师,中冶赛迪重庆信息技术有限公司,1-1.5万/月,重庆,国企,1年经验,7,招10人,五险一金 餐饮补贴 定期体检 专业培训 员工旅游,500-1000人
52,人工智能,算法工程师,算法工程师,重庆傲雄在线信息技术有限公司,1.2-3万/月,重庆-渝北区,民营公司,2年经验,6,招3人,餐饮补贴 年终奖金 周末双休 五险一金 做五休二 节日福利,150-500人
