,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,后端开发,Java开发工程师,Java开发工程师(成都）,重庆昱普生科技发展有限公司,0.7-1.2万/月,重庆-渝北区,民营公司,3-4年经验,6,招1人,,少于50人
1,后端开发,Java开发工程师,JAVA,重庆瑞利斯科技有限公司,4.5-6千/月,重庆-九龙坡区,民营公司,2年经验,5,招5人,年终奖金 五险一金,少于50人
2,后端开发,Java开发工程师,Java开发工程师,北京政通仁和建材有限公司,0.8-1万/月,重庆-江北区,民营公司,无需经验,6,招2人,,50-150人
3,后端开发,Java开发工程师,Java开发工程师,北京北明数科信息技术有限公司,1.2-1.8万/月,重庆,民营公司,1年经验,6,招3人,五险一金 免费班车 餐饮补贴 年终奖金 定期体检,150-500人
4,后端开发,Java开发工程师,JAVA开发工程师,重庆衡泽软件科技有限公司,8-10万/年,重庆-南岸区,民营公司,2年经验,6,招10人,,50-150人
5,后端开发,Java开发工程师,Java开发工程师,上海泛微网络科技股份有限公司,4-6千/月,重庆,上市公司,1年经验,5,招3人,,5000-10000人
6,后端开发,Java开发工程师,Java开发工程师（数据系统）,宁波菊风系统软件有限公司,1-2万/月,重庆,民营公司,3-4年经验,6,招若干人,五险一金 员工旅游 绩效奖金 年终奖金 股票期权 弹性工作 定期体检 出国机会 全球化产品,150-500人
7,后端开发,Java开发工程师,Java开发工程师,北京英克信息科技有限公司,0.8-1.2万/月,重庆,民营公司,5-7年经验,5,招2人,五险一金 餐饮补贴 通讯补贴 定期体检 年终奖金,150-500人
8,后端开发,Java开发工程师,Java开发工程师,深圳千域时代科技有限公司,1.5-2万/月,重庆-南岸区,民营公司,3-4年经验,5,招10人,,少于50人
9,后端开发,Java开发工程师,Java开发工程师（研发部）,重庆智尔信息技术有限公司,0.6-1万/月,重庆-渝北区,民营公司,2年经验,6,招1人,周末双休 五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 定期体检,50-150人
10,后端开发,Java开发工程师,Java开发工程师,重庆品目网络科技有限公司,0.8-1.2万/月,重庆-渝北区,民营公司,3-4年经验,5,招3人,,少于50人
11,后端开发,Java开发工程师,Java高级开发工程师,西藏智慧说科技发展有限公司,1-1.5万/月,重庆-九龙坡区,合资,5-7年经验,6,招1人,五险一金 交通补贴 绩效奖金 员工旅游 通讯补贴,少于50人
12,后端开发,Java开发工程师,JAVA开发,大连阿尔泰克信息技术有限公司,1-1.5万/月,重庆-沙坪坝区,外资（欧美）,3-4年经验,5,招5人,,500-1000人
13,后端开发,Java开发工程师,Java开发工程师,中软国际科技服务有限公司,1-1.5万/月,重庆-渝中区,合资,3-4年经验,6,招5人,五险一金 绩效奖金 弹性工作 餐饮补贴 专业培训 免费班车 年终奖金 企业滴滴 项目奖金 双倍加班费,10000人以上
14,后端开发,Java开发工程师,资深工程师（重庆） (MJ003117),神州数码信息服务股份有限公司,1-2万/月,重庆-渝中区,上市公司,5-7年经验,6,招2人,,5000-10000人
15,后端开发,Java开发工程师,中高级工程师（银行项目）,神州数码系统集成服务有限公司深圳分公司,0.8-1.8万/月,重庆-渝北区,民营公司,2年经验,5,招5人,餐饮补贴 五险一金,10000人以上
16,后端开发,Java开发工程师,高级软件开发工程师,金蝶软件（中国）有限公司重庆分公司,1-2.5万/月,重庆,外资（非欧美）,5-7年经验,6,招2人,五险一金 绩效奖金 定期体检 专业培训,1000-5000人
17,后端开发,Java开发工程师,Java开发工程师,东软集团股份有限公司,0.8-1.2万/月,重庆,上市公司,2年经验,6,招5人,五险一金 补充医疗保险 通讯补贴 年终奖金 定期体检,10000人以上
18,后端开发,Java开发工程师,Java工程师(J10533),成都数联铭品科技有限公司,0.8-1万/月,重庆,民营公司,2年经验,6,招1人,五险一金 餐饮补贴 交通补贴 通讯补贴 弹性工作 周末双休 带薪年假 节日福利 加班补贴,500-1000人
19,后端开发,Java开发工程师,Java中级开发工程师,重庆广睿达科技有限公司,0.7-1.4万/月,重庆-渝北区,民营公司,3-4年经验,6,招1人,五险一金 绩效奖金 年终奖金 定期体检 团建经费 生日礼金 节假日礼金,50-150人
20,后端开发,Java开发工程师,Java开发工程师,重庆锐云科技有限公司,1-1.5万/月,重庆,民营公司,3-4年经验,6,招1人,五险一金 员工活动 节日福利 餐补 全勤奖 加班补贴 项目奖 年终绩效奖 13新,150-500人
21,后端开发,Java开发工程师,Java开发实习生,重庆嘉锦科技有限公司,4.5-6千/月,重庆-九龙坡区,民营公司,无需经验,5,招3人,五险一金 交通补贴 餐饮补贴 专业培训 弹性工作,50-150人
