,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,数据,数据分析经理/主管,数据标注主管,黑芝麻智能科技（上海）有限公司,4.5-7千/月,重庆-渝北区,民营公司,3-4年经验,6,招1人,五险一金 补充医疗保险 交通补贴 定期体检 岗位晋升 通讯补贴 年终奖金 绩效奖金,150-500人
1,数据,数据分析经理/主管,大数据产品经理,北京享控智能科技有限公司,0.9-1.4万/月,重庆-渝北区,民营公司,5-7年经验,6,招1人,五险一金 餐饮补贴 定期体检 年终奖金 节假日福利 专业培训,50-150人
2,数据,数据分析师,数据标注,重庆凡事达科技有限公司,4-8千/月,重庆-九龙坡区,民营公司,无需经验,5,招2人,,50-150人
3,数据,数据分析师,数据分析师助理/五险一金,成都坤东科技发展有限公司,4.5-6千/月,重庆-渝北区,民营公司,无需经验,5,招若干人,节日福利 员工旅游 全勤奖 专业培训 五险一金,500-1000人
4,数据,数据分析师,数据分析师,重庆凡事好科技有限公司,0.5-1万/月,重庆,民营公司,无需经验,5,招2人,,50-150人
5,数据,数据分析师,数据运营专员,科大国创云网科技有限公司,6-9千/月,重庆,民营公司,2年经验,6,招3人,,1000-5000人
6,数据,数据分析师,数据分析师,重庆安鑫动科技有限公司,4.5-8千/月,重庆-九龙坡区,民营公司,无需经验,5,招2人,五险一金 交通补贴 餐饮补贴 专业培训 年终奖金 定期体检,
7,数据,数据分析师,设备联网数据采集专家,重庆扬讯数字科技股份有限公司,0.7-1.5万/月,重庆,上市公司,3-4年经验,6,招1人,五险一金 绩效奖金 补充公积金 年终奖金 餐饮补贴,150-500人
8,数据,数据分析师,数据分析师（重庆）,智器云南京信息科技有限公司,4-7千/月,重庆,民营公司,1年经验,6,招1人,五险一金 餐饮补贴 通讯补贴 绩效奖金 年终奖金 股票期权 交通补贴,150-500人
9,数据,数据分析师,产品数据分析师（重庆）,东方微银科技股份有限公司,0.7-1.4万/月,重庆-江北区,民营公司,3-4年经验,6,招1人,五险一金 餐饮补贴 通讯补贴 定期体检 专业培训,150-500人
10,数据,数据分析师,数据标注,黑芝麻智能科技（上海）有限公司,3-3.5千/月,重庆-渝北区,民营公司,无需经验,5,招8人,五险一金 定期体检 弹性工作 带薪年假 补充医疗保险 专业培训 绩效奖金,150-500人
11,数据,数据分析师,数据分析师,重庆网达软件有限公司,0.5-1万/月,重庆,上市公司,3-4年经验,6,招若干人,五险一金 周末双休,500-1000人
12,数据,数据分析师,数据管理员,重庆数宜信信用管理有限公司,0.7-1.2万/月,重庆-渝北区,民营公司,3-4年经验,6,招1人,五险一金 绩效奖金,50-150人
13,数据,数据分析师,数据分析师,重庆文德数字科技有限公司,4-5千/月,重庆-永川区,民营公司,1年经验,5,招1人,,500-1000人
14,数据,数据分析师,数据处理工程师,贵州趣益科技有限责任公司,4.5-7千/月,重庆-渝北区,民营公司,1年经验,5,招4人,五险一金 补充医疗保险 补充公积金 员工旅游 定期体检 年终奖金 绩效奖金 交通补贴 餐饮补贴 通讯补贴,少于50人
15,数据,数据分析师,数据分析师,重庆联合飞创科技有限公司,1-1.5万/月,重庆-渝北区,民营公司,3-4年经验,6,招2人,节日福利 五险一金 餐饮补贴 年终奖金,50-150人
16,数据,数据分析师,Java大数据开发工程师,重庆酷贝科技发展有限公司,0.8-1万/月,重庆-渝北区,民营公司,2年经验,5,招若干人,五险一金 员工旅游 定期体检 年终奖金 绩效奖金,50-150人
17,数据,数据分析师,算法工程师,重庆舟海智能科技有限公司,0.9-1.8万/月,重庆-渝北区,民营公司,1年经验,6,招3人,年终奖金,50-150人
18,数据,数据分析师,市场销售,重庆崇海信息技术有限公司,6-8千/月,重庆,民营公司,2年经验,5,招1人,,少于50人
19,数据,数据分析师,运筹优化工程师,中冶赛迪重庆信息技术有限公司,0.8-1万/月,重庆,国企,在校生/应届生,7,招若干人,,500-1000人
20,数据,数据分析师,数据分析师（1）,重庆市通信产业服务有限公司中冉信息分公司,1.8-2.5千/月,重庆-渝北区,国企,在校生/应届生,6,招1人,,150-500人
21,数据,数据分析师,数据处理工程师,重庆凡事达科技有限公司,6-8千/月,重庆-九龙坡区,民营公司,无需经验,5,招2人,,50-150人
22,数据,数据分析师,数据分析专家,重庆数宜信信用管理有限公司,1.5-3万/月,重庆-巴南区,民营公司,5-7年经验,6,招1人,五险一金 绩效奖金,50-150人
23,数据,数据分析师,策略分析师,重庆数宜信信用管理有限公司,1-2万/月,重庆-渝北区,民营公司,3-4年经验,6,招1人,五险一金 绩效奖金,50-150人
24,数据,数据分析师,数据库工程师,重庆酷贝科技发展有限公司,1-1.2万/月,重庆-渝北区,民营公司,2年经验,5,招若干人,五险一金 员工旅游 定期体检 年终奖金 绩效奖金,50-150人
25,数据,数据分析师,人工智能大数据处理与验证,黑芝麻智能科技（上海）有限公司,3-3.5千/月,重庆-渝北区,民营公司,在校生/应届生,5,招5人,五险一金 定期体检 弹性工作 带薪年假 补充医疗保险 专业培训 绩效奖金,150-500人
26,数据,ETL开发工程师,初级数据开发工程师(J11117),上海汉得信息技术股份有限公司,6-8千/月,重庆,上市公司,1年经验,6,招2人,五险一金 补充医疗保险 补充公积金 定期体检 年终奖金 股票期权,10000人以上
27,数据,ETL开发工程师,数据仓库开发工程师,重庆兴农智能科技有限公司,0.8-1.5万/月,重庆-渝北区,国企,3-4年经验,6,招1人,五险一金 补充医疗保险 餐饮补贴 通讯补贴,少于50人
28,数据,ETL开发工程师,数据库开发工程师（重庆德拓）,上海全晓信息技术有限公司,1-1.5万/月,重庆-渝北区,民营公司,3-4年经验,6,招1人,,150-500人
29,数据,ETL开发工程师,大数据工程师（数仓方向）,重庆锐云科技有限公司,0.5-1万/月,重庆,民营公司,1年经验,6,招2人,五险一金 员工持股计划 员工活动 节日福利 餐补 全勤奖 加班补贴 项目奖 年终绩效奖,150-500人
30,数据,ETL开发工程师,大数据工程师,重庆数宜信信用管理有限公司,1-1.5万/月,重庆-渝北区,民营公司,3-4年经验,6,招1人,五险一金 绩效奖金,50-150人
31,数据,ETL开发工程师,ETL开发工程师 (MJ001760),神州数码信息服务股份有限公司,1.2-2万/月,异地招聘,上市公司,在校生/应届生,6,招2人,,5000-10000人
32,数据,ETL开发工程师,ETL开发工程师,重庆慧都科技有限公司,0.8-1万/月,重庆-九龙坡区,民营公司,在校生/应届生,6,招2人,五险一金 交通补贴 通讯补贴 年终奖金 员工旅游 周末双休 员工俱乐部 员工健身房 朝九晚六 带薪年假,50-150人
33,数据,BI工程师,系统架构师,重庆安鑫动科技有限公司,0.6-1万/月,重庆-九龙坡区,民营公司,1年经验,5,招1人,五险一金 交通补贴 餐饮补贴 专业培训 年终奖金 定期体检,
34,数据,BI工程师,BI项目实施工程师,重庆精耕企业管理咨询有限公司,6-8千/月,重庆,民营公司,1年经验,6,招2人,,50-150人
35,数据,数据采集工程师,数据标注,重庆斐邦科技有限公司,4.5-6千/月,重庆-九龙坡区,民营公司,无需经验,5,招1人,五险一金 专业培训 通讯补贴 餐饮补贴 绩效奖金,
36,数据,数据采集工程师,数据标注,重庆凡事好科技有限公司,5-8千/月,重庆,民营公司,无需经验,5,招2人,,50-150人
37,数据,数据采集工程师,标注经理,重庆文德数字科技有限公司,1.2-1.5万/月,重庆-永川区,民营公司,1年经验,5,招1人,,500-1000人
38,数据,数据采集工程师,数据分析师,重庆网达软件有限公司,0.5-1万/月,重庆,上市公司,3-4年经验,6,招若干人,五险一金 周末双休,500-1000人
39,数据,数据采集工程师,知识图谱工程师,重庆数宜信信用管理有限公司,1-2万/月,重庆-巴南区,民营公司,3-4年经验,6,招2人,五险一金 弹性工作 免费班车,50-150人
40,数据,数据采集工程师,数据处理工程师,贵州趣益科技有限责任公司,4.5-7千/月,重庆-渝北区,民营公司,1年经验,5,招4人,五险一金 补充医疗保险 补充公积金 员工旅游 定期体检 年终奖金 绩效奖金 交通补贴 餐饮补贴 通讯补贴,少于50人
41,数据,数据采集工程师,数据处理实习,黑芝麻智能科技（上海）有限公司,100元/天,重庆-渝北区,民营公司,在校生/应届生,5,招10人,,150-500人
42,数据,数据采集工程师,标注专员,软通动力信息技术（集团）股份有限公司,4-5千/月,异地招聘,民营公司,无需经验,2,招5人,,10000人以上
43,数据,数据建模工程师,中级模型工程师,重庆数宜信信用管理有限公司,1-2万/月,重庆-渝北区,民营公司,3-4年经验,6,招1人,五险一金 绩效奖金,50-150人
44,数据,数据建模工程师,数据建模人员,重庆奇梦达科技有限公司,6-8千/月,重庆-渝北区,民营公司,3-4年经验,6,招1人,,少于50人
45,数据,数据建模工程师,数据模型师,神州数码信息服务股份有限公司,1.2-2.5万/月,重庆-渝中区,上市公司,3-4年经验,6,招2人,,5000-10000人
46,数据,数据建模工程师,项目经理,重庆盛捷高科技有限公司,0.8-1万/月,重庆-南岸区,民营公司,5-7年经验,6,招1人,五险 交通补贴 绩效奖金 年终奖金 通讯补贴 餐饮补贴 专业培训,少于50人
47,数据,数据建模工程师,高级数据挖掘师,重庆数宜信信用管理有限公司,1.5-3万/月,重庆-渝北区,民营公司,无需经验,7,招2人,五险一金 绩效奖金,50-150人
48,数据,数据治理工程师,数据处理专员,重庆电政信息科技有限公司,2-4.5千/月,重庆-渝北区,民营公司,无需经验,,招2人,五险一金 绩效奖金 周末双休 员工宿舍 弹性工作 全勤奖 节假日福利 交通补贴 餐饮补贴 半年调薪机会,50-150人
49,数据,数据治理工程师,数据治理工程师,数字重庆信息技术服务有限公司,1-1.5万/月,重庆-渝北区,国企,3-4年经验,7,招1人,五险一金 定期体检 绩效奖金 免费工作餐,150-500人
50,数据,数据治理工程师,数据治理工程师,重庆数宜信信用管理有限公司,1-2万/月,重庆-巴南区,民营公司,3-4年经验,6,招1人,五险一金 绩效奖金,50-150人
51,数据,数据治理工程师,数据库实施工程师,重庆云华科技有限公司,4.5-6千/月,重庆-九龙坡区,民营公司,2年经验,6,招5人,五险一金 员工旅游 交通补贴 餐饮补贴 专业培训 出国机会 年终奖金 弹性工作 定期体检,50-150人
52,数据,数据治理工程师,数据管理与运营,重庆联合飞创科技有限公司,1-1.5万/月,重庆-渝北区,民营公司,3-4年经验,6,招若干人,年终奖金 餐饮补贴 周末双休 五险一金 绩效奖金,50-150人
53,数据,数据治理工程师,数据管理员,重庆数宜信信用管理有限公司,0.7-1.2万/月,重庆-渝北区,民营公司,3-4年经验,6,招1人,五险一金 绩效奖金,50-150人
