,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,前端开发,Web前端开发,web前端工程师-重庆,"泰思通软件（上海）有限公司 TideStone Software (Shanghai) Corp., Ltd.",6-8千/月,重庆-渝中区,外资（非欧美）,3-4年经验,6,招若干人,五险一金 绩效奖金 年终奖金 餐饮补贴,50-150人
1,前端开发,Web前端开发,VUE前端工程师,重庆衡泽软件科技有限公司,8-10万/年,重庆-南岸区,民营公司,2年经验,6,招10人,,50-150人
2,前端开发,Web前端开发,Web前端开发工程师 - Canvas/SVG,重庆北冰洋科技有限公司,1.2-3万/月,重庆,民营公司,3-4年经验,5,招1人,绩效奖金 股票期权 定期体检 周末双休 带薪年假 全勤奖 节日福利 专业培训 五险,少于50人
3,前端开发,Web前端开发,Web前端开发工程师,重庆洞见信息技术有限公司,6-8千/月,重庆-渝北区,民营公司,3-4年经验,5,招2人,年终奖金 周末双休 五险 专业培训 绩效奖金,少于50人
4,前端开发,Web前端开发,中级前端开发工程师,重庆晟一航信息科技有限公司,1-1.5万/月,重庆-江北区,民营公司,3-4年经验,6,招1人,,少于50人
5,前端开发,Web前端开发,前端开发工程师,重庆盛本亚信息技术有限公司,0.5-1万/月,重庆-沙坪坝区,民营公司,1年经验,5,招2人,专业培训 年终奖金 绩效奖金 五险一金 员工旅游,50-150人
6,前端开发,Web前端开发,前端开发工程师,深圳千域时代科技有限公司,1.5-2万/月,重庆-南岸区,民营公司,3-4年经验,5,招8人,,少于50人
7,前端开发,Web前端开发,前端开发工程师,上海从开网络科技有限公司,1.1-1.9万/月,重庆-渝北区,民营公司,3-4年经验,5,招2人,五险一金 年终奖金,50-150人
8,前端开发,Web前端开发,前端开发工程师,重庆品目网络科技有限公司,0.8-1.2万/月,重庆-渝北区,民营公司,3-4年经验,5,招3人,,少于50人
9,前端开发,Web前端开发,前端开发工程师,西藏智慧说科技发展有限公司,0.7-1万/月,重庆-九龙坡区,合资,3-4年经验,5,招1人,五险一金 员工旅游 绩效奖金 餐饮补贴 交通补贴 通讯补贴,少于50人
10,前端开发,Web前端开发,Angular（Remote）,普华永道信息技术（上海）有限公司,1.5-2.5万/月,异地招聘,外资（欧美）,3-4年经验,6,招20人,五险一金 补充医疗保险 通讯补贴 弹性工作 出国机会,500-1000人
11,前端开发,Web前端开发,前端工程师(J10542),成都数联铭品科技有限公司,1-1.5万/月,异地招聘,民营公司,2年经验,6,招若干人,五险一金 餐饮补贴 交通补贴 通讯补贴 弹性工作 周末双休 带薪年假 节日福利 加班补贴,500-1000人
12,前端开发,Web前端开发,初级前端工程师,重庆广睿达科技有限公司,3-6千/月,重庆-渝北区,民营公司,1年经验,5,招1人,五险一金 绩效奖金 定期体检 团建经费 生日礼金 节假日礼金 周末双休 带薪年假 全勤奖 节日福利,50-150人
13,前端开发,Web前端开发,前端工程师,重庆雨都科技有限公司,1-1.5万/月,重庆-南岸区,民营公司,3-4年经验,6,招3人,餐饮补贴 绩效奖金 年终奖金 五险,少于50人
14,前端开发,Web前端开发,前端开发工程师,重庆锐云科技有限公司,6-8千/月,重庆,民营公司,2年经验,6,招1人,五险一金 节日福利 餐补 全勤奖 加班补贴 项目奖 年终绩效奖 13薪 员工旅游 定期体检,150-500人
15,前端开发,Web前端开发,Web前端开发工程师,重庆斐邦科技有限公司,3-6千/月,重庆-九龙坡区,民营公司,无需经验,5,招3人,五险一金 专业培训 通讯补贴 餐饮补贴 绩效奖金,
16,前端开发,Web前端开发,前端开发工程师,上海麦杰科技股份有限公司,1-1.5万/月,重庆-江北区,民营公司,3-4年经验,6,招1人,五险一金 定期体检 通讯补贴 电脑补助 带薪年假 带薪病假 生日福利 节日福利 加班补贴 非外包,150-500人
17,前端开发,Web前端开发,Web前端开发工程师,重庆安鑫动科技有限公司,6-8千/月,重庆-九龙坡区,民营公司,无需经验,5,招2人,五险一金 交通补贴 餐饮补贴 专业培训 年终奖金 定期体检,
18,前端开发,Web前端开发,Web前端开发工程师,重庆非科智地科技有限公司,0.6-1.4万/月,重庆-渝北区,民营公司,3-4年经验,6,招2人,五险一金 交通补贴 专业培训 年终奖金 定期体检 周末双休 旅游假期 旅游津贴 员工活动 节日福利,少于50人
19,前端开发,Web前端开发,Web前端开发工程师,科大国创云网科技有限公司,0.6-1.2万/月,重庆,民营公司,2年经验,6,招3人,,1000-5000人
20,前端开发,Web前端开发,前端开发工程师,重庆鼎利恒互联网信息科技有限公司,4.5-8千/月,重庆-渝北区,民营公司,2年经验,5,招1人,五险一金,少于50人
21,前端开发,Web前端开发,前端开发工程师,重庆旭鹏科技有限公司,0.4-1万/月,重庆,民营公司,1年经验,,招5人,,50-150人
22,前端开发,Web前端开发,Web前端开发工程师,大连柠檬树科技有限公司,1-1.5万/月,重庆-渝北区,民营公司,3-4年经验,,招2人,,少于50人
23,前端开发,Web前端开发,前端开发工程师,重庆昂码信息科技有限公司,5-8千/月,重庆,民营公司,2年经验,5,招1人,五险一金 年终奖金 专业培训 通讯补贴 弹性工作 定期体检,50-150人
24,前端开发,Web前端开发,前端开发工程师,重庆优稳科技有限公司,4.5-8千/月,重庆-沙坪坝区,民营公司,1年经验,6,招2人,交通补贴 餐饮补贴 年终奖金 弹性工作 五险 生日福利 周末双休 节日福利 工龄工资 带薪年假,少于50人
25,前端开发,Web前端开发,前端开发工程师,北京神州泰岳软件股份有限公司,0.8-1.3万/月,重庆-渝北区,上市公司,3-4年经验,6,招若干人,五险一金 补充医疗保险 餐饮补贴 年终奖金 定期体检 社保补贴,1000-5000人
26,前端开发,Web前端开发,Web前端开发工程师,重庆敏昀科技有限公司,4.5-6千/月,重庆-渝中区,民营公司,无需经验,5,招2人,交通补贴 五险一金 绩效奖金 年终奖金 弹性工作 定期体检 员工旅游 餐饮补贴 周末双休 包吃,
27,前端开发,Web前端开发,Web前端工程师,重庆扬成大数据科技有限公司,0.9-1.1万/月,重庆-渝北区,民营公司,1年经验,6,招2人,年终奖金 餐饮补贴 包住 弹性工作 五险 周末双休,少于50人
28,前端开发,Web前端开发,前端开发工程师,重庆德克特信息技术有限公司,1-1.5万/月,重庆-沙坪坝区,民营公司,2年经验,5,招1人,绩效奖金 弹性工作 五险 全勤奖 节日福利 专业培训,500-1000人
29,前端开发,Web前端开发,中级前端开发工程师（五险一金）,重庆易保全网络科技有限公司,0.9-1.2万/月,重庆-渝北区,民营公司,3-4年经验,5,招1人,五险一金 员工旅游 年终奖金 绩效奖金 带薪年假,50-150人
