,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,游戏,游戏开发工程师,游戏开发工程师,重庆斐邦科技有限公司,0.5-1万/月,重庆-九龙坡区,民营公司,无需经验,5,招3人,五险一金 专业培训 通讯补贴 餐饮补贴 绩效奖金,
1,游戏,游戏开发工程师,PHP开发工程师,武汉牧望群网络科技有限公司,1.2-3万/月,异地招聘,合资,2年经验,5,招5人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
2,游戏,游戏开发工程师,Unity实习生,重庆兆潘数码科技有限公司,2-3千/月,重庆-渝中区,民营公司,无需经验,4,招2人,,少于50人
3,游戏,游戏开发工程师,H5游戏开发,武汉牧望群网络科技有限公司,1.2-2万/月,异地招聘,合资,1年经验,5,招2人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
4,游戏,游戏开发工程师,Unity3d开发工程师,重庆兆潘数码科技有限公司,0.6-1.5万/月,重庆-渝中区,民营公司,1年经验,5,招3人,,少于50人
5,游戏,游戏开发工程师,Unreal工程师vr UE4,重庆兆潘数码科技有限公司,0.8-1.5万/月,重庆-渝中区,民营公司,1年经验,5,招1人,,少于50人
6,游戏,游戏开发工程师,游戏U3D客户端（高级）,武汉牧望群网络科技有限公司,1.5-3.5万/月,异地招聘,合资,3-4年经验,5,招3人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
7,游戏,游戏开发工程师,Java游戏服务器,武汉牧望群网络科技有限公司,2-3万/月,异地招聘,合资,2年经验,5,招2人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
8,游戏,游戏开发工程师,高级运维工程师,武汉牧望群网络科技有限公司,1.5-3万/月,异地招聘,合资,5-7年经验,5,招2人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
9,游戏,Cocos2d-x开发工程师,cocos主程序,重庆悦派对信息科技有限公司,1.5-2.5万/月,重庆-江北区,民营公司,2年经验,6,招1人,五险 弹性工作 年终奖金 绩效奖金 交通补贴,150-500人
10,游戏,Unity3d开发工程师,U3D游戏开发程序员,重庆轩进软件有限公司,0.8-1.4万/月,重庆-渝北区,民营公司,1年经验,5,招1人,弹性工作 绩效奖金 周末双休 五险一金 交通补贴 餐饮补贴,50-150人
11,游戏,Unity3d开发工程师,U3D客户端主程,重庆沓士查商贸有限公司,1.5-3万/月,重庆-渝北区,民营公司,3-4年经验,5,招1人,五险 员工旅游 专业培训 绩效奖金 年终奖金 弹性工作 定期体检,
12,游戏,Unity3d开发工程师,unity主程序,重庆悦派对信息科技有限公司,1.5-2.5万/月,重庆-江北区,民营公司,3-4年经验,6,招1人,五险 弹性工作 年终奖金 绩效奖金 交通补贴,150-500人
13,游戏,Unity3d开发工程师,unity高级研发工程师,重庆云威科技有限公司,0.8-1.2万/月,重庆-渝中区,民营公司,2年经验,6,招1人,周末双休 带薪年假 绩效奖金 全勤奖 节日福利 专业培训 五险,150-500人
14,游戏,Unity3d开发工程师,3D游戏软件开发工程师,重庆华教科技有限公司,0.4-1万/月,重庆-渝中区,民营公司,1年经验,5,招若干人,五险 做五休二 年终奖金 员工旅游,少于50人
15,游戏,Unity3d开发工程师,Unity3d开发工程师,广州中国科学院软件应用技术研究所,1.5-2千/月,异地招聘,事业单位,3-4年经验,6,招若干人,年终奖金 绩效奖金 定期体检 员工旅游 专业培训,150-500人
16,游戏,Unity3d开发工程师,Unity3d开发工程师,重庆华教科技有限公司,0.5-1.5万/月,重庆-渝中区,民营公司,1年经验,5,招5人,五险 做五休二 年终奖金 员工旅游,少于50人
17,游戏,Unity3d开发工程师,Unity3d游戏开发工程师,重庆轩进软件有限公司,0.7-1.1万/月,重庆-渝北区,民营公司,在校生/应届生,6,招1人,弹性工作 绩效奖金 周末双休 五险一金 交通补贴 餐饮补贴,50-150人
18,游戏,UE4开发工程师,UE4开发工程师,重庆淘课豆教育科技有限公司,0.8-1.3万/月,重庆-九龙坡区,民营公司,1年经验,5,招5人,五险一金 绩效奖金 积分奖金 团建 节日福利 优秀员工奖金,50-150人
