,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,移动开发,Android开发工程师,Android开发工程师 （加班少）,上海互盾信息科技有限公司,0.8-1.5万/月,重庆-九龙坡区,民营公司,1年经验,5,招2人,五险一金 绩效奖金 年终奖金 全勤奖 节日福利 周末双休 团队聚餐,150-500人
1,移动开发,Android开发工程师,安卓应用开发工程师,科大讯飞股份有限公司,1.5-2万/月,重庆-南岸区,上市公司,3-4年经验,6,招若干人,,1000-5000人
2,移动开发,Android开发工程师,Android开发工程师,重庆智之屋科技发展有限公司,0.6-1.2万/月,重庆-南岸区,民营公司,2年经验,5,招1人,五险一金 弹性工作 节日福利 团队氛围好 领导好 年终奖金,50-150人
3,移动开发,Android开发工程师,Android开发工程师,重庆扬升信息技术有限公司,0.8-1万/月,重庆-渝北区,民营公司,3-4年经验,6,招1人,员工旅游 通讯补贴 专业培训 年终奖金 节日福利 周末双休 带薪年假 五险 交通补贴 餐饮补贴,50-150人
4,移动开发,Android开发工程师,Android开发工程师（急聘）,酒圣科技股份有限公司,1-1.2万/月,重庆-九龙坡区,民营公司,3-4年经验,5,招1人,五险 专业培训 员工旅游 通讯补贴 餐饮补贴 交通补贴 年终奖金,50-150人
5,移动开发,Android开发工程师,Android应用开发工程师,畅索软件科技（上海）有限公司,1-1.5万/月,重庆-江北区,上市公司,3-4年经验,5,招2人,五险一金 年终奖金 带薪年假,1000-5000人
6,移动开发,Android开发工程师,Android开发工程师,重庆锐云科技有限公司,1-1.5万/月,重庆,民营公司,2年经验,6,招2人,五险一金 员工活动 节日福利 全勤奖 加班补贴 项目奖 年终绩效奖 13薪 餐补,150-500人
7,移动开发,Android开发工程师,Android开发工程师,北京弘毅知行科技有限公司,1-1.5万/月,重庆-渝北区,民营公司,3-4年经验,6,招2人,,150-500人
8,移动开发,Android开发工程师,Android开发工程师,重庆衡泽软件科技有限公司,10-16万/年,重庆-南岸区,民营公司,3-4年经验,6,招1人,五险一金 餐饮补贴 通讯补贴 年终奖金 绩效奖金 定期体检,50-150人
9,移动开发,Android开发工程师,Android开发工程师,重庆扬成大数据科技有限公司,0.8-1.5万/月,重庆-渝北区,民营公司,3-4年经验,6,招2人,五险 餐饮补贴 交通补贴 年终奖金 周末双休 弹性工作,少于50人
10,移动开发,Android开发工程师,Android,本无网络科技有限公司,1-1.4万/月,重庆-沙坪坝区,民营公司,3-4年经验,6,招1人,五险 弹性工作 国家法定假日 加班补贴 绩效奖金 年终奖金 项目奖金,少于50人
11,移动开发,Android开发工程师,Android开发工程师,成都迈思信息技术有限公司,1-1.5万/月,重庆-江北区,民营公司,3-4年经验,5,招若干人,五险一金 周末双休,150-500人
12,移动开发,Android开发工程师,安卓/app开发工程师,重庆电政信息科技有限公司,0.6-1万/月,重庆-渝北区,民营公司,2年经验,5,招2人,五险一金 绩效奖金 周末双休 员工宿舍 弹性工作 全勤奖 节假日福利 交通补贴 餐饮补贴,50-150人
13,移动开发,Android开发工程师,Android / JAVA开发工程师,南京普惠恒丰信息科技有限公司,0.6-1.2万/月,重庆,民营公司,1年经验,6,招1人,五险一金 餐饮补贴 通讯补贴 加班补贴 绩效奖金 年终奖金 周末双休 住房补贴,50-150人
14,移动开发,Android开发工程师,Android 应用开发工程师,深圳市发掘科技有限公司,0.8-1.5万/月,重庆-渝北区,民营公司,2年经验,6,招3人,五险一金 免费班车 员工旅游 专业培训 出国机会 年终奖金 股票期权 弹性工作 定期体检 带薪年假,150-500人
15,移动开发,Android开发工程师,Flutter开发工程师,成都大数汇聚科技有限公司,1-1.5万/月,重庆-渝北区,民营公司,1年经验,5,招1人,五险一金 交通补贴 餐饮补贴 年终奖金 绩效奖金 弹性工作 定期体检 专业培训,50-150人
16,移动开发,Android开发工程师,web前端开发助理,重庆敏昀科技有限公司,6-8千/月,重庆-渝中区,民营公司,无需经验,5,招2人,五险一金 员工旅游 交通补贴 餐饮补贴 专业培训 弹性工作 绩效奖金 年终奖金 定期体检,
17,移动开发,Android开发工程师,资深安卓开发工程师,重庆子丘软件有限公司,1.2-2万/月,重庆-江北区,民营公司,5-7年经验,5,招3人,五险一金 定期体检 弹性工作 绩效奖金 年终奖金 员工旅游 带薪年假 周末双休,50-150人
18,移动开发,Android开发工程师,Android开发工程师,重庆庆云石油工程技术有限责任公司,0.9-1.1万/月,重庆-渝北区,民营公司,3-4年经验,6,招1人,年终奖金 五险 周末双休 带薪年假 节日福利,150-500人
19,移动开发,Android开发工程师,Android开发工程师,深圳市翌日科技有限公司,1-1.8万/月,重庆-渝北区,民营公司,2年经验,6,招1人,周末双休 五险一金 年终奖金 绩效奖金 生日礼金 节日福利 带薪年假 员工旅游 定期体检 弹性工作,50-150人
20,移动开发,Android开发工程师,Android开发工程师,重庆旦凡科技有限公司,0.8-1.2万/月,重庆-渝北区,民营公司,2年经验,6,招3人,五险一金 弹性工作 绩效奖金 带薪年假 节日福利,少于50人
21,移动开发,Android开发工程师,Android高级开发工程师,湖北蜂云软件有限公司,0.8-1万/月,重庆-渝北区,民营公司,3-4年经验,5,招若干人,餐饮补贴 专业培训 绩效奖金 弹性工作,50-150人
22,移动开发,Android开发工程师,Android开发工程师,重庆南地科技开发有限公司,4-8千/月,重庆,民营公司,1年经验,5,招2人,周末双休 带薪年假 五险一金 节日福利 专业培训 年终奖金,50-150人
23,移动开发,Android开发工程师,高级Framework工程师（稳定性）,江苏超正科技有限公司,1.5-3万/月,重庆-渝北区,民营公司,5-7年经验,6,招若干人,五险一金 交通补贴 餐饮补贴,150-500人
24,移动开发,Android开发工程师,Android开发工程师,江苏易云科技有限公司,1.5-2万/月,重庆,民营公司,3-4年经验,6,招2人,做五休二 年终奖金 五险一金,50-150人
25,移动开发,Android开发工程师,Android开发工程师,重庆扬讯数字科技股份有限公司,1.1-1.6万/月,重庆,上市公司,3-4年经验,6,招1人,五险一金 绩效奖金 补充公积金 年终奖金 餐饮补贴,150-500人
26,移动开发,Android开发工程师,Android开发工程师,筑智建科技（重庆）有限公司,1-1.5万/月,重庆-沙坪坝区,民营公司,3-4年经验,5,招1人,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 年终奖金 绩效奖金,150-500人
