,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,运维/技术支持,运维工程师,运维工程师,联合微电子中心有限责任公司,10-15万/年,重庆-沙坪坝区,国企,3-4年经验,6,招1人,五险一金 定期体检 绩效奖金 工作餐 专业培训 年终奖金 节日慰问 生日慰问 住院慰问 高温假,500-1000人
1,运维/技术支持,运维工程师,实施运维工程师,贵州清泉阳科技有限公司,6-8千/月,重庆-渝中区,民营公司,无需经验,5,招4人,五险一金 交通补贴 绩效奖金 餐饮补贴 补充医疗保险 补充公积金 定期体检 员工旅游 年终奖金 周末双休,
2,运维/技术支持,运维工程师,初级运维工程师（7）,重庆市通信产业服务有限公司中冉信息分公司,4-6千/月,重庆-渝北区,国企,1年经验,6,招2人,五险一金 定期体检 交通补贴 通讯补贴 餐饮补贴 专业培训,150-500人
3,运维/技术支持,运维工程师,运维工程师,重庆广睿达科技有限公司,4-6千/月,重庆-渝北区,民营公司,2年经验,5,招1人,五险一金 绩效奖金 年终奖金 定期体检 团建经费 生日礼金 节假日礼金,50-150人
4,运维/技术支持,运维工程师,网络维护工程师,重庆安鑫动科技有限公司,4-7.5千/月,重庆-九龙坡区,民营公司,无需经验,5,招1人,五险一金 交通补贴 餐饮补贴 专业培训 年终奖金 定期体检,
5,运维/技术支持,运维工程师,数据库运维工程师,重庆远见信息产业集团股份有限公司,0.8-1.1万/月,重庆-渝北区,民营公司,3-4年经验,5,招1人,五险一金 带薪年假 交通补贴 节日福利 生日礼金 绩效奖金 定期体检 通讯补贴 员工旅游,150-500人
6,运维/技术支持,运维工程师,运维工程师（重庆）(002896),北京辰安科技股份有限公司,4.5-6千/月,异地招聘,国企,2年经验,6,招1人,五险一金 补充医疗保险 绩效奖金 年终奖金 定期体检,1000-5000人
7,运维/技术支持,运维工程师,网络运维工程师,重庆斐邦科技有限公司,4-6.5千/月,重庆-九龙坡区,民营公司,无需经验,5,招1人,五险一金 专业培训 通讯补贴 餐饮补贴 绩效奖金,
8,运维/技术支持,运维工程师,IT实习生（前端）,重庆敏昀科技有限公司,6-8千/月,重庆-渝中区,民营公司,无需经验,5,招2人,交通补贴 五险一金 绩效奖金 年终奖金 弹性工作 定期体检 员工旅游 餐饮补贴 周末双休 包吃,
9,运维/技术支持,运维工程师,系统集成实施工程师,重庆扬成大数据科技有限公司,4-8千/月,重庆-渝北区,民营公司,3-4年经验,6,招2人,年终奖金 餐饮补贴 包住 弹性工作 五险 周末双休,少于50人
10,运维/技术支持,运维工程师,系统运维工程师,石家庄伯龙在线科技有限公司,0.7-1.2万/月,重庆,民营公司,3-4年经验,6,招5人,五险一金 节日福利 周末双休,少于50人
