,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,人工智能,机器学习工程师,机器学习算法工程师,潍坊赢启信息科技有限公司,4-5万/月,广州-天河区,民营公司,5-7年经验,7,招若干人,,150-500人
1,人工智能,机器学习工程师,数据挖掘研发工程师,广州思迈特软件有限公司,1.5-3万/月,广州,民营公司,3-4年经验,6,招若干人,五险一金 补充商业保险 员工旅游 年终奖金 专业培训 通讯补贴 弹性工作 定期体检 绩效奖金 带薪年假,150-500人
2,人工智能,机器学习工程师,人工智能应用工程师,航天信息股份有限公司广州航天软件分公司,1.2-2万/月,广州-黄埔区,国企,3-4年经验,6,招1人,五险一金 餐饮补贴 定期体检 年终奖金 绩效奖金 周末双休 节日津贴 工会福利,50-150人
3,人工智能,机器学习工程师,机器学习平台研发工程师,佳都新太科技股份有限公司,1.5-3万/月,广州-天河区,民营公司,3-4年经验,6,招1人,五险一金 免费班车 员工旅游 通讯补贴 餐饮补贴 绩效奖金 定期体检 弹性工作,1000-5000人
4,人工智能,机器学习工程师,机器学习工程师,抚州链视角互联网科技有限公司,1.2-2万/月,异地招聘,民营公司,3-4年经验,6,招若干人,五险一金 员工旅游 专业培训 年终奖金 弹性工作 法定假日,50-150人
5,人工智能,机器学习工程师,强化学习算法研究员,暗物智能科技（广州）有限公司,2-4万/月,广州-南沙区,民营公司,1年经验,7,招若干人,股票期权 优秀员工奖 五险一金 岗位晋升,150-500人
6,人工智能,机器学习工程师,电子开发工程师,广州中鸣数码科技有限公司,0.7-1.5万/月,广州-番禺区,合资,1年经验,6,招若干人,五险一金 绩效奖金 员工旅游 年终奖金,50-150人
7,人工智能,机器学习工程师,算法工程师,广州太平洋电脑信息咨询有限公司,1.2-2.5万/月,广州,外资（非欧美）,3-4年经验,6,招2人,五险一金 交通补贴 餐饮补贴,500-1000人
8,人工智能,机器学习工程师,机器学习算法工程师（衡睿）,宜通世纪科技股份有限公司,30-40万/年,广州-天河区,上市公司,2年经验,6,招若干人,五险一金 通讯补贴 绩效奖金 交通补贴 年终奖金 定期体检,10000人以上
9,人工智能,机器学习工程师,machine learning,广州华钦软件技术有限公司,1-2万/月,广州,民营公司,3-4年经验,6,招若干人,,
10,人工智能,机器学习工程师,产品开发总监,广州交嵌信息技术有限公司,3-4万/月,广州-天河区,民营公司,8-9年经验,7,招1人,五险一金 员工旅游 专业培训 年终奖金 绩效奖金 定期体检 周末双休,50-150人
11,人工智能,机器学习工程师,智能计算系统研究员,广州幻境科技有限公司,2-4千/月,广州-天河区,民营公司,在校生/应届生,6,招若干人,五险一金 周末双休 绩效奖金,50-150人
12,人工智能,机器学习工程师,算法工程师,广东三维家信息科技有限公司,2-4万/月,广州-天河区,民营公司,在校生/应届生,6,招4人,员工旅游 餐饮补贴 绩效奖金 定期体检 年终奖金 五险一金,1000-5000人
13,人工智能,深度学习工程师,深度学习研发工程师,凯通科技股份有限公司,0.8-1.5万/月,广州-黄埔区,民营公司,2年经验,5,招若干人,五险一金 补充医疗保险 定期体检,150-500人
14,人工智能,深度学习工程师,人工智能研究员,北京普睿德利科技有限公司,2-3万/月,广州-越秀区,民营公司,2年经验,7,招若干人,五险一金,50-150人
15,人工智能,深度学习工程师,人工智能工程师,广州林猫物种自动识别技术有限公司,1-1.5万/月,广州-黄埔区,民营公司,3-4年经验,5,招1人,五险一金 绩效奖金 弹性工作 专业培训 员工旅游,少于50人
16,人工智能,深度学习工程师,算法工程师,广州旭升源科技有限公司,2-2.5万/月,异地招聘,民营公司,3-4年经验,6,招3人,五险一金,150-500人
17,人工智能,深度学习工程师,深度学习工程师,广州市幸福网络技术有限公司,0.6-1.2万/月,广州-天河区,民营公司,1年经验,5,招1人,周末双休 带薪年假 节日福利 年终奖金 年度体检 社会保险 免费工作餐 补充医疗保险 补充公积金,150-500人
18,人工智能,深度学习工程师,深度学习算法工程师,广州心娱网络科技有限公司,2-2.5万/月,广州-天河区,民营公司,3-4年经验,7,招若干人,五险一金 交通补贴 餐饮补贴 员工旅游 年终奖金 股票期权,150-500人
19,人工智能,深度学习工程师,深度学习算法工程师,广州市微微信息科技有限公司,1.5-2.5万/月,广州-番禺区,民营公司,3-4年经验,6,招1人,五险一金 专业培训 扁平化管理 节日福利 广阔发展空间 健康活泼氛围 每周球类运动 下午茶 团队聚餐 大小周,50-150人
20,人工智能,深度学习工程师,深度学习算法工程师,广州市新文溯科技有限公司,22-50万/年,广州-番禺区,民营公司,无需经验,6,招2人,五险一金 补充医疗保险 500强客户 周末双休 交通补贴 通讯补贴 餐饮补贴 绩效奖金,50-150人
21,人工智能,深度学习工程师,高级算法工程师,江苏润和软件股份有限公司,2.5-3.5万/月,广州-黄埔区,民营公司,8-9年经验,6,招1人,五险一金 餐饮补贴 年终奖金 定期体检 员工旅游 周末双休,5000-10000人
22,人工智能,深度学习工程师,音视频，图形图像编解码工程师,广州优视电子有限责任公司,0.5-1.8万/月,广州-番禺区,民营公司,3-4年经验,5,招5人,弹性工作 绩效奖金 五险一金 年终奖金 交通补贴 餐饮补贴,少于50人
