,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,后端开发,Java开发工程师,java开发工程师（外企中西方假、大神带队、技术前沿）,武汉佰钧成技术有限责任公司,0.7-1.5万/月,广州-天河区,民营公司,2年经验,6,招10人,五险一金 补充医疗保险 员工旅游 定期体检 带薪年假 年终奖金 弹性工作 出国机会,10000人以上
1,后端开发,Java开发工程师,Java开发工程师,广州欣纬智慧安全科技有限公司,1-1.5万/月,广州,民营公司,3-4年经验,6,招1人,五险一金 员工旅游 餐饮补贴 年终奖金,50-150人
2,后端开发,Java开发工程师,Java开发工程师（周末双休+13薪+有食堂）,深圳易宝软件有限公司,1.4-2.3万/月,广州-黄埔区,民营公司,3-4年经验,5,招3人,,1000-5000人
3,后端开发,Java开发工程师,Java开发工程师,广东天琴信息技术有限公司,1.5-2万/月,广州-天河区,民营公司,5-7年经验,6,招2人,交通补贴 绩效奖金 年终奖金 弹性工作 股票期权 专业培训 五险一金,150-500人
4,后端开发,Java开发工程师,Java开发工程师,广东广凌信息科技股份有限公司,0.6-1万/月,广州-天河区,上市公司,1年经验,6,招2人,五险一金 员工旅游 专业培训 年终奖金 定期体检 交通补贴 通讯补贴,50-150人
5,后端开发,Java开发工程师,Java中级开发工程师,北京石基大商信息技术有限公司,0.8-1.5万/月,广州,上市公司,3-4年经验,6,招1人,五险一金 员工旅游 通讯补贴 定期体检 节日福利 年终奖金 带薪年假 绩效奖金,500-1000人
6,后端开发,Java开发工程师,Java开发工程师,上海华钦信息科技股份有限公司,1.5-2万/月,广州-天河区,上市公司,3-4年经验,6,招2人,补充医疗保险 五险一金 专业培训 年终奖金 定期体检,1000-5000人
7,后端开发,Java开发工程师,Java初级开发工程师,南京阿贝斯信息科技有限公司,0.8-1.3万/月,异地招聘,民营公司,1年经验,5,招5人,五险一金 交通补贴 定期体检 节日福利 全勤奖 员工旅游 绩效奖金 股票期权,50-150人
8,后端开发,Java开发工程师,Java资深开发工程师,广州尚捷智慧云网络科技有限公司,1-1.5万/月,广州-番禺区,民营公司,3-4年经验,5,招2人,,少于50人
9,后端开发,Java开发工程师,Java中级开发工程师,广州优盟网络信息有限公司,1.2-1.6万/月,广州-天河区,民营公司,3-4年经验,6,招3人,五险一金 周末双休 年终奖金 老板同事nice 多元化环境 弹性工作 免费零食饮料,50-150人
10,后端开发,Java开发工程师,Java后台工程师,广州市坤盛信息科技有限公司,1.2-1.6万/月,广州-天河区,民营公司,5-7年经验,6,招1人,五险一金 餐饮补贴 交通补贴 员工旅游 定期体检 通讯补贴 年终奖金 绩效奖金 弹性工作 周末双休,50-150人
11,后端开发,Java开发工程师,Java开发工程师,深圳市长亮科技股份有限公司,1-1.5万/月,异地招聘,上市公司,3-4年经验,6,招1人,五险一金 餐饮补贴 通讯补贴 员工旅游 定期体检 股票期权 年终奖金 绩效奖金 弹性工作,1000-5000人
12,后端开发,Java开发工程师,高级java工程师,广东太空风智能科技有限公司,1.2-2.4万/月,广州-海珠区,民营公司,3-4年经验,5,招1人,绩效奖金 员工旅游 项目奖金 弹性工作 股票期权 年终奖金,50-150人
13,后端开发,Java开发工程师,Java游戏开发工程师,广州市哇宝信息技术有限公司,0.8-1.3万/月,广州-天河区,民营公司,1年经验,6,招3人,五险一金 员工旅游 弹性工作 年终奖金 定期体检 周末双休 包双餐,50-150人
14,后端开发,Java开发工程师,Java高级开发工程师,广州西麦科技股份有限公司,1-1.8万/月,广州,民营公司,3-4年经验,6,招2人,五险一金 员工旅游 餐饮补贴 通讯补贴 年终奖金 定期体检 商业险,50-150人
15,后端开发,Java开发工程师,JAVA开发工程师,江苏润和软件股份有限公司,1-1.5万/月,广州-黄埔区,民营公司,3-4年经验,6,招2人,五险一金 餐饮补贴 年终奖金 定期体检 员工旅游 周末双休,5000-10000人
16,后端开发,Java开发工程师,Java开发工程师,广州沃客云科技有限公司,5-7千/月,广州-天河区,民营公司,2年经验,6,招若干人,五险一金 年终奖金 绩效奖金 周末双休 节日福利,
17,后端开发,Java开发工程师,中级Java工程师（13薪）,广东道一信息技术股份有限公司,1.1-1.5万/月,广州-天河区,民营公司,2年经验,6,招3人,五险一金 专业培训 绩效奖金 年终奖金 弹性工作 13薪,1000-5000人
18,后端开发,Java开发工程师,Java高级开发工程师,广州宙影软件股份有限公司,2-2.5万/月,广州-黄埔区,民营公司,3-4年经验,6,招5人,,
19,后端开发,Java开发工程师,Java高级开发工程师,广州云力通信科技有限公司,1.5-2万/月,广州-天河区,民营公司,3-4年经验,5,招若干人,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 弹性工作 定期体检 交通补贴,50-150人
20,后端开发,Java开发工程师,年薪26万java开发,道格集团,20-30万/年,广州-天河区,民营公司,3-4年经验,6,招若干人,弹性工作 带薪年假 五险一金 绩效奖金 全勤奖 节日福利 交通补贴 高提成 加班补贴,150-500人
21,后端开发,Java开发工程师,Java高级开发工程师,广东新瑞智安科技有限公司,1-2万/月,广州-天河区,民营公司,5-7年经验,6,招若干人,五险一金 绩效奖金 发展空间大 人性化管理 弹性工作 周末双休 节日福利 员工活动 专业培训,少于50人
22,后端开发,Java开发工程师,Java服务器端开发工程师,深圳大方智能科技有限公司,2.5-3万/月,异地招聘,民营公司,3-4年经验,6,招若干人,五险一金 年终奖金 绩效奖金 股票期权 员工旅游 餐饮补贴,少于50人
23,后端开发,Java开发工程师,Java开发工程师,广州紫川电子科技有限公司,0.6-1.2万/月,广州-南沙区,创业公司,2年经验,6,招3人,五险一金 绩效奖金 弹性工作 年终奖金 出国机会,50-150人
24,后端开发,Java开发工程师,Java开发 琶洲双休,深圳市德科信息技术有限公司,1-1.3万/月,广州-海珠区,合资,2年经验,5,招3人,年终奖金 六险一金 周末双休 大平台 免费班车,1000-5000人
25,后端开发,Java开发工程师,诚聘Java开发工程师,和宇健康科技股份有限公司,1-1.5万/月,广州-天河区,民营公司,3-4年经验,5,招3人,餐饮补贴 五险一金 全勤奖 周末双休 办公环境优美,500-1000人
26,后端开发,Java开发工程师,Java开发工程师,广州平云信息科技有限公司,0.8-1万/月,广州-黄埔区,民营公司,2年经验,5,招若干人,五险一金 员工旅游 年终奖金 绩效奖金 下午茶 专业培训 节日福利 股票期权 定期体检,50-150人
27,后端开发,Java开发工程师,Java中高级开发工程师,广州市品高软件股份有限公司,1-1.5万/月,广州-天河区,民营公司,3-4年经验,6,招若干人,五险一金 交通补贴 餐饮补贴 通讯补贴 专业培训 弹性工作 定期体检 员工旅游,500-1000人
28,后端开发,Java开发工程师,Java开发工程师,广州赢中信息科技有限公司,0.7-1.2万/月,广州-黄埔区,民营公司,1年经验,6,招1人,年终奖金 绩效奖金 专业培训 弹性工作 五险一金,少于50人
29,后端开发,Java开发工程师,Java开发工程师(SA),友邦资讯科技（广州）有限公司,18-27万/年,广州,外资（非欧美）,5-7年经验,6,招1人,五险一金 补充医疗保险 年终奖金 绩效奖金 弹性工作 大牛遍布 15薪 超长带薪年假,500-1000人
30,后端开发,Java开发工程师,急聘java工程实习生,深圳鸿盛庭技术服务有限公司,2-3千/月,广州-白云区,民营公司,无需经验,,招5人,五险一金 餐饮补贴 补充公积金 通讯补贴 股票期权 免费班车 专业培训 弹性工作 出国机会 定期体检,150-500人
31,后端开发,Java开发工程师,Java开发工程师,广州中爆数字信息科技股份有限公司,1-1.5万/月,广州-黄埔区,上市公司,1年经验,6,招10人,周末双休 绩效奖金 全勤奖 节日福利 专业培训 五险一金 带薪年假 年终奖金 定期体检,150-500人
32,后端开发,Java开发工程师,高级Java开发工程师,广州帝隆科技股份有限公司,1.5-2.5万/月,广州-越秀区,上市公司,5-7年经验,6,招10人,五险一金 绩效奖金 定期体检 员工旅游 专业培训 餐饮补贴 年终奖金 节日福利,150-500人
33,后端开发,Java开发工程师,java开发工程师,深圳市卓讯信息技术有限公司,0.6-1.5万/月,广州-越秀区,民营公司,3-4年经验,5,招2人,五险一金 专业培训 绩效奖金 年终奖金 周末双休,50-150人
34,后端开发,Java开发工程师,中级Java开发工程师,广东医大智能科技有限公司,1.5-2万/月,广州-天河区,民营公司,3-4年经验,6,招1人,项目奖金 年终奖金 岗位晋升 每年多次调薪 周末双休 技术大咖 管理大咖 福利好 办公环境舒适 公司氛围好,150-500人
35,后端开发,Java开发工程师,Java开发工程师,广州共享出行科技有限公司,0.9-1.3万/月,广州-海珠区,民营公司,2年经验,6,招3人,,
36,后端开发,Java开发工程师,Java开发工程师（广州）,广东睿盟计算机科技有限公司,0.6-1万/月,广州-天河区,民营公司,1年经验,6,招3人,五险一金 员工旅游 定期体检 绩效奖金 年终奖金,50-150人
37,后端开发,Java开发工程师,Java中级开发工程师,广州源为信息科技有限公司,0.8-1.2万/月,广州-黄埔区,民营公司,3-4年经验,5,招4人,五险一金 员工旅游 专业培训 年终奖金 绩效奖金 项目奖 带薪年假,少于50人
38,后端开发,Java开发工程师,高级Java工程师-（异地珠海上班）,珠海爱浦京软件股份有限公司,1.3-1.6万/月,异地招聘,外资（非欧美）,5-7年经验,5,招2人,五险一金 员工旅游 年终奖金 绩效奖金 专业培训 定期体检 年度调薪,150-500人
39,后端开发,Java开发工程师,Java开发工程师（内部信息化）,广州华资软件技术有限公司,1-1.5万/月,广州,合资,2年经验,5,招2人,五险一金 补充医疗保险 员工旅游 年终奖金 定期体检 节日礼金 14薪+,1000-5000人
40,后端开发,Java开发工程师,Java后端研发工程师（高级）,广东胜通和科技服务有限公司,1.2-1.4万/月,广州-海珠区,国企,3-4年经验,6,招若干人,五险一金 定期体检 绩效奖金 年终奖金 专业培训,10000人以上
41,后端开发,Java开发工程师,Java开发工程师,广州理德物联网科技有限公司,6-9千/月,广州-天河区,民营公司,1年经验,5,招1人,五险一金 绩效奖金 股票期权 餐饮补贴 年终奖金,50-150人
42,后端开发,Java开发工程师,Java中级开发工程师1,唯智信息技术（上海）股份有限公司,1-1.6万/月,广州-天河区,合资,3-4年经验,6,招2人,五险一金 员工旅游 专业培训 出国机会 弹性工作,150-500人
43,后端开发,Java开发工程师,Java（全栈）开发工程师,广州璐华信息技术有限公司,0.9-1.3万/月,广州,民营公司,2年经验,6,招2人,五险一金 补充医疗保险 员工旅游 年终奖金 绩效奖金 弹性工作,少于50人
44,后端开发,Java开发工程师,Java高级开发工程师,广州红迅软件有限公司,1.5-2万/月,广州-海珠区,民营公司,5-7年经验,6,招5人,员工旅游 绩效奖金 五险一金,50-150人
45,后端开发,Java开发工程师,Java开发工程师,广州般若科技有限公司,0.8-1.5万/月,广州-黄埔区,民营公司,2年经验,6,招1人,,50-150人
46,后端开发,Java开发工程师,JAVA开发工程师（中级）,广州恒巨信息科技有限公司,1.1-1.8万/月,广州-越秀区,民营公司,3-4年经验,6,招3人,五险一金 定期体检 员工旅游 年终奖金 专业培训 周末双休 加班少,50-150人
47,后端开发,Java开发工程师,Java开发工程师,广州讯一佳信息科技有限公司,1.2-1.8万/月,广州-天河区,民营公司,3-4年经验,5,招2人,五险一金 补充公积金 专业培训 定期体检 绩效奖金 年终奖金,150-500人
48,后端开发,Java开发工程师,Java开发工程师,亚哲科技股份有限公司,0.8-1.2万/月,广州-黄埔区,民营公司,2年经验,6,招若干人,,50-150人
49,后端开发,Java开发工程师,驻场java开发工程师,广州智能科技发展有限公司,1-1.5万/月,广州-天河区,民营公司,2年经验,5,招1人,五险一金 员工旅游 周末双休 专业培训 绩效奖金 定期体检 弹性工作,150-500人
50,后端开发,Java开发工程师,.java开发工程师,广州九尾信息科技有限公司,1-1.5万/月,广州-番禺区,民营公司,3-4年经验,5,招2人,五险一金 弹性工作 股票期权,150-500人
51,后端开发,Java开发工程师,Java开发工程师,广州立思辰信息科技有限公司,1-1.5万/月,广州-天河区,上市公司,3-4年经验,6,招3人,五险一金 绩效奖金 年终奖金 通讯补贴 餐饮补贴 定期体检,少于50人
52,后端开发,Java开发工程师,日语Java开发工程师,深圳市天钧华信息技术有限公司,1.2-1.8万/月,广州-天河区,民营公司,2年经验,6,招若干人,,少于50人
53,后端开发,Java开发工程师,Java API Developer/ Java API 开发,IBM China Global Delivery Center,1.5-2.2万/月,广州-天河区,外资（欧美）,3-4年经验,6,招若干人,,500-1000人
54,后端开发,Java开发工程师,Java开发工程师,广州云誉科技有限公司,1-1.5万/月,广州-黄埔区,民营公司,3-4年经验,5,招6人,,少于50人
55,后端开发,Java开发工程师,Java开发工程师,汕头市佳创信息科技有限公司,0.8-1.1万/月,广州-天河区,民营公司,3-4年经验,5,招1人,五险一金 年终奖金 定期体检 周末双休,50-150人
56,后端开发,Java开发工程师,高级JAVA开发工程师,广州市网迅信息技术有限公司,1-1.8万/月,广州-越秀区,民营公司,3-4年经验,5,招若干人,五险一金 定期体检 年终奖金 周末双休 员工旅游,150-500人
57,后端开发,Java开发工程师,Java中级开发工程师,广州学邦信息技术有限公司,1.2-1.6万/月,广州-天河区,民营公司,2年经验,6,招若干人,五险一金 专业培训 定期体检 弹性工作 带薪年假 绩效奖金 节日福利 通讯补贴,150-500人
58,后端开发,Java开发工程师,技术经理,广东求学圆梦网络科技有限公司,1.8-2.8万/月,广州-越秀区,民营公司,8-9年经验,6,招1人,五险一金 绩效奖金 交通补贴 餐饮补贴 专业培训 弹性工作 年终奖金,150-500人
59,后端开发,Java开发工程师,高级Java开发（周末双休）,讯猫软件集团有限公司,1.5-2万/月,广州-越秀区,民营公司,3-4年经验,5,招1人,周末双休 购买社保 绩效奖金 节日福利 带薪年假 带薪病假,50-150人
60,后端开发,Java开发工程师,Java开发工程师,广州南天电脑系统有限公司,0.8-1.5万/月,广州-越秀区,上市公司,3-4年经验,5,招5人,五险一金 周末双休 带薪年假 员工旅游 定期体检,500-1000人
61,后端开发,Java开发工程师,Java开发工程师 (MJ003997),广州欢聚时代信息科技有限公司,1.5-3万/月,广州-番禺区,民营公司,3-4年经验,6,招1人,,5000-10000人
62,后端开发,Java开发工程师,Java中级开发工程师,广州美络信息科技有限公司,1-1.5万/月,广州-越秀区,民营公司,3-4年经验,5,招3人,五险一金 补充医疗保险 员工旅游 餐饮补贴 年终奖金 定期体检,150-500人
63,后端开发,Java开发工程师,Java开发工程师,广州火龙果信息科技有限公司,0.5-1.5万/月,广州-海珠区,民营公司,3-4年经验,5,招3人,五险一金 员工旅游 通讯补贴 周末双休 节日福利,50-150人
64,后端开发,Java开发工程师,java开发工程师,广州宝立科技有限公司,1-1.5万/月,广州-天河区,民营公司,2年经验,5,招2人,员工旅游 五险一金 年终奖金,150-500人
65,后端开发,Java开发工程师,Java开发工程师1,联想中望系统服务有限公司（现越亮传奇科技股份有限公司）,0.9-1.5万/月,广州,合资,3-4年经验,5,招2人,五险一金 员工旅游 餐饮补贴 通讯补贴 专业培训 定期体检,500-1000人
66,后端开发,Java开发工程师,Java软件开发工程师,广州佩格信息科技有限公司,0.7-1.3万/月,广州,民营公司,3-4年经验,6,招若干人,,50-150人
67,后端开发,Java开发工程师,Java开发工程师,深圳市华云中盛科技股份有限公司,1.5-2万/月,广州-天河区,民营公司,3-4年经验,5,招2人,五险一金 专业培训 绩效奖金 年终奖金 通讯补贴,500-1000人
68,后端开发,Java开发工程师,后端开发工程师,广州市捍御者信息科技有限公司,1.1-2.3万/月,广州-黄埔区,民营公司,3-4年经验,6,招若干人,节日福利 出差补贴 餐费补贴 定期体检 五险一金,少于50人
69,后端开发,Java开发工程师,中级Java后台开发工程师,广州因爱技术有限公司,10-17万/年,广州-海珠区,民营公司,3-4年经验,6,招3人,五险一金 交通补贴 餐饮补贴 通讯补贴,50-150人
70,后端开发,Java开发工程师,Java开发工程师,上海泛微网络科技股份有限公司,0.8-1万/月,广州-天河区,上市公司,1年经验,6,招若干人,,5000-10000人
71,后端开发,Java开发工程师,Java开发工程师,快优智能技术有限公司,6-8千/月,广州,民营公司,2年经验,5,招1人,五险一金 餐饮补贴 年终奖金 交通补贴 带薪年假 加班补贴 外勤补贴 全勤奖 节日福利 工龄奖,150-500人
72,后端开发,Java开发工程师,Java开发工程师,广州创想云科技有限公司,0.7-1.2万/月,广州,民营公司,1年经验,6,招2人,五险一金 补充医疗保险 员工旅游 交通补贴 餐饮补贴 定期体检,50-150人
73,后端开发,Java开发工程师,JAVA中高级开发工程师（大数据方向）,广州金越软件技术有限公司,1.1-2万/月,广州-天河区,民营公司,2年经验,6,招5人,五险一金 员工旅游 交通补贴 年终奖金 绩效奖金 周末双休 定期体检,50-150人
74,后端开发,Java开发工程师,Java后台开发工程师,宜通世纪科技股份有限公司,0.6-1万/月,广州-天河区,上市公司,3-4年经验,6,招2人,,10000人以上
75,后端开发,Java开发工程师,Java开发工程师,广州市敏创信息科技有限公司,0.7-1.3万/月,广州-天河区,民营公司,2年经验,6,招3人,五险一金 绩效奖金 专业培训 餐饮补贴 员工旅游 年终奖金 年底双薪,50-150人
