,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,数据,数据分析经理/主管,数据运营负责人,百度呼叫中心,2.5-3万/月,广州-番禺区,上市公司,5-7年经验,6,招1人,周末双休 餐饮补贴 商业保险 免费班车 带薪年假 父母保险计划 六险一金 年终奖金 通讯补贴,1000-5000人
1,数据,数据分析经理/主管,数据分析项目经理,广东用友软件有限公司,1.5-2万/月,广州,民营公司,5-7年经验,5,招2人,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 定期体检 年终奖金,500-1000人
2,数据,数据分析经理/主管,SAP-主数据专员,大连亿达信息技术有限公司深圳分公司,6-9.5千/月,广州-天河区,民营公司,2年经验,5,招2人,五险一金 补充商业保险 公积金 年终奖金 员工旅游 定期体检,500-1000人
3,数据,数据分析经理/主管,五险一金双休数据运营岗,北京易捷保网络技术有限公司,0.7-1.2万/月,广州-花都区,民营公司,1年经验,6,招1人,五险一金,150-500人
4,数据,数据分析经理/主管,数据分析主管,北京公瑾科技有限公司广州分公司（慧算账）,1.5-2.5万/月,广州-天河区,民营公司,5-7年经验,6,招1人,五险一金 绩效奖金 年终奖金 餐饮补贴 周末双休,1000-5000人
5,数据,数据分析经理/主管,高级数据分析师（医疗）,广东医大智能科技有限公司,1.5-2万/月,广州-天河区,民营公司,5-7年经验,6,招1人,销售奖金 项目奖金 岗位晋升 每年多次调薪 周末双休 技术大咖 管理大咖 福利好 办公环境舒适 公司氛围好,150-500人
6,数据,数据分析经理/主管,数据分析经理,广州天鹏计算机科技有限公司,1.5-2万/月,广州-天河区,民营公司,3-4年经验,7,招1人,周末双休 带薪年假 五险一金 餐饮补贴 绩效奖金 丰厚奖金 股票期权,150-500人
7,数据,数据分析经理/主管,数据算法,广州旭升源科技有限公司,1.5-2万/月,异地招聘,民营公司,3-4年经验,6,招2人,五险一金 通讯补贴 每周双休 年底双薪,150-500人
8,数据,数据分析经理/主管,数据分析主管,广东赛百威信息科技有限公司,1-1.6万/月,广州-黄埔区,民营公司,3-4年经验,6,招若干人,五险一金 餐饮补贴 免费班车 员工旅游,150-500人
9,数据,数据分析经理/主管,数据分析主管/高级主管,全球购骑士特权,1.2-1.5万/月,广州-天河区,民营公司,3-4年经验,6,招若干人,做五休二 周末双休 弹性工作 带薪年假 五险一金 餐饮补贴 加班补贴 节日福利 交通补贴,500-1000人
