,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,前端开发,Web前端开发,前端开发工程师（React ）,深圳市德科信息技术有限公司,0.8-2万/月,广州-番禺区,合资,2年经验,5,招60人,餐饮补贴 六险一金 周末双休 年终奖金 绩效奖金 专业培训 交通补贴 定期体检,1000-5000人
1,前端开发,Web前端开发,Web前端开发工程师（周末双休+13薪+有食堂）,深圳易宝软件有限公司,1.4-2.3万/月,广州-黄埔区,民营公司,3-4年经验,5,招3人,,1000-5000人
2,前端开发,Web前端开发,Web前端开发工程师,北京石基大商信息技术有限公司,0.8-1.5万/月,广州,上市公司,3-4年经验,6,招1人,五险一金 员工旅游 通讯补贴 定期体检 节日福利 年终奖金 带薪年假 绩效奖金,500-1000人
3,前端开发,Web前端开发,web前端开发,广州点点办公科技有限公司,0.7-1万/月,广州-黄埔区,民营公司,3-4年经验,6,招1人,五险一金 员工旅游 绩效奖金 弹性工作,50-150人
4,前端开发,Web前端开发,小程序开发工程师/Web前端,广州友汇网络科技有限公司,0.8-1万/月,广州-天河区,民营公司,3-4年经验,5,招1人,绩效奖金 做五休二 周末双休 带薪年假 专业培训,50-150人
5,前端开发,Web前端开发,前端开发工程师,广州擎云计算机科技有限公司,0.9-1.2万/月,广州-天河区,民营公司,3-4年经验,5,招1人,周末双休 带薪年假 五险一金 节日福利 交通补贴 通讯补贴 餐饮补贴 弹性工作 商业保险,50-150人
6,前端开发,Web前端开发,高级前端开发工程师,浙江臻善科技股份有限公司广东分公司,1.5-2.5万/月,广州-天河区,民营公司,5-7年经验,6,招2人,五险一金 员工旅游 餐饮补贴 绩效奖金 定期体检,50-150人
7,前端开发,Web前端开发,前端开发工程师,广东兰贝斯科技有限公司,1-2万/月,广州-天河区,民营公司,5-7年经验,5,招1人,五险一金 定期体检 通讯补贴 补充医疗保险 专业培训 员工旅游 交通补贴 年终奖金 绩效奖金,150-500人
8,前端开发,Web前端开发,高级前端开发工程师,广州数字魔方网络科技有限公司,1.5-2万/月,广州-天河区,民营公司,5-7年经验,6,招1人,五险一金 员工旅游 餐饮补贴 绩效奖金 弹性工作 周末双休,50-150人
9,前端开发,Web前端开发,前端开发工程师,广州优盟网络信息有限公司,1-1.8万/月,广州-天河区,民营公司,3-4年经验,5,招1人,五险一金 周末双休 老板同事nice 多元化环境 弹性工作 免费零食饮料,50-150人
10,前端开发,Web前端开发,前端开发工程师,广州市坤盛信息科技有限公司,1-1.3万/月,广州-天河区,民营公司,3-4年经验,5,招2人,五险一金 餐饮补贴 交通补贴 员工旅游 定期体检 通讯补贴 年终奖金 绩效奖金 弹性工作 周末双休,50-150人
