,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,游戏,游戏开发工程师,游戏客户端程序员（Unity）,广州三乐信息科技有限公司,0.8-1.5万/月,广州-天河区,民营公司,2年经验,5,招2人,绩效奖金 年终奖金 定期体检 五险一金 补充医疗保险 员工旅游 餐饮补贴 通讯补贴,50-150人
1,游戏,游戏开发工程师,U3D客户端主程（）,广州市普竞通讯科技有限公司,2-2.5万/月,广州-天河区,外资（欧美）,3-4年经验,5,招1人,员工旅游 年终奖金 餐饮补贴 专业培训 弹性工作,50-150人
2,游戏,游戏开发工程师,H5游戏开发工程师,广州鲸鸿网络科技有限公司,1.2-1.6万/月,广州-天河区,民营公司,3-4年经验,6,招1人,五险一金 餐饮补贴 交通补贴 员工旅游 绩效奖金 年终奖金,少于50人
3,游戏,游戏开发工程师,Unity3d开发工程师,广州华态信息科技有限公司,1-1.5万/月,广州-番禺区,民营公司,3-4年经验,6,招1人,全勤奖 节日福利 带薪年假 绩效奖金 不加班,少于50人
4,游戏,游戏开发工程师,Egret开发工程师,广州市哇宝信息技术有限公司,0.6-1.6万/月,广州-天河区,民营公司,1年经验,5,招3人,五险一金 员工旅游 弹性工作 年终奖金 定期体检 周末双休 包双餐,50-150人
5,游戏,游戏开发工程师,游戏开发工程师,深圳市德科信息技术有限公司,0.9-1.2万/月,广州-天河区,合资,1年经验,6,招2人,五险一金 年终奖金 团建活动 员工旅游 周末双休 节日礼品,1000-5000人
6,游戏,游戏开发工程师,游戏动漫设计,林茂友家科技有限公司,3-4.5千/月,广州-天河区,民营公司,无需经验,2,招5人,,少于50人
7,游戏,游戏开发工程师,Java开发工程师,广州森泽信息科技有限公司,1-1.5万/月,广州-天河区,民营公司,3-4年经验,5,招若干人,五险一金 补充医疗保险 员工旅游 年终奖金 节日福利 周末双休 下午茶福利 绩效奖金,少于50人
8,游戏,游戏开发工程师,PHP开发工程师,上海羽厚亦网络科技有限公司广州分公司,1-1.5万/月,广州-天河区,民营公司,1年经验,5,招若干人,五险一金 餐饮补贴 周末双休 下午茶,少于50人
9,游戏,游戏开发工程师,U3D开发工程师（VR方向）,广州视景医疗软件有限公司,0.8-1.5万/月,广州-天河区,民营公司,1年经验,6,招1人,员工旅游 交通补贴 餐饮补贴 年终奖金 弹性工作 定期体检,50-150人
10,游戏,游戏开发工程师,web前端设计师,广州谷创信息科技有限公司,6-8千/月,广州-天河区,民营公司,无需经验,5,招1人,五险一金 交通补贴 绩效奖金 补充医疗保险 餐饮补贴 年终奖金,
11,游戏,游戏开发工程师,nodejs后台开发工程师,广州扬盛计算机软件有限公司,1.5-2万/月,广州-番禺区,民营公司,2年经验,5,招1人,五险一金 年终奖金 员工旅游 周末双休,150-500人
12,游戏,游戏开发工程师,H5开发工程师,广州天息软件科技有限公司,0.5-1.5万/月,广州-天河区,民营公司,1年经验,5,招1人,五险一金 员工旅游 交通补贴 年终奖金 绩效奖金 弹性工作 餐饮补贴 专业培训,50-150人
13,游戏,游戏开发工程师,5K游戏设计管培生,广州掌艺信息技术有限公司,3.2-5.3千/月,广州-天河区,民营公司,无需经验,5,招5人,弹性工作 带薪年假 五险一金 全勤奖 餐饮补贴 加班补贴 通讯补贴 出国旅游 法定节假日,50-150人
14,游戏,游戏开发工程师,U3D开发工程师,广州能欣文化科技有限公司,0.5-1万/月,广州-天河区,民营公司,1年经验,5,招1人,绩效奖金 专业培训 带薪年假 节日福利 员工活动 项目提成,50-150人
15,游戏,游戏开发工程师,Unity开发工程师,广州莱优信息科技有限公司,0.8-1.4万/月,广州-越秀区,外资（非欧美）,1年经验,5,招1人,五险一金 周末双休 全勤奖 带薪年假 定期体检 节日福利 绩效奖金 下午茶 健康零食 专业培训,50-150人
16,游戏,游戏开发工程师,iOS开发工程师,广州佰锐网络科技有限公司,0.8-1.8万/月,广州-天河区,民营公司,1年经验,6,招2人,五险一金 绩效奖金 年终奖金 周末双休 节日福利 员工体检,150-500人
17,游戏,游戏开发工程师,H5前端开发工程师（laya/白鹭）,9130游戏,1-1.8万/月,广州-天河区,民营公司,2年经验,5,招3人,五险一金 餐饮补贴 年终奖金 弹性工作,500-1000人
18,游戏,游戏开发工程师,Unity3d开发工程师,广州百奇盾软件开发有限公司,1-1.5万/月,广州-番禺区,民营公司,3-4年经验,5,招3人,带薪年假 节日福利 住房补贴 餐饮补贴 五险一金,50-150人
19,游戏,游戏开发工程师,H5开发工程师,上海歆瑷网络科技有限公司广州分公司,0.8-1.5万/月,广州-天河区,民营公司,1年经验,5,招3人,,50-150人
20,游戏,游戏开发工程师,Unity3d开发工程师,广州恒坤信息科技有限公司,1-1.5万/月,广州-海珠区,民营公司,2年经验,6,招2人,五险一金 员工旅游 包餐 年终奖金 定期体检 绩效奖金,150-500人
21,游戏,游戏开发工程师,h5开发工程师,广州谷创信息科技有限公司,6-8千/月,广州-天河区,民营公司,无需经验,5,招4人,五险一金 弹性工作 定期体检 员工旅游 绩效奖金 年终奖金 周末双休 包吃,
22,游戏,游戏开发工程师,H5游戏开发,武汉牧望群网络科技有限公司,1.2-2万/月,异地招聘,合资,1年经验,5,招2人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
23,游戏,游戏开发工程师,cocos开发工程师,广州市唯景互娱信息科技有限公司,0.4-1万/月,广州-海珠区,民营公司,无需经验,6,招10人,五险一金 年终奖金 绩效奖金 员工旅游,50-150人
24,游戏,游戏开发工程师,Unity3d游戏开发工程师主程,广州优视电子有限责任公司,1.2-2万/月,广州-番禺区,民营公司,3-4年经验,5,招2人,弹性工作 绩效奖金 五险一金 交通补贴 餐饮补贴 年终奖金,少于50人
25,游戏,游戏开发工程师,游戏开发工程师（外包网易）,汉堂软件工程（上海）有限公司,0.8-1.5万/月,广州,民营公司,1年经验,6,招1人,,150-500人
26,游戏,游戏开发工程师,Unity3d开发工程师,深圳市幻实科技有限公司,1.2-1.8万/月,广州-天河区,民营公司,2年经验,6,招1人,五险一金 弹性工作 定期体检 绩效奖金 周末双休,少于50人
27,游戏,游戏开发工程师,游戏lua开发工程师,宁波迷之游戏有限公司,1.8-3.5万/月,异地招聘,民营公司,3-4年经验,5,招2人,弹性工作 生日福利 节日福利 定期体检 自由休假 六险一金 周末双休 项目分红 每年旅游 无上限调薪,少于50人
28,游戏,游戏开发工程师,Unity3d开发工程师,广州百游信息科技有限公司,0.8-1万/月,广州-天河区,民营公司,2年经验,6,招2人,五险一金 包三餐 带薪年假 绩效奖金 加班补贴 节日福利,50-150人
29,游戏,游戏开发工程师,游戏技术美术,广州纳仕信息科技有限公司,2.5-5万/月,广州-天河区,民营公司,3-4年经验,,招若干人,五险一金 年终奖金 下午茶 带薪休假 健身瑜伽 团队氛围好,少于50人
30,游戏,游戏开发工程师,H5游戏开发工程师,广州轻阅网络科技有限公司,0.9-1.3万/月,广州-天河区,民营公司,2年经验,5,招若干人,五险一金 弹性工作 年终奖金 绩效奖金 定期体检 团建活动 休闲零食,50-150人
31,游戏,游戏开发工程师,C++高级开发工程师（引擎研发）,广东三维家信息科技有限公司,1.5-3万/月,广州-天河区,民营公司,5-7年经验,6,招若干人,免费班车 员工旅游 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 节日福利 六险一金,1000-5000人
32,游戏,游戏开发工程师,Go后端高级开发工程师,上海及未科技有限公司,1.5-2万/月,广州-天河区,民营公司,3-4年经验,5,招若干人,周末双休 节日福利 全勤奖 五险一金 定期体检,150-500人
33,游戏,游戏开发工程师,H5小游戏开发工程师,广州迈趣科技有限公司,6-8千/月,广州-天河区,民营公司,1年经验,5,招1人,五险一金 包三餐 交通便利 节假日福利,50-150人
34,游戏,游戏开发工程师,GO开发工程师,珠海文景科技有限公司,1.5-2.5万/月,异地招聘,民营公司,2年经验,5,招2人,五险一金 绩效奖金 年终奖金 全勤奖 中午包餐 异地住宿福利 年终双薪 定期体检 餐饮补贴 交通补贴,50-150人
35,游戏,游戏开发工程师,资深客户端开发工程师,广东创智联人力资源有限公司,1.5-3万/月,广州-天河区,民营公司,2年经验,6,招5人,绩效奖金 弹性工作 五险一金 节日福利 岗位晋升,150-500人
36,游戏,游戏开发工程师,Unity3d工程师(中高级),广州竞游信息科技有限公司,0.9-1.5万/月,广州-天河区,民营公司,3-4年经验,5,招若干人,五险一金 包两餐 年底双薪 弹性工作,少于50人
37,游戏,游戏开发工程师,游戏H5前端工程师,平潭柒云科技有限公司,1.3-1.8万/月,广州,民营公司,2年经验,6,招1人,,150-500人
38,游戏,游戏开发工程师,游戏数值策划,广州乐次元网络科技有限公司,1.2-2万/月,广州-天河区,民营公司,3-4年经验,6,招1人,五险一金 补充医疗保险 弹性工作 定期体检 绩效奖金,50-150人
39,游戏,游戏开发工程师,游戏服务端主程C++,广州小云互娱科技有限公司,2.5-3.5万/月,广州-天河区,民营公司,5-7年经验,6,招1人,弹性工作 绩效奖金 节日福利 带薪年假 周末双休,50-150人
40,游戏,游戏开发工程师,游戏前端主程,广州市方巨网络科技有限公司,2.2-2.5万/月,广州,民营公司,3-4年经验,5,招1人,五险一金 员工旅游 年终奖金 全勤奖 高温补贴 弹性工作 包三餐,150-500人
