,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,移动开发,Android开发工程师,Android开发工程师,广州欣纬智慧安全科技有限公司,1-1.5万/月,广州,民营公司,2年经验,6,招1人,五险一金 员工旅游 餐饮补贴 年终奖金,50-150人
1,移动开发,Android开发工程师,Android开发工程师,广州印象科技信息有限公司,1-1.5万/月,广州-海珠区,民营公司,3-4年经验,5,招1人,,150-500人
2,移动开发,Android开发工程师,Android开发工程师,广州油菜花信息科技有限公司,1.5-2万/月,广州-番禺区,民营公司,5-7年经验,6,招1人,五险一金 补充医疗保险 员工旅游 通讯补贴 餐饮补贴 专业培训 年终奖金 定期体检,150-500人
3,移动开发,Android开发工程师,Android APP开发工程师,深圳大方智能科技有限公司,2-2.5万/月,异地招聘,民营公司,2年经验,6,招若干人,五险一金 年终奖金 绩效奖金 股票期权 员工旅游 餐饮补贴,少于50人
4,移动开发,Android开发工程师,Android开发工程师,广东尊一互动科技有限公司,1-1.5万/月,广州-越秀区,合资,3-4年经验,5,招1人,,150-500人
5,移动开发,Android开发工程师,Android开发工程师,广州掌昆网络科技有限公司,0.8-1.5万/月,广州-海珠区,民营公司,1年经验,6,招1人,节日福利 包三餐 全勤奖 周末双休 带薪年假 六险一金 绩效奖金 年终奖金 旅游体检,150-500人
6,移动开发,Android开发工程师,Unity3D虚拟现实工程师,广州赛宝联睿信息科技有限公司,1-1.5万/月,广州-天河区,国企,无需经验,5,招若干人,周末双休 弹性工作 带薪年假 五险一金 绩效奖金 节日福利 专业培训 交通补贴 通讯补贴,150-500人
7,移动开发,Android开发工程师,移动开发工程师-Android,广州城轨科技有限公司,1-1.5万/月,广州-番禺区,民营公司,2年经验,5,招若干人,五险一金 餐饮补贴 绩效奖金 年终奖金 定期体检 周末双休 员工旅游,少于50人
8,移动开发,Android开发工程师,Android开发工程师,广州中爆数字信息科技股份有限公司,1-1.5万/月,广州-黄埔区,上市公司,1年经验,6,招2人,周末双休 绩效奖金 全勤奖 节日福利 专业培训 五险一金 带薪年假 年终奖金 定期体检,150-500人
9,移动开发,Android开发工程师,中高级Android开发工程师,广州帝隆科技股份有限公司,1.1-1.6万/月,广州-越秀区,上市公司,3-4年经验,5,招1人,五险一金 餐饮补贴 定期体检 绩效奖金 年终奖金 员工旅游 专业培训 节日福利,150-500人
10,移动开发,Android开发工程师,Android开发工程师（周末双休））,广东成杰信息科技有限公司,1-1.5万/月,广州-天河区,民营公司,2年经验,5,招1人,五险一金 员工旅游 专业培训 通讯补贴 交通补贴 绩效奖金 年终奖金 周末双休 定期体检,少于50人
11,移动开发,Android开发工程师,安卓开发工程师,广州迪麦信息科技有限公司,0.7-1万/月,广州-天河区,民营公司,2年经验,5,招若干人,五险一金 绩效奖金 定期体检 专业培训 员工旅游 年终奖金 包吃 大小周,少于50人
12,移动开发,Android开发工程师,Android开发工程师,广州心娱网络科技有限公司,1.3-2万/月,广州-天河区,民营公司,3-4年经验,6,招1人,五险一金 专业培训 餐饮补贴 交通补贴 年终奖金 定期体检,150-500人
13,移动开发,Android开发工程师,Android开发工程师,广州久久豆网络科技有限公司,0.9-1.4万/月,广州-天河区,民营公司,3-4年经验,5,招1人,餐饮补贴 全勤奖 五险一金 员工旅游 年终奖金 绩效奖金,少于50人
14,移动开发,Android开发工程师,安卓开发工程师,广州同派信息科技有限公司,1-1.8万/月,广州-天河区,民营公司,2年经验,5,招1人,五险一金 弹性工作,少于50人
15,移动开发,Android开发工程师,中级Android开发工程师,广州鲸鸿网络科技有限公司,1.3-1.8万/月,广州-天河区,民营公司,3-4年经验,6,招1人,五险一金 餐饮补贴 交通补贴 员工旅游 绩效奖金 年终奖金,少于50人
16,移动开发,Android开发工程师,Andriod开发工程师（双休）,广州映博智能科技有限公司,0.8-1.5万/月,广州-天河区,民营公司,2年经验,6,招若干人,五险一金 员工旅游 年终奖金 股票期权 绩效奖金 定期体检 节假日福利 生日会 出勤奖,50-150人
17,移动开发,Android开发工程师,Android开发工程师,广州竞华软件科技有限公司,0.7-1.2万/月,广州-番禺区,民营公司,2年经验,6,招3人,,少于50人
18,移动开发,Android开发工程师,Android开发工程师,印孚瑟斯技术（中国）有限公司,0.8-1.6万/月,广州-海珠区,外资（非欧美）,1年经验,5,招若干人,五险一金 补充医疗保险 员工旅游 专业培训 弹性工作 定期体检 绩效奖金,1000-5000人
19,移动开发,Android开发工程师,Android开发工程师,中软国际科技服务有限公司,1-1.5万/月,广州-天河区,合资,3-4年经验,5,招5人,,10000人以上
20,移动开发,Android开发工程师,安卓SDK开发工程师,上海羽厚亦网络科技有限公司广州分公司,1-1.5万/月,广州-天河区,民营公司,2年经验,5,招若干人,五险一金 周末双休 餐饮补贴 绩效奖金,少于50人
21,移动开发,Android开发工程师,android高级工程师,链乎（广州）科技有限公司,1.5-2.5万/月,广州-天河区,民营公司,5-7年经验,5,招1人,弹性工作 定期体检 五险一金 带薪年假 节日福利 下午茶零食,少于50人
