,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,运维/技术支持,运维工程师,运维工程师,汕头市佳创信息科技有限公司,0.8-1万/月,广州-天河区,民营公司,2年经验,5,招1人,五险一金 年终奖金 定期体检 周末双休,50-150人
1,运维/技术支持,运维工程师,DevOps工程师,鸿亿信息科技股份有限公司,0.8-1.3万/月,广州-越秀区,民营公司,2年经验,5,招2人,员工旅游 五险一金 周末双休 加班补贴,150-500人
2,运维/技术支持,运维工程师,运维服务工程师（宜昌）,广东智慧电子信息产业股份有限公司,3-5千/月,异地招聘,民营公司,1年经验,5,招1人,周末双休 五险一金 餐饮补贴 带薪年假 绩效奖金 节日福利,150-500人
3,运维/技术支持,运维工程师,高级运维工程师,广州油菜花信息科技有限公司,1.2-1.8万/月,广州-番禺区,民营公司,5-7年经验,6,招1人,五险一金 周末双休 提供食宿 专业培训 通讯补贴 员工旅游 定期体检 员工活动 年终奖金,150-500人
4,运维/技术支持,运维工程师,IT运维（会日语优先）,广州橡木信息技术有限公司,1-1.5万/月,广州,民营公司,1年经验,6,招3人,,50-150人
5,运维/技术支持,运维工程师,服务器运维工程师,广州天越电子科技有限公司,6-8千/月,广州-海珠区,民营公司,3-4年经验,5,招1人,五险一金 绩效奖金 专业培训 通讯补贴 周末双休 项目奖金 发展空间 员工旅游,150-500人
6,运维/技术支持,运维工程师,运维工程师,广州市图南软件科技有限公司,4.5-6千/月,广州-南沙区,民营公司,1年经验,5,招2人,做五休二 五险一金 餐饮补贴 节日福利,50-150人
7,运维/技术支持,运维工程师,运维工程师（双休）,广州卓勤信息技术有限公司,0.7-1.4万/月,广州-天河区,民营公司,1年经验,5,招2人,社会保险 周末双休,少于50人
8,运维/技术支持,运维工程师,运维工程师（青岛）,广州市品高软件股份有限公司,5-9千/月,异地招聘,民营公司,2年经验,5,招1人,公司重点项目 五险一金 交通补贴 通讯补贴 餐饮补贴 专业培训 周末双休,500-1000人
9,运维/技术支持,运维工程师,运维工程师,广州中软信息技术有限公司,5-8千/月,异地招聘,国企,1年经验,6,招若干人,五险一金 年终奖金 通讯补贴 专业培训 定期体检 周末双休,500-1000人
10,运维/技术支持,运维工程师,运维经理,上海复深蓝软件股份有限公司,1.5-2.5万/月,广州-天河区,上市公司,5-7年经验,6,招1人,五险一金 交通补贴 专业培训 定期体检,1000-5000人
11,运维/技术支持,运维工程师,软件运维工程师,广东睿盟计算机科技有限公司,6-8千/月,广州-天河区,民营公司,1年经验,6,招1人,五险一金 餐饮补贴 年终奖金 员工旅游 定期体检 周末双休,50-150人
12,运维/技术支持,运维工程师,Linux系统运维工程师（非驻场）,广州丽晶软件科技股份有限公司,8-9千/月,广州-番禺区,上市公司,1年经验,5,招1人,五险一金 专业培训 免费班车 员工旅游 年终奖金,500-1000人
13,运维/技术支持,运维工程师,运维工程师（广州黄浦区）,西安交大长天软件股份有限公司,6-9千/月,广州-黄埔区,民营公司,2年经验,5,招若干人,五险一金 员工旅游 餐饮补贴 通讯补贴 绩效奖金 年终奖金 加班补贴 周末双休 节日福利,150-500人
14,运维/技术支持,运维工程师,运维工程师,广州伊登软件科技有限公司,3-4.5千/月,广州-越秀区,上市公司,1年经验,5,招1人,周末双休 带薪年假 五险一金 全勤奖 节日福利 专业培训 通讯补贴 绩效奖金,50-150人
15,运维/技术支持,运维工程师,运维工程师,北京雨花石云计算科技股份有限公司,4.5-6千/月,广州,上市公司,1年经验,6,招5人,,
16,运维/技术支持,运维工程师,IT技术支持,广东普华威泰科技有限公司,4.5-6千/月,广州-天河区,民营公司,1年经验,5,招2人,五险一金 交通补贴 通讯补贴 绩效奖金,少于50人
17,运维/技术支持,运维工程师,运维实施工程师,广州华濠科技有限公司,0.8-1.2万/月,广州-天河区,民营公司,2年经验,6,招若干人,周末双休 带薪年假 节日福利 通讯补贴 定期体检 年终奖金 生日福利 五险一金 员工旅游,少于50人
18,运维/技术支持,运维工程师,驻场运维工程师,广东新中望信息科技有限公司,6-8千/月,广州,民营公司,3-4年经验,5,招8人,五险一金 专业培训 定期体检 年终奖金,50-150人
19,运维/技术支持,运维工程师,运维工程师（K8S）,广州恒利信息科技有限公司,1.2-1.6万/月,广州-黄埔区,合资,3-4年经验,5,招2人,五险一金,150-500人
20,运维/技术支持,运维工程师,运维工程师,广东知一数据有限公司,6-7千/月,广州-天河区,民营公司,1年经验,5,招1人,五险一金 员工旅游 餐饮补贴 定期体检 通讯补贴,50-150人
21,运维/技术支持,运维工程师,软件运维工程师,上海天好信息技术股份有限公司,5-8千/月,广州-天河区,民营公司,1年经验,5,招1人,上市公司 五险一金 交通补贴 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检,150-500人
22,运维/技术支持,运维工程师,运维工程师,广东创能科技股份有限公司,5-8千/月,广州,民营公司,1年经验,5,招1人,五险一金 餐饮补贴 弹性工作 定期体检 免费班车 周末双休 绩效奖金 通讯补贴 年度调薪 包早午餐,150-500人
23,运维/技术支持,运维工程师,运维工程师,广州市齐明软件科技有限公司,0.8-1万/月,广州-黄埔区,民营公司,1年经验,5,招1人,周末双休 带薪年假 五险一金 交通补贴 餐饮补贴 通讯补贴 节日福利,150-500人
24,运维/技术支持,运维工程师,运维工程师,广州壹豆网络科技有限公司,0.8-1.5万/月,广州-天河区,民营公司,3-4年经验,5,招2人,五险一金 绩效奖金 年终奖金 弹性工作 定期体检 周末双休 专业培训 带薪年假,150-500人
25,运维/技术支持,运维工程师,运维工程师,广州源典科技有限公司,0.5-1万/月,广州-黄埔区,民营公司,2年经验,5,招1人,五险一金 周末双休 节假日福利 弹性工作 定期体检 股票期权 绩效奖金,50-150人
26,运维/技术支持,运维工程师,IT保安运维工程师,LG CNS China(北京乐金系统集成有限公司),5-8千/月,广州,外资（非欧美）,无需经验,6,招1人,五险一金 补充医疗保险 定期体检 带薪年假 全额公积金 单身公寓 年底双薪 绩效奖金,500-1000人
27,运维/技术支持,运维工程师,运维支持顾问,广东用友软件有限公司,6-8千/月,广州-天河区,民营公司,1年经验,6,招1人,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 定期体检 年终奖金 周末双休,500-1000人
28,运维/技术支持,运维工程师,运维工程师,武汉佰钧成技术有限责任公司,0.8-1万/月,广州-海珠区,民营公司,2年经验,5,招1人,五险一金 免费班车 专业培训 年终奖金 全勤奖 周末双休,10000人以上
29,运维/技术支持,运维工程师,主机运维工程师,神州数码信息服务股份有限公司,0.4-1万/月,广州,上市公司,2年经验,5,招4人,五险一金 交通补贴,5000-10000人
30,运维/技术支持,运维工程师,运维工程师,广州宏算信息科技有限公司,0.6-1万/月,广州-海珠区,民营公司,2年经验,5,招若干人,周末双休 专业培训 弹性工作 五险一金 节日福利 技术团队,50-150人
31,运维/技术支持,运维工程师,运维工程师,深圳市德科信息技术有限公司,0.8-1.1万/月,广州-黄埔区,合资,2年经验,5,招5人,五险一金 年终奖金 团建活动 员工旅游 专业培训 弹性工作,1000-5000人
32,运维/技术支持,运维工程师,运维主管,广东钛马车联网信息科技有限公司,1-1.8万/月,广州-番禺区,民营公司,3-4年经验,6,招1人,五险一金 餐饮补贴 绩效奖金 弹性工作 周末双休,50-150人
33,运维/技术支持,运维工程师,运维工程师,广州铂威信息科技有限公司,0.8-1.2万/月,广州-天河区,民营公司,3-4年经验,5,招2人,周末双休 员工旅游 专业培训 餐饮补贴 通讯补贴 交通补贴 年终奖金 定期体检 五险一金,50-150人
34,运维/技术支持,运维工程师,IT运维专员,广州亿淼信息技术有限公司,3-4.5千/月,广州-黄埔区,民营公司,1年经验,5,招1人,带薪年假 节日福利 全勤奖 绩效奖金 五险一金 周末双休 专业培训,50-150人
35,运维/技术支持,运维工程师,运维工程师（驻点）,广州柏瀚信息科技有限公司,0.8-1万/月,广州-黄埔区,民营公司,1年经验,5,招1人,员工旅游 五险一金 交通补贴 节日福利 高温补贴 带薪年假 弹性工作 通讯补贴 餐饮补贴,少于50人
36,运维/技术支持,运维工程师,运维工程师,广东兰贝斯科技有限公司,4.5-6千/月,广州-天河区,民营公司,1年经验,5,招3人,五险一金 定期体检 通讯补贴 补充医疗保险 专业培训 员工旅游 交通补贴 年终奖金 绩效奖金,150-500人
37,运维/技术支持,运维工程师,软件运维工程师 医疗信息化,广东百慧科技有限公司,0.6-1万/月,广州-海珠区,民营公司,3-4年经验,5,招8人,五险一金 绩效奖金 定期体检 周末双休 员工旅游 通讯补贴 专业培训 出差补贴,150-500人
38,运维/技术支持,运维工程师,驻场运维工程师,广东珠江智联信息科技股份有限公司,1-1.5万/月,广州-海珠区,国企,2年经验,5,招1人,五险一金 补充医疗保险 补充公积金 员工旅游 年终奖金 定期体检 专业培训 餐饮补贴,150-500人
39,运维/技术支持,运维工程师,运维工程师,广州市坤盛信息科技有限公司,6-8千/月,广州-天河区,民营公司,2年经验,5,招1人,五险一金 餐饮补贴 交通补贴 员工旅游 定期体检 通讯补贴 年终奖金 绩效奖金 弹性工作 周末双休,50-150人
40,运维/技术支持,运维工程师,运维工程师,联合永道（上海）信息技术有限公司,0.8-1万/月,广州,民营公司,2年经验,5,招1人,五险一金 带薪年假 周末双休,500-1000人
41,运维/技术支持,运维工程师,运维工程师,科大国创云网科技有限公司,1-1.3万/月,广州-天河区,民营公司,3-4年经验,5,招若干人,,1000-5000人
42,运维/技术支持,运维工程师,网络工程师,杭州友华通信工程设计有限公司,0.8-1.5万/月,广州-天河区,民营公司,3-4年经验,5,招若干人,五险 出差补贴,1000-5000人
43,运维/技术支持,运维工程师,高级运维工程师,广州鼎甲计算机科技有限公司,0.8-1.5万/月,广州,民营公司,3-4年经验,6,招1人,五险一金 专业培训 周末双休 绩效奖金 弹性工作 交通补贴 通讯补贴 餐饮补贴 员工旅游 年终奖金,150-500人
44,运维/技术支持,运维工程师,运维工程师（岭南师范学院驻点）,广州新中新工程技术有限公司,6-8千/月,广州-黄埔区,民营公司,1年经验,5,招1人,五险一金 餐饮补贴 通讯补贴 年终奖金,150-500人
45,运维/技术支持,运维工程师,高级运维工程师,链乎（广州）科技有限公司,2-2.5万/月,广州-天河区,民营公司,5-7年经验,6,招1人,弹性工作 定期体检 五险一金 带薪年假 节日福利 下午茶零食,少于50人
46,运维/技术支持,运维工程师,运维工程师,广东中安网脉华南技术有限公司,0.8-1万/月,广州-黄埔区,国企,2年经验,6,招1人,,50-150人
47,运维/技术支持,运维工程师,数据运维工程师,苏州百捷信息科技有限公司,0.6-1万/月,广州-越秀区,民营公司,1年经验,6,招若干人,员工旅游 五险一金 餐饮补贴 弹性工作 年终奖金 定期体检,150-500人
48,运维/技术支持,运维工程师,软件运维工程师,广州车小丫信息技术服务有限公司,6-8千/月,广州-海珠区,民营公司,2年经验,5,招2人,五险一金 员工旅游 通讯补贴 专业培训 年终奖金 弹性工作 绩效奖金,50-150人
49,运维/技术支持,运维工程师,运维工程师,广州市申迪计算机系统有限公司,0.7-1.3万/月,广州-越秀区,民营公司,1年经验,6,招2人,五险一金 补充医疗保险 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 定期体检,150-500人
50,运维/技术支持,运维工程师,运维主管（运维工程师）,广东铭太信息科技有限公司,4.5-6千/月,广州,民营公司,1年经验,6,招2人,五险一金,150-500人
