,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,人工智能,机器学习工程师,机器学习工程师,杭州书微信息科技有限公司,0.8-1.5万/月,杭州-西湖区,民营公司,1年经验,6,招2人,员工旅游 专业培训 股票期权 绩效奖金 年终奖金 出国机会 五险一金 做五休二 带薪年假 加班补贴,50-150人
1,人工智能,机器学习工程师,广告算法工程师,字节跳动,3-6万/月,杭州,民营公司,3-4年经验,6,招20人,团队氛围好 晋升空间大 扁平管理 用户过亿 大牛带队,10000人以上
2,人工智能,机器学习工程师,数据挖掘主管,杭州古珀医疗科技有限公司,2-2.5万/月,杭州,民营公司,5-7年经验,7,招1人,五险一金 绩效奖金 年终奖金 定期体检 股票期权 周末双休 朝九晚六,150-500人
3,人工智能,机器学习工程师,AI人工智能实习生-可接受无经验,杭州多测师软件技术有限公司,0.8-1万/月,杭州-余杭区,民营公司,无需经验,5,招3人,五险一金 员工旅游 专业培训 弹性工作 定期体检 补充医疗保险 年终奖金 绩效奖金,少于50人
4,人工智能,机器学习工程师,AI人工智能实习生-可接受无经验,杭州爱软测信息技术有限公司,0.8-1万/月,杭州-余杭区,外资（非欧美）,无需经验,5,招3人,,50-150人
5,人工智能,机器学习工程师,机器学习工程师,宁波薄言信息技术有限公司,1-1.5万/月,异地招聘,外资（非欧美）,1年经验,6,招1人,五险一金 年终奖金 弹性工作 定期体检 出国机会,少于50人
6,人工智能,机器学习工程师,人工智能研发工程师,深圳市潮流网络技术有限公司杭州分公司,1.5-3万/月,杭州-西湖区,民营公司,3-4年经验,7,招若干人,五险一金 员工旅游 餐饮补贴 年终奖金 定期体检 出国机会 活动丰富 妹子多 年度旅游,150-500人
7,人工智能,机器学习工程师,Image Processing,杭州一沃福智能科技有限公司,1.5-3万/月,杭州-滨江区,民营公司,2年经验,6,招2人,,少于50人
8,人工智能,机器学习工程师,ROS应用研发工程师,杭州云深处科技有限公司,1.5-2.2万/月,杭州-西湖区,民营公司,1年经验,6,招2人,五险一金 通讯补贴 绩效奖金 年终奖金 股票期权 专业培训 弹性工作 定期体检,150-500人
9,人工智能,机器学习工程师,深度学习算法工程师,杭州领见数据科技有限公司,1-1.8万/月,杭州-下城区,民营公司,2年经验,7,招若干人,弹性工作 专业培训 绩效奖金 年终奖金 周末双休 节日福利 社会保险,50-150人
10,人工智能,机器学习工程师,Data Scientist and AI Engineer,西安思科特软件有限公司,20-30万/年,异地招聘,外资（欧美）,5-7年经验,6,招若干人,五险一金 股票期权 弹性工作 出国机会 年终奖金,50-150人
11,人工智能,机器学习工程师,机器人工程师,昆山双宇新信息科技有限公司,6-8千/月,杭州,民营公司,无需经验,5,招1人,五险一金 年终奖金 绩效奖金 员工旅游 餐饮补贴 出国机会,少于50人
12,人工智能,机器学习工程师,实习生,杭州听物科技有限公司,2-6千/月,杭州-余杭区,民营公司,在校生/应届生,5,招5人,五险一金 年终奖金,少于50人
13,人工智能,机器学习工程师,算法Leader-飞书人力套件,字节跳动,4-8万/月,杭州,民营公司,5-7年经验,6,招1人,六险一金 五险一金 股票期权 团队氛围好 免费三餐 弹性工作 租房补贴,10000人以上
14,人工智能,机器学习工程师,机器学习工程师,杭州古珀医疗科技有限公司,2-2.5万/月,杭州,民营公司,3-4年经验,7,招2人,五险一金 绩效奖金 年终奖金 定期体检 股票期权 周末双休 朝九晚六,150-500人
15,人工智能,机器学习工程师,广告算法负责人-电商直播方向,字节跳动,5-7.5万/月,杭州,民营公司,8-9年经验,6,招1人,下午茶 股票期权 团队氛围好 扁平管理 薪资优厚,10000人以上
