,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,后端开发,Java开发工程师,Java高级开发工程师,浙江航天信息有限公司,1-2万/月,杭州,国企,3-4年经验,6,招2人,带薪年假 五险一金 绩效奖金 节日福利 加班补贴 通讯补贴 高温补贴 专业培训,150-500人
1,后端开发,Java开发工程师,Java开发工程师,上海易宝软件有限公司杭州分公司,1-2万/月,杭州-滨江区,民营公司,2年经验,5,招2人,五险一金 补充医疗保险 年终奖金 弹性工作 定期体检 员工旅游 专业培训,
2,后端开发,Java开发工程师,Java开发工程师,杭州九爱科技有限公司,1.5-2.5万/月,杭州,创业公司,5-7年经验,6,招1人,五险一金 餐饮补贴 股票期权 弹性工作 定期体检 年终奖金,50-150人
3,后端开发,Java开发工程师,Java高级开发工程师,上海智隆信息技术股份有限公司,1.8-2.5万/月,杭州-余杭区,民营公司,3-4年经验,6,招1人,五险一金 年终奖金 定期体检 通讯补贴 绩效奖金 专业培训 周末双休 带薪年假,150-500人
4,后端开发,Java开发工程师,Java开发工程师,浙江康勒科技有限公司,1.3-2.5万/月,杭州-余杭区,民营公司,5-7年经验,6,招2人,五险一金 通讯补贴 餐饮补贴 专业培训 弹性工作 股票期权 商业意外险,50-150人
5,后端开发,Java开发工程师,Java中级开发工程师,杭州东城电子有限公司,0.8-1.2万/月,杭州,民营公司,2年经验,6,招5人,五险一金 绩效奖金 年终奖金 股票期权,500-1000人
6,后端开发,Java开发工程师,Java开发工程师,南京迈特望科技股份有限公司,1.2-1.8万/月,杭州-滨江区,上市公司,2年经验,6,招3人,,1000-5000人
7,后端开发,Java开发工程师,Java开发工程师,杭州卓健信息科技有限公司,0.9-1.8万/月,杭州-江干区,民营公司,5-7年经验,6,招1人,五险一金 餐饮补贴 专业培训 绩效奖金 定期体检,150-500人
8,后端开发,Java开发工程师,Java高级开发工程师,浙江电子口岸有限公司,1.5-3万/月,杭州-下城区,国企,3-4年经验,6,招2人,五险一金 补充医疗保险 员工旅游 年终奖金 定期体检,150-500人
9,后端开发,Java开发工程师,Java开发工程师（杭州）,上海奥拓翰明计算机科技有限公司,0.8-1.5万/月,杭州-下城区,民营公司,2年经验,6,招2人,五险一金 餐饮补贴 员工旅游 定期体检,150-500人
10,后端开发,Java开发工程师,Java开发工程师,朗新科技集团股份有限公司,1-1.5万/月,杭州-西湖区,合资,2年经验,6,招若干人,五险一金 补充医疗保险 年终奖金 弹性工作,1000-5000人
