,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,数据,数据分析经理/主管,数据风险与基础设施规划总监,云程（杭州）企业管理咨询有限公司,7-10万/月,杭州,民营公司,8-9年经验,6,招1人,,50-150人
1,数据,数据分析经理/主管,数据分析经理 (MJ000906),智云健康,1-2万/月,杭州-余杭区,民营公司,3-4年经验,6,招1人,补充医疗保险 专业培训 绩效奖金 定期体检 六险一金,1000-5000人
2,数据,数据分析经理/主管,资深数据分析师,聚医致生（杭州）科技有限公司,1.8-3.5万/月,杭州-余杭区,民营公司,5-7年经验,6,招2人,五险一金 员工旅游 专业培训 交通补贴 出国机会 股票期权 年终奖金 绩效奖金,少于50人
3,数据,数据分析经理/主管,数据分析师,浙江由由科技有限公司,2-2.5万/月,杭州-余杭区,民营公司,2年经验,5,招1人,,少于50人
4,数据,数据分析经理/主管,安全分析工程师,浙江乾冠信息安全研究院有限公司,1.5-2万/月,杭州-滨江区,民营公司,3-4年经验,6,招4人,五险一金 员工旅游 绩效奖金 专业培训 定期体检 年终奖金 朝九晚五,150-500人
5,数据,数据分析经理/主管,地理信息数据处理,浙江省国土勘测规划有限公司,0.9-1.2万/月,杭州-西湖区,事业单位,在校生/应届生,6,招若干人,五险一金 员工旅游 餐饮补贴 专业培训 定期体检 年终奖金,150-500人
6,数据,数据分析经理/主管,数据统计员,河南融尚电子科技有限公司,3-4.5千/月,杭州,民营公司,在校生/应届生,4,招若干人,,
7,数据,数据分析经理/主管,项目实施工程师,浙江乾冠信息安全研究院有限公司,6-8千/月,杭州-滨江区,民营公司,3-4年经验,5,招3人,五险一金 员工旅游 绩效奖金 专业培训 定期体检 年终奖金 朝九晚五,150-500人
8,数据,数据分析师,商品数据分析师,杭州君盟新媒体科技集团有限公司,1-1.5万/月,杭州-滨江区,外资（非欧美）,2年经验,6,招1人,五险一金 绩效奖金 年终奖金,
9,数据,数据分析师,数据分析师,微贷有限公司,1-1.5万/月,杭州-上城区,民营公司,3-4年经验,6,招2人,五险一金 员工旅游 专业培训 年终奖金 绩效奖金 定期体检 周末双休 晋升空间大,5000-10000人
10,数据,数据分析师,数据分析师,杭州微风企科技有限公司,1-1.5万/月,杭州-西湖区,合资,3-4年经验,5,招1人,五险一金 年终奖金 弹性工作 绩效奖金 节日福利 员工旅游,50-150人
11,数据,数据分析师,数据运营,余仁生健康科技（上海）有限公司,6-8千/月,杭州-滨江区,外资（非欧美）,2年经验,5,招1人,,500-1000人
12,数据,数据分析师,数据分析师,印孚瑟斯技术（中国）有限公司,1-2.5万/月,杭州-滨江区,外资（非欧美）,3-4年经验,5,招3人,五险一金 补充医疗保险 年终奖金,1000-5000人
13,数据,数据分析师,数据分析工程师,杭州三汇数字信息技术有限公司,0.6-1万/月,杭州-滨江区,民营公司,1年经验,6,招1人,五险一金 员工旅游 年终奖金 定期体检 免费班车 餐饮补贴 交通补贴 通讯补贴,1000-5000人
14,数据,数据分析师,数据分析师,杭州西子智能停车股份有限公司,0.5-1万/月,杭州-余杭区,民营公司,2年经验,6,招1人,,500-1000人
15,数据,数据分析师,数据分析师,联合永道（上海）信息技术有限公司,1-1.5万/月,杭州-上城区,民营公司,3-4年经验,5,招1人,,500-1000人
16,数据,数据分析师,数据分析师 (MJ001044),智云健康,1.5-2万/月,杭州-余杭区,民营公司,3-4年经验,6,招1人,五险一金 补充医疗保险 专业培训 绩效奖金 定期体检,1000-5000人
17,数据,数据分析师,营销数据分析师（英文）,客迈软件（杭州）有限公司长沙分公司,1.2-2.2万/月,杭州-西湖区,外资（欧美）,3-4年经验,6,招1人,五险一金 专业培训 年终奖金 弹性工作 补充医疗保险 员工旅游 定期体检 股票期权,50-150人
18,数据,数据分析师,数据分析师,上海燃声信息科技有限公司,1.5-2.5万/月,杭州-西湖区,民营公司,1年经验,5,招10人,五险一金 双休,50-150人
