,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,前端开发,Web前端开发,前端开发工程师,中软国际科技服务有限公司,1-1.5万/月,杭州-余杭区,合资,3-4年经验,6,招2人,五险一金 免费班车 绩效奖金 年终奖金 弹性工作 定期体检 员工旅游,10000人以上
1,前端开发,Web前端开发,前端开发工程师,杭州淘游科技有限公司,1.5-3万/月,杭州-西湖区,民营公司,5-7年经验,5,招1人,五险一金 补充公积金 员工旅游 交通补贴 餐饮补贴 绩效奖金 年终奖金 弹性工作 定期体检,50-150人
2,前端开发,Web前端开发,资深前端工程师（TBU）,校宝在线（杭州）科技股份有限公司,1.5-2万/月,杭州-滨江区,民营公司,1年经验,6,招3人,餐饮补贴 弹性工作 五险一金 绩效奖金 年终奖金 定期体检,500-1000人
3,前端开发,Web前端开发,前端开发工程师,杭州亿秒网络技术有限公司,1-1.5万/月,杭州-余杭区,民营公司,3-4年经验,5,招1人,员工旅游 交通补贴 专业培训 绩效奖金 弹性工作 股票期权 五险一金,50-150人
4,前端开发,Web前端开发,Web前端开发工程师,上海智隆信息技术股份有限公司,1.5-2万/月,杭州-余杭区,民营公司,3-4年经验,6,招1人,五险一金 年终奖金 定期体检 通讯补贴 绩效奖金 专业培训 周末双休 带薪年假,150-500人
5,前端开发,Web前端开发,Web前端开发工程师,杭州蒙特信息技术有限公司,0.5-1万/月,杭州-西湖区,民营公司,1年经验,5,招2人,五险一金 餐饮补贴 专业培训 周末双休 全勤奖,50-150人
6,前端开发,Web前端开发,前端开发工程师,浙江康勒科技有限公司,0.8-2.4万/月,杭州-余杭区,民营公司,3-4年经验,6,招4人,五险一金 通讯补贴 餐饮补贴 专业培训 弹性工作 股票期权 商业意外险,50-150人
7,前端开发,Web前端开发,前端开发工程师,杭州东城电子有限公司,1-1.5万/月,杭州,民营公司,3-4年经验,6,招5人,五险一金 绩效奖金 年终奖金 股票期权,500-1000人
8,前端开发,Web前端开发,前端开发工程师,浙江慧优科技有限公司,0.9-1.3万/月,杭州-西湖区,民营公司,2年经验,6,招2人,五险一金 绩效奖金 年终奖金 股票期权 周末双休 节日福利 餐饮补贴 做五休二 高温补贴,50-150人
9,前端开发,Web前端开发,Web前端开发工程师,南京迈特望科技股份有限公司,1.2-1.8万/月,杭州-滨江区,上市公司,2年经验,6,招2人,,1000-5000人
10,前端开发,Web前端开发,java,杭州司链科技有限公司,0.8-1.5万/月,杭州-西湖区,民营公司,无需经验,6,招2人,,
11,前端开发,Web前端开发,前端开发工程师,朗新科技集团股份有限公司,1-1.5万/月,杭州-西湖区,合资,3-4年经验,5,招若干人,五险一金 补充医疗保险 年终奖金 弹性工作,1000-5000人
12,前端开发,Web前端开发,中级前端开发工程师,杭州西芽网络科技有限公司,1-1.5万/月,杭州-西湖区,民营公司,3-4年经验,5,招3人,五险一金 员工旅游 年终奖金 定期体检,50-150人
13,前端开发,Web前端开发,Web前端高级开发工程师-资管,恒生电子股份有限公司,1.5-2.5万/月,杭州-滨江区,民营公司,3-4年经验,6,招4人,五险一金 补充医疗保险 免费班车 交通补贴 餐饮补贴 专业培训 绩效奖金 年终奖金 弹性工作 定期体检,5000-10000人
14,前端开发,Web前端开发,前端开发工程师,杭州惠尔森科技有限公司,1-1.5万/月,杭州,民营公司,3-4年经验,6,招若干人,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 年终奖金 定期体检 绩效奖金,50-150人
15,前端开发,Web前端开发,Web前端开发工程师,杭州捷控科技有限公司,0.8-1.5万/月,杭州-余杭区,民营公司,1年经验,5,招2人,,
16,前端开发,Web前端开发,Web前端开发工程师,江苏润和软件股份有限公司,1-2万/月,杭州-西湖区,民营公司,2年经验,5,招2人,,5000-10000人
17,前端开发,Web前端开发,前端开发-HZYH,深圳市法本信息技术股份有限公司,1-2万/月,杭州-拱墅区,上市公司,2年经验,6,招若干人,,10000人以上
18,前端开发,Web前端开发,Web前端开发工程师,亚信科技CUC,1-2万/月,杭州-西湖区,上市公司,1年经验,6,招2人,,10000人以上
19,前端开发,Web前端开发,Web前端开发工程师,杭州盛景数字政务科技有限公司,7-9千/月,杭州-上城区,民营公司,1年经验,5,招1人,五险一金 年终奖金 定期体检,少于50人
20,前端开发,Web前端开发,前端开发工程师,金锐软件技术（杭州）有限公司,1.1-1.6万/月,杭州-江干区,民营公司,1年经验,6,招3人,,
21,前端开发,Web前端开发,Web前端开发工程师,上海分效科技有限公司,1.5-2万/月,杭州-西湖区,民营公司,3-4年经验,6,招2人,五险一金 交通补贴 餐饮补贴 通讯补贴 弹性工作 年终奖金,50-150人
22,前端开发,Web前端开发,Web开发工程师,浙江省国土勘测规划有限公司,1.2-1.5万/月,杭州-西湖区,事业单位,2年经验,6,招若干人,五险一金 员工旅游 餐饮补贴 专业培训 定期体检 年终奖金,150-500人
