,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,游戏,游戏开发工程师,Unity3d开发工程师,上海辰希网络科技有限公司,1.5-2万/月,杭州-拱墅区,民营公司,3-4年经验,6,招1人,,少于50人
1,游戏,游戏开发工程师,PHP开发工程师,武汉牧望群网络科技有限公司,1.2-3万/月,异地招聘,合资,2年经验,5,招5人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
2,游戏,游戏开发工程师,U3D开发工程师,杭州云笔智能科技有限公司,0.8-1.5万/月,杭州-余杭区,民营公司,2年经验,5,招3人,,少于50人
3,游戏,游戏开发工程师,魔兽游戏开发工程师,宁波迷之游戏有限公司,1.5-4万/月,异地招聘,民营公司,3-4年经验,5,招2人,五险一金 绩效奖金 弹性工作 员工旅游 生日福利 节日福利 年终奖金 专业培训 工龄工资 补充医疗保险,少于50人
4,游戏,游戏开发工程师,游戏服务端开发,杭州很赞科技有限公司,15-25万/月,杭州-余杭区,民营公司,2年经验,6,招若干人,五险一金 员工旅游 年终奖金 定期体检 生日福利 节日福利 结婚生育礼金 周末双休 带薪年假,50-150人
5,游戏,游戏开发工程师,Cocos creator游戏开发,浙江杰游网络科技有限公司,0.5-1万/月,异地招聘,民营公司,2年经验,5,招2人,五险一金 弹性工作 不加班 包住宿,少于50人
6,游戏,游戏开发工程师,小游戏高级开发工程师,杭州阳鸣网络科技有限公司,1.3-1.8万/月,杭州-西湖区,民营公司,5-7年经验,5,招1人,,50-150人
7,游戏,游戏开发工程师,H5游戏开发,杭州奇侠互动网络科技有限公司,1.2-2万/月,杭州-滨江区,民营公司,3-4年经验,6,招2人,五险一金 交通补贴 年终奖金 绩效奖金 弹性工作,50-150人
8,游戏,游戏开发工程师,动画,浙江慧脑信息科技有限公司,0.6-1.5万/月,杭州,民营公司,1年经验,5,招若干人,专业培训 弹性工作 员工旅游,50-150人
9,游戏,游戏开发工程师,java游戏开发实习生,昆山双宇新信息科技有限公司,6-8千/月,杭州,民营公司,在校生/应届生,5,招5人,五险一金 年终奖金 绩效奖金 员工旅游 餐饮补贴,少于50人
10,游戏,游戏开发工程师,Unity3D开发工程师,杭州彩菱科技有限公司,0.7-2万/月,杭州-西湖区,民营公司,在校生/应届生,6,招若干人,,少于50人
11,游戏,游戏开发工程师,java游戏开发工程师,上海占域实业有限公司,6-8千/月,杭州,合资,在校生/应届生,5,招5人,五险一金 员工旅游 绩效奖金 年终奖金 定期体检,150-500人
12,游戏,游戏开发工程师,H5游戏开发,武汉牧望群网络科技有限公司,1.2-2万/月,异地招聘,合资,1年经验,5,招2人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
13,游戏,游戏开发工程师,Unity3D开发工程师,杭州很赞科技有限公司,1.5-2万/月,杭州-西湖区,民营公司,2年经验,6,招2人,五险一金 员工旅游 年终奖金 定期体检 生日福利 节日福利 结婚生育礼金 周末双休 带薪年假,50-150人
14,游戏,游戏开发工程师,游戏U3D客户端（高级）,武汉牧望群网络科技有限公司,1.5-3.5万/月,异地招聘,合资,3-4年经验,5,招3人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
15,游戏,游戏开发工程师,小游戏开发工程师,杭州阳鸣网络科技有限公司,1-1.5万/月,杭州-西湖区,民营公司,2年经验,5,招1人,,50-150人
16,游戏,游戏开发工程师,Java游戏服务器,武汉牧望群网络科技有限公司,2-5万/月,异地招聘,合资,2年经验,5,招2人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
17,游戏,游戏开发工程师,游戏测试工程师,杭州奇侠互动网络科技有限公司,0.6-1万/月,杭州-滨江区,民营公司,1年经验,5,招1人,五险一金 员工旅游 交通补贴 年终奖金 绩效奖金 股票期权 弹性工作 定期体检,50-150人
18,游戏,游戏开发工程师,游戏美术_3D模型师 应/往届毕业生,浙江杰游网络科技有限公司,0.5-1万/月,异地招聘,民营公司,在校生/应届生,5,招5人,五险一金 弹性工作 不加班,少于50人
19,游戏,Cocos2d-x开发工程师,Cocos2d-x开发工程师,杭州淘游科技有限公司,1.5-2万/月,杭州-西湖区,民营公司,3-4年经验,5,招2人,五险一金 补充公积金 员工旅游 交通补贴 餐饮补贴 绩效奖金 年终奖金 弹性工作 定期体检,50-150人
20,游戏,Cocos2d-x开发工程师,cocos2d客户端开发,杭州意拓数字科技有限公司,1-1.5万/月,杭州-滨江区,民营公司,2年经验,,招2人,五险一金 弹性工作 绩效奖金,50-150人
21,游戏,Cocos2d-x开发工程师,Cocos程序员,南京碧林奈尔电子科技有限公司,1-1.5万/月,异地招聘,民营公司,3-4年经验,6,招1人,五险一金 周末双休 带薪年假,少于50人
22,游戏,Cocos2d-x开发工程师,cocos2d-js开发工程师,杭州妥妥网络科技有限公司,0.8-1万/月,杭州-西湖区,民营公司,在校生/应届生,6,招1人,,150-500人
23,游戏,Unity3d开发工程师,u3d开发技术负责人,杭州书微信息科技有限公司,2-3.5万/月,杭州-西湖区,民营公司,3-4年经验,5,招2人,,50-150人
24,游戏,Unity3d开发工程师,Unity3d开发工程师,上海辰希网络科技有限公司,1.5-2万/月,杭州-拱墅区,民营公司,3-4年经验,6,招1人,,少于50人
25,游戏,Unity3d开发工程师,Unity3D手游开发工程师,浙江杰游网络科技有限公司,0.8-1.6万/月,异地招聘,民营公司,2年经验,5,招3人,五险一金 弹性工作 不加班,少于50人
26,游戏,Unity3d开发工程师,Unity3D工程师,浙江赛弘众智网络科技有限公司,0.9-1.6万/月,杭州-余杭区,民营公司,3-4年经验,6,招2人,五险一金 餐饮补贴 定期体检 年终奖金 绩效奖金,少于50人
27,游戏,Unity3d开发工程师,unity3D开发工程师,杭州亦客智能科技有限公司,0.6-1.5万/月,杭州-余杭区,民营公司,1年经验,6,招3人,五险一金 年终奖金 绩效奖金 专业培训 餐饮补贴,1000-5000人
28,游戏,Unity3d开发工程师,Unity3d开发工程师,杭州暖意科技有限公司,1.5-2万/月,杭州-西湖区,民营公司,3-4年经验,5,招若干人,,少于50人
29,游戏,Unity3d开发工程师,VR售后支持工程师,杭州弘翌科技有限公司,4.5-6千/月,杭州-滨江区,创业公司,1年经验,5,招1人,,少于50人
30,游戏,Unity3d开发工程师,UNITY开发专家,浙江天行健智能科技有限公司,25-45万/年,异地招聘,合资,2年经验,7,招若干人,五险一金 员工旅游 专业培训 绩效奖金 下午茶 补充医疗保险 年终奖金,50-150人
31,游戏,Unity3d开发工程师,Unity3d开发工程师,高新兴创联科技有限公司,1-1.5万/月,杭州,上市公司,2年经验,6,招1人,五险一金 员工旅游 交通补贴 餐饮补贴 年终奖金 股票期权,150-500人
32,游戏,Unity3d开发工程师,Unity3D/3D软件开发/软件开发工程师,杭州承前医数科技有限公司,10-15万/年,杭州-江干区,民营公司,1年经验,5,招2人,五险一金 餐饮补贴 年终奖金 周末双休,少于50人
