,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,移动开发,Android开发工程师,Android开发工程师,杭州淘游科技有限公司,1-1.8万/月,杭州-西湖区,民营公司,2年经验,5,招1人,五险一金 补充公积金 员工旅游 交通补贴 餐饮补贴 绩效奖金 年终奖金 弹性工作 定期体检,50-150人
1,移动开发,Android开发工程师,Android开发工程师,杭州九爱科技有限公司,1.3-2万/月,杭州,创业公司,3-4年经验,6,招1人,五险一金 餐饮补贴 股票期权 弹性工作 定期体检 年终奖金,50-150人
2,移动开发,Android开发工程师,Android开发工程师,杭州东城电子有限公司,1-1.5万/月,杭州,民营公司,2年经验,6,招3人,五险一金 绩效奖金 年终奖金 股票期权,500-1000人
3,移动开发,Android开发工程师,Android开发工程师,信必优(深圳)信息技术有限公司,1.5-2万/月,杭州-滨江区,外资（欧美）,3-4年经验,6,招1人,,1000-5000人
4,移动开发,Android开发工程师,Android开发工程师,浙江安厨大数据技术有限公司,1.2-1.8万/月,杭州-滨江区,民营公司,3-4年经验,6,招1人,五险一金 年终奖金 定期体检,150-500人
5,移动开发,Android开发工程师,中高级安卓开发工程师,杭州西芽网络科技有限公司,1.5-2万/月,杭州-西湖区,民营公司,5-7年经验,5,招10人,五险一金 员工旅游 年终奖金 定期体检,50-150人
6,移动开发,Android开发工程师,高级Android开发工程师,广州帝隆科技股份有限公司,1.5-2万/月,杭州-滨江区,上市公司,5-7年经验,5,招若干人,五险一金 绩效奖金 定期体检 员工旅游 专业培训 餐饮补贴 年终奖金 节日福利,150-500人
7,移动开发,Android开发工程师,Android开发工程师,浙江坚果智慧科技有限公司,1.2-2.5万/月,杭州-余杭区,民营公司,3-4年经验,5,招2人,,少于50人
8,移动开发,Android开发工程师,Android开发工程师,杭州光粒科技有限公司,1-2万/月,杭州-西湖区,外资（欧美）,3-4年经验,6,招1人,周末双休 五险一金 高温补贴 年终奖金 股票期权,50-150人
9,移动开发,Android开发工程师,android开发工程师,杭州迈可行通信股份有限公司,1-2万/月,杭州-余杭区,民营公司,1年经验,6,招1人,五险一金 餐饮补贴 绩效奖金,50-150人
10,移动开发,Android开发工程师,Android软件应用工程师,江苏润和软件股份有限公司,1.5-3万/月,杭州-余杭区,民营公司,3-4年经验,5,招4人,五险一金 餐饮补贴 定期体检 节日福利 年假 加班补贴,5000-10000人
11,移动开发,Android开发工程师,Android开发工程师,上海清鹤科技股份有限公司,0.8-1.5万/月,杭州-西湖区,合资,1年经验,6,招若干人,五险一金 餐饮补贴 绩效奖金 快速发展空间 通讯补贴,150-500人
12,移动开发,Android开发工程师,Android开发工程师,亿达信息技术有限公司,1.5-2万/月,杭州,民营公司,无需经验,6,招1人,,1000-5000人
13,移动开发,Android开发工程师,Android开发工程师-平台（研发中心）,恒生电子股份有限公司,1.5-2.5万/月,杭州-滨江区,民营公司,3-4年经验,6,招若干人,五险一金 补充医疗保险 交通补贴 餐饮补贴 年终奖金 定期体检 员工旅游 专业培训 弹性工作,5000-10000人
14,移动开发,Android开发工程师,Android开发工程师,杭州惜尔信息技术有限公司,6-8千/月,杭州-西湖区,民营公司,1年经验,5,招若干人,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 股票期权 定期体检,少于50人
15,移动开发,Android开发工程师,Android开发工程师,浙江正泰中自控制工程有限公司,1-1.5万/月,杭州-江干区,民营公司,3-4年经验,6,招1人,五险一金 带薪年假 交通补贴 餐饮补贴 通讯补贴 高温补贴 节日福利 绩效奖金 年终奖金 定期体检,150-500人
