,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,运维/技术支持,运维工程师,业务运维工程师,杭州飞享数据技术有限公司,1.2-2万/月,杭州,民营公司,3-4年经验,6,招若干人,五险一金 员工旅游 定期体检 弹性工作 绩效奖金 通讯补贴 交通补贴,50-150人
1,运维/技术支持,运维工程师,机房运维工程师,杭州同创医学检验实验室有限公司,0.8-1万/月,杭州-下城区,民营公司,2年经验,5,招1人,五险一金 员工旅游 交通补贴 餐饮补贴 年终奖金 定期体检,150-500人
2,运维/技术支持,运维工程师,运维实施工程师,杭州杭测信息技术有限公司,0.6-1万/月,杭州-拱墅区,民营公司,1年经验,5,招2人,五险一金 员工旅游 年终奖金 餐饮补贴 加班补贴,50-150人
3,运维/技术支持,运维工程师,系统运维工程师,浙江兰德纵横网络技术股份有限公司,6-10万/年,杭州,上市公司,1年经验,5,招3人,五险一金 补充医疗保险 定期体检 员工旅游 绩效奖金 年终奖金 通讯补贴 专业培训 弹性工作,500-1000人
4,运维/技术支持,运维工程师,运维工程师,南京迈特望科技股份有限公司,1-2万/月,杭州-滨江区,上市公司,1年经验,6,招若干人,,1000-5000人
5,运维/技术支持,运维工程师,现场运维工程师,杭州云嘉云计算有限公司,0.8-1.4万/月,杭州-上城区,民营公司,3-4年经验,5,招1人,五险一金 员工旅游 餐饮补贴 绩效奖金 年终奖金 股票期权 弹性工作,150-500人
6,运维/技术支持,运维工程师,系统运维工程师,杭州云灵科技有限公司,1.5-2.5万/月,杭州-上城区,民营公司,2年经验,5,招2人,五险一金 补充医疗保险 补充公积金 员工旅游 专业培训 年终奖金,50-150人
7,运维/技术支持,运维工程师,平台运维,杭州爱华智能科技有限公司,0.8-1万/月,杭州-余杭区,民营公司,1年经验,6,招1人,,
8,运维/技术支持,运维工程师,系统运维工程师,浙江轻舟极速科技有限公司,6-8千/月,杭州-拱墅区,民营公司,3-4年经验,6,招3人,双休 五险,50-150人
9,运维/技术支持,运维工程师,系统运维工程师,杭州绿云软件有限公司,0.8-1.3万/月,杭州-西湖区,民营公司,3-4年经验,5,招3人,五险一金 绩效奖金 年终奖金 定期体检 餐饮补贴 周末双休 带薪年假,500-1000人
10,运维/技术支持,运维工程师,安全运维工程师,浙江荃润信息技术有限公司,0.8-1.2万/月,杭州-西湖区,民营公司,2年经验,6,招若干人,周末双休 带薪年假 五险一金 节日福利 专业培训 年终奖金 弹性工作 法定公众假期 员工活动 生日福利,少于50人
11,运维/技术支持,运维工程师,软件系统驻场运维工程师,杭州飞软软件有限公司,6-8千/月,杭州-西湖区,民营公司,1年经验,5,招若干人,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 年终奖金 绩效奖金,50-150人
12,运维/技术支持,运维工程师,运维工程师,杭州明月思易数据服务有限公司,5-6千/月,杭州-西湖区,民营公司,1年经验,5,招1人,五险一金 绩效奖金 年终奖金 专业培训 员工旅游 生日福利,少于50人
13,运维/技术支持,运维工程师,运维工程师,杭州景上信息技术有限公司,0.8-1万/月,杭州-余杭区,民营公司,2年经验,6,招1人,,少于50人
14,运维/技术支持,运维工程师,软件运维工程师,上海天好信息技术股份有限公司,0.7-1万/月,杭州-余杭区,民营公司,3-4年经验,5,招1人,五险一金 补充医疗保险 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 弹性工作 定期体检,150-500人
15,运维/技术支持,运维工程师,运维工程师,浙江网盛数新软件股份有限公司,4-7千/月,杭州-萧山区,民营公司,无需经验,5,招5人,员工旅游 餐饮补贴 定期体检,150-500人
16,运维/技术支持,运维工程师,维护工程师,杭州畅宇电子技术有限公司,0.6-1万/月,杭州-西湖区,民营公司,1年经验,6,招5人,五险一金 员工旅游 交通补贴 绩效奖金 专业培训,50-150人
17,运维/技术支持,运维工程师,运维工程师 (MJ003031),神州数码信息服务股份有限公司,6-9千/月,杭州,上市公司,2年经验,5,招1人,,5000-10000人
18,运维/技术支持,运维工程师,系统运维经理-总部机构,恒生电子股份有限公司,2-2.5万/月,杭州-滨江区,民营公司,5-7年经验,6,招1人,五险一金 补充医疗保险 交通补贴 餐饮补贴 年终奖金 定期体检 员工旅游 专业培训 弹性工作,5000-10000人
19,运维/技术支持,运维工程师,安全运维工程师,杭州北冥星眸科技有限公司,1-1.8万/月,杭州-滨江区,民营公司,2年经验,5,招2人,五险一金 股票期权 弹性工作 带薪假期,50-150人
20,运维/技术支持,运维工程师,驻点运维工程师（杭州分公司）,国研软件股份有限公司,4.5-6.5千/月,杭州-萧山区,国企,2年经验,6,招1人,做五休二 周末双休 带薪年假 五险一金 节日福利 高温补贴 通讯补贴 餐饮补贴 绩效奖金 专业培训,150-500人
21,运维/技术支持,运维工程师,平台运维工程师,浙江新门海科技有限公司,6-8千/月,杭州-上城区,民营公司,无需经验,5,招2人,五险一金 餐饮补贴 绩效奖金 弹性工作,50-150人
22,运维/技术支持,运维工程师,IT运维工程师,杭州西子智能停车股份有限公司,0.6-1万/月,杭州-余杭区,民营公司,2年经验,5,招1人,,500-1000人
23,运维/技术支持,运维工程师,运维工程师,杭州时代银通软件股份有限公司,0.8-1.2万/月,杭州-西湖区,上市公司,1年经验,6,招1人,五险一金 定期体检 周末双休 带薪年假 餐饮补贴,500-1000人
24,运维/技术支持,运维工程师,运维工程师,联合永道（上海）信息技术有限公司,1-1.5万/月,杭州-上城区,民营公司,2年经验,6,招1人,,500-1000人
25,运维/技术支持,运维工程师,运维工程师,微贷有限公司,0.8-1万/月,杭州-西湖区,民营公司,2年经验,5,招1人,五险一金 专业培训 定期体检 年终奖金 高温补贴 带薪年假 绩效奖金,5000-10000人
26,运维/技术支持,运维工程师,运维工程师,杭州古珀医疗科技有限公司,4-6千/月,杭州,民营公司,1年经验,5,招1人,五险一金 绩效奖金 年终奖金 定期体检 股票期权 周末双休 朝九晚六,150-500人
27,运维/技术支持,运维工程师,工程师（杭州） (MJ000925),智云健康,7-9千/月,杭州,民营公司,2年经验,5,招1人,五险一金 补充医疗保险 专业培训 绩效奖金 定期体检,1000-5000人
28,运维/技术支持,运维工程师,银行系统运维工程师（宁波）,宁波易简电子科技有限公司,0.8-1万/月,异地招聘,民营公司,1年经验,6,招3人,员工旅游 绩效奖金 出国机会 年终奖金 弹性工作,150-500人
29,运维/技术支持,运维工程师,运维工程师,北京深睿博联科技有限责任公司,1-1.5万/月,杭州-余杭区,民营公司,2年经验,6,招2人,,150-500人
30,运维/技术支持,运维工程师,运维工程师,中科天翔（杭州）科技有限公司,0.6-1万/月,杭州-西湖区,民营公司,2年经验,6,招若干人,餐饮补贴 定期体检 年终奖金 五险一金 绩效奖金 专业培训,150-500人
31,运维/技术支持,运维工程师,运维工程师（CXJS）,思创医惠科技股份有限公司,1-1.5万/月,杭州-滨江区,上市公司,3-4年经验,6,招1人,,1000-5000人
32,运维/技术支持,运维工程师,运维工程师,上海浦东华宇信息技术有限公司,1-2万/月,杭州-西湖区,上市公司,2年经验,6,招3人,五险一金 交通补贴 餐饮补贴 绩效奖金 做五休二 定期体检 节日福利 带薪年假 高温补贴,150-500人
33,运维/技术支持,运维工程师,平台运维工程师,浩鲸新智能科技股份有限公司,0.9-1.5万/月,杭州-西湖区,民营公司,1年经验,5,招若干人,五险一金 补充医疗保险 餐饮补贴 定期体检 年终奖金 免费班车,1000-5000人
34,运维/技术支持,运维工程师,运维工程师,杭州沃趣科技股份有限公司,0.7-1.3万/月,杭州-滨江区,民营公司,1年经验,5,招1人,五险一金 员工旅游 年终奖金 专业培训 定期体检 餐饮补贴 弹性工作,50-150人
35,运维/技术支持,运维工程师,运维工程师,杭州微宏科技有限公司,1.2-1.6万/月,杭州,合资,3-4年经验,5,招2人,五险一金 通讯补贴 交通补贴 年终奖金 绩效奖金 定期体检 员工旅游 专业培训,150-500人
36,运维/技术支持,运维工程师,运维工程师,中材邦业（杭州）智能技术有限公司,1-1.5万/月,杭州-滨江区,合资,3-4年经验,5,招5人,五险一金 餐饮补贴 通讯补贴 年终奖金 定期体检 绩效奖金 员工旅游 专业培训,50-150人
37,运维/技术支持,运维工程师,网络运维工程师,杭州鑫翔七迅科技有限公司,0.7-1万/月,杭州-西湖区,民营公司,3-4年经验,5,招1人,五险一金 员工旅游 绩效奖金 年终奖金 定期体检,50-150人
38,运维/技术支持,运维工程师,高级运维工程师,浙江无极互联科技有限公司,1.5-2.5万/月,杭州-江干区,创业公司,5-7年经验,6,招1人,五险一金 餐饮补贴 绩效奖金 年终奖金 专业培训,150-500人
39,运维/技术支持,运维工程师,运维工程师,杭州艾朴软件有限公司,0.5-1万/月,杭州,民营公司,2年经验,5,招1人,五险一金 员工旅游 交通补贴 绩效奖金,50-150人
40,运维/技术支持,运维工程师,维护工程师,杭州普丰信息技术有限公司,0.6-1.2万/月,杭州-西湖区,民营公司,3-4年经验,6,招1人,五险 出差补贴 定期体检 年终奖金 员工旅游 绩效奖金,少于50人
41,运维/技术支持,运维工程师,运维工程师（温州）,上海思群软件有限公司,5-8千/月,异地招聘,民营公司,1年经验,5,招3人,五险一金 绩效奖金 补充医疗保险 定期体检 餐饮补贴,50-150人
42,运维/技术支持,运维工程师,监控运维,上海博为峰信息技术有限公司,7-9千/月,杭州-余杭区,民营公司,无需经验,5,招1人,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 弹性工作 定期体检,150-500人
43,运维/技术支持,运维工程师,运维工程师,杭州智诚惠通科技有限公司,6-8千/月,杭州,民营公司,2年经验,6,招2人,五险一金 交通补贴 通讯补贴 定期体检 餐饮补贴,50-150人
44,运维/技术支持,运维工程师,运维工程师,昆山双宇新信息科技有限公司,6-8千/月,杭州,民营公司,无需经验,5,招2人,五险一金 年终奖金 绩效奖金 员工旅游 餐饮补贴 出国机会,少于50人
45,运维/技术支持,运维工程师,运维工程师,浙江展沃信息科技有限公司,6-8千/月,杭州-西湖区,民营公司,1年经验,5,招3人,五险一金 交通补贴 年终奖金 定期体检 绩效奖金,少于50人
46,运维/技术支持,运维工程师,网络运维工程师,苏州宽敬信息科技有限公司,0.8-1万/月,杭州,民营公司,无需经验,5,招2人,五险一金 包吃包住 出国机会 年终奖金 节日福利 周末双休,少于50人
47,运维/技术支持,运维工程师,运维工程师,宁波极科信息科技有限公司,7-9千/月,异地招聘,民营公司,1年经验,6,招5人,周末双休 节日福利 年终奖金 团建旅游 定期体检 五险一金 交通补贴 绩效奖金 餐饮补贴 补充医疗保险,50-150人
48,运维/技术支持,运维工程师,运维工程师,中国软件与技术服务股份有限公司,6-8千/月,杭州-西湖区,上市公司,1年经验,5,招1人,,5000-10000人
49,运维/技术支持,运维工程师,运维工程师,杭州优灿科技有限公司,0.9-1.8万/月,杭州,合资,5-7年经验,5,招2人,出国机会 年终奖金,500-1000人
50,运维/技术支持,运维工程师,devops工程师,杭州诚品科技有限公司,1.5-2万/月,杭州-滨江区,民营公司,2年经验,5,招1人,五险一金 年终奖金 专业培训,50-150人
51,运维/技术支持,运维工程师,运维工程师,安徽兆尹信息科技股份有限公司,0.8-1.5万/月,杭州-西湖区,民营公司,2年经验,5,招1人,五险一金 交通补贴 餐饮补贴 专业培训 绩效奖金 年终奖金 弹性工作 定期体检,1000-5000人
