,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,人工智能,机器学习工程师,搜索算法工程师-电商,字节跳动,3-5.5万/月,上海,民营公司,3-4年经验,6,招5人,下午茶 健身瑜伽 六险一金 团队氛围好 用户过亿 大牛带队 免费三餐 租房补贴,10000人以上
1,人工智能,机器学习工程师,Emerging Technology Manager,普华永道信息技术（上海）有限公司,,上海-浦东新区,外资（欧美）,10年以上经验,6,招若干人,五险一金 补充医疗保险 员工旅游 免费班车 年终奖金 餐饮补贴 弹性工作 定期体检,500-1000人
2,人工智能,机器学习工程师,Support Associate-COE Intelligent Delivery - Shang,SAP Cloud Platform Project,1-1.5万/月,上海,外资（欧美）,1年经验,7,招若干人,,1000-5000人
3,人工智能,机器学习工程师,AI技术科学家,中银金融科技（苏州）有限公司,5-8万/月,上海-浦东新区,国企,10年以上经验,6,招若干人,五险一金 通讯补贴 餐饮补贴 交通补贴 绩效奖金 定期体检 免费班车,50-150人
4,人工智能,机器学习工程师,机器学习工程师,上海互问信息科技有限公司,1.5-3万/月,上海-浦东新区,民营公司,1年经验,6,招若干人,五险一金 带薪年假 节日福利 周末双休 员工旅游 免费班车 年终奖金 补充医疗保险,50-150人
5,人工智能,机器学习工程师,算法工程师,上海新氦类脑智能科技有限公司,1.5-2万/月,上海-杨浦区,民营公司,无需经验,7,招2人,五险一金 带薪年假 节日福利 交通补贴 餐饮补贴 通讯补贴 高温补贴 定期体检 员工旅游 补充医疗保险,50-150人
6,人工智能,机器学习工程师,人工智能工程师,上海蕴业信息科技有限公司,3-5万/月,上海-浦东新区,民营公司,3-4年经验,6,招若干人,五险一金 员工旅游 绩效奖金 年终奖金 定期体检 定期团建 加班补贴 13薪,少于50人
7,人工智能,机器学习工程师,人工智能远程讲座,上海锐格软件有限公司,1500元/天,上海-虹口区,民营公司,2年经验,6,招若干人,五险一金 专业培训 年终奖金 周末双休 带薪年假,少于50人
8,人工智能,机器学习工程师,知识图谱算法工程师,上海圆卓网络科技有限公司,1.5-3万/月,上海-虹口区,外资（非欧美）,2年经验,7,招2人,做五休二 周末双休 带薪年假 餐饮补贴 五险一金 年终奖金,150-500人
9,人工智能,机器学习工程师,高级算法工程师,Raxtone雷腾,2.5-3万/月,上海-浦东新区,民营公司,2年经验,6,招1人,做五休二 餐饮补贴 节日福利 绩效奖金 免费班车 五险一金 带薪年假 周末双休,150-500人
10,人工智能,机器学习工程师,机器学习算法工程师（金融方向）,苏州银丰睿哲信息科技有限公司,1.2-2.6万/月,异地招聘,民营公司,1年经验,6,招1人,专业培训 五险一金 年终奖金,150-500人
11,人工智能,机器学习工程师,数据挖掘工程师,上海柯林布瑞信息技术有限公司,1.5-2.5万/月,上海-徐汇区,民营公司,3-4年经验,6,招1人,五险一金 餐饮补贴 弹性工作 定期体检 专业培训 员工旅游 年终奖金 绩效奖金 交通补贴,150-500人
12,人工智能,机器学习工程师,算法工程师,上海威士顿信息技术股份有限公司,1.2-1.8万/月,上海-虹口区,民营公司,1年经验,7,招若干人,五险一金 补充医疗保险 员工旅游 年终奖金 专业培训 定期体检 弹性工作,150-500人
