,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,后端开发,Java开发工程师,Java资深开发工程师,丰益（上海）信息技术有限公司,2.5-3万/月,上海-浦东新区,外资（非欧美）,10年以上经验,6,招1人,五险一金 补充医疗保险 员工旅游 餐饮补贴 通讯补贴 年终奖金 绩效奖金 定期体检,500-1000人
1,后端开发,Java开发工程师,Java开发工程师,上海第九城市信息技术有限公司,1.5-2.5万/月,上海-虹口区,上市公司,2年经验,6,招1人,五险一金 带薪年假 交通补贴 餐饮补贴 做五休二,50-150人
2,后端开发,Java开发工程师,Java开发工程师,上海砾阳软件有限公司,1-2万/月,上海-浦东新区,民营公司,1年经验,6,招10人,做五休二 周末双休 带薪年假 五险一金 绩效奖金 节日福利 专业培训 餐饮补贴 加班补贴,150-500人
3,后端开发,Java开发工程师,Java高级开发工程师（大数据方向）,上海金指软件技术有限公司,1.5-2.5万/月,上海-浦东新区,民营公司,5-7年经验,6,招6人,五险一金 餐饮补贴 定期体检 专业培训 免费班车 员工旅游 交通补贴 年终奖金 股票期权 绩效奖金,50-150人
4,后端开发,Java开发工程师,java软件工程师,上海久华信息科技有限公司,0.6-1万/月,上海-宝山区,民营公司,1年经验,5,招若干人,做五休二 周末双休 弹性工作 带薪年假 五险一金 绩效奖金 节日福利 专业培训 年终奖金,少于50人
5,后端开发,Java开发工程师,Java开发工程师,上海倍增智能科技有限公司,1.7-2.2万/月,上海-宝山区,民营公司,3-4年经验,5,招1人,包吃 全勤奖 节日福利 绩效奖金 带薪年假 五险一金 年终奖金,500-1000人
6,后端开发,Java开发工程师,Java开发工程师,上海银雁科技服务有限公司,1.2-1.8万/月,上海-浦东新区,民营公司,3-4年经验,6,招3人,五险一金 专业培训 绩效奖金 年终奖金,500-1000人
7,后端开发,Java开发工程师,高级java后端开发工程师,上海联平科技有限公司,1.5-3万/月,上海-奉贤区,民营公司,3-4年经验,5,招若干人,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金,50-150人
8,后端开发,Java开发工程师,Java开发工程师,上海缆新信息技术有限公司,1-1.5万/月,上海-杨浦区,创业公司,3-4年经验,5,招4人,,少于50人
9,后端开发,Java开发工程师,Java开发工程师,苏州大软信息智能科技有限公司,0.8-1.2万/月,上海-浦东新区,外资（欧美）,2年经验,6,招11人,五险一金 节假日福利 年终奖金,
10,后端开发,Java开发工程师,Java中级开发工程师-金桥,京北方信息技术股份有限公司,1.5-2万/月,上海-浦东新区,民营公司,3-4年经验,5,招20人,五险一金 交通补贴 餐饮补贴 绩效奖金 员工旅游,10000人以上
11,后端开发,Java开发工程师,JAVA高级工程师,上海皇家网络科技有限公司,1.5-2万/月,上海-浦东新区,民营公司,5-7年经验,6,招2人,五险一金,50-150人
12,后端开发,Java开发工程师,中级JAVA工程师,上海大树投资控股集团有限公司,1.2-1.6万/月,上海-长宁区,民营公司,3-4年经验,5,招2人,五险一金 交通补贴 绩效奖金 年终奖金 定期体检 免费下午茶点,少于50人
13,后端开发,Java开发工程师,Java开发工程师,上海耀斑信息科技有限公司,1-2万/月,上海-普陀区,民营公司,2年经验,6,招若干人,五险一金 绩效奖金 做五休二 节日福利,少于50人
14,后端开发,Java开发工程师,资深Java开发/软件开发工程师,上海慧龙计算机系统有限公司,1.5-2万/月,上海-普陀区,民营公司,3-4年经验,5,招3人,五险一金 员工旅游 餐饮补贴 年终奖金 交通补贴,50-150人
15,后端开发,Java开发工程师,java开发工程师（唐镇-20）,上海复深蓝软件股份有限公司,1.7-2万/月,上海-浦东新区,上市公司,3-4年经验,6,招5人,五险一金 年终奖金 做五休二 定期体检 绩效奖金,1000-5000人
16,后端开发,Java开发工程师,Java开发工程师/软件工程师,上海浩霖汇信息科技有限公司,1-1.5万/月,上海-静安区,民营公司,2年经验,5,招1人,五险一金 餐饮补贴 绩效奖金 弹性工作 带薪年假 调薪机会 全额公积金 年度调薪,少于50人
17,后端开发,Java开发工程师,Java开发工程师,上海木赤信息技术有限公司,1-2万/月,上海-虹口区,民营公司,3-4年经验,5,招10人,,
18,后端开发,Java开发工程师,Java中级工程师,国美通讯设备股份有限公司上海分公司,1.5-2.5万/月,上海-松江区,上市公司,3-4年经验,5,招1人,五险一金 周末双休 绩效奖金 做五休二,500-1000人
19,后端开发,Java开发工程师,中高级JAVA,上海浩方信息技术有限公司,1.5-2万/月,上海-浦东新区,合资,5-7年经验,5,招若干人,,1000-5000人
20,后端开发,Java开发工程师,Java开发工程师,芙索特（上海）医疗科技有限公司,1.5-3万/月,上海-浦东新区,民营公司,3-4年经验,6,招1人,五险一金 交通补贴 餐饮补贴 年终奖金 绩效奖金 股票期权 员工旅游 定期体检 免费班车,少于50人
21,后端开发,Java开发工程师,Java开发工程师,永钥（上海）信息科技有限公司,2-3万/月,上海-静安区,民营公司,3-4年经验,6,招2人,弹性工作 绩效奖金 年终奖金,少于50人
22,后端开发,Java开发工程师,Java开发工程师,上海博愚科技有限公司,1-1.8万/月,上海-宝山区,民营公司,5-7年经验,6,招2人,,少于50人
23,后端开发,Java开发工程师,初级Java,赞同科技股份有限公司,0.8-1万/月,上海,民营公司,1年经验,6,招3人,五险一金 补充公积金 弹性工作 通讯补贴 餐饮补贴 交通补贴,1000-5000人
24,后端开发,Java开发工程师,Java开发工程师,大连东软思维科技发展有限公司,1.5-2.2万/月,上海-虹口区,民营公司,2年经验,5,招1人,五险一金 定期体检,1000-5000人
25,后端开发,Java开发工程师,数字化平台开发工程师（java）,上海微凌信息科技有限公司,1.2-2.3万/月,上海-杨浦区,民营公司,3-4年经验,6,招1人,五险一金 专业培训 股票期权 项目奖金 年终奖金 弹性工作 生日福利 定期体检 公司福利假 商业保险,50-150人
26,后端开发,Java开发工程师,Java高级开发工程师,上海钰登互联网科技有限公司,2.5-4万/月,上海-杨浦区,民营公司,5-7年经验,6,招3人,五险一金 绩效奖金 年终奖金,少于50人
27,后端开发,Java开发工程师,java开发工程师（需出差）,东方微银科技股份有限公司,1-2万/月,上海-浦东新区,民营公司,3-4年经验,6,招若干人,五险一金 餐饮补贴 通讯补贴 定期体检 专业培训,150-500人
28,后端开发,Java开发工程师,Java开发工程师,上海阜坤信息科技有限公司,1-1.5万/月,上海,民营公司,2年经验,5,招3人,五险一金 交通补贴 餐饮补贴 绩效奖金 年终奖金,150-500人
29,后端开发,Java开发工程师,Java开发工程师,上海霍恪软件科技有限公司,1.5-2万/月,上海-宝山区,民营公司,5-7年经验,6,招若干人,五险一金 补充公积金 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检,50-150人
30,后端开发,Java开发工程师,后端开发工程师,上海开始网络科技有限公司,1.8-2.5万/月,上海-浦东新区,民营公司,3-4年经验,6,招5人,五险一金 专业培训 绩效奖金 带薪年假 股票期权 定期体检,少于50人
31,后端开发,Java开发工程师,软件开发工程师（Java）,南京廷桥信息技术有限公司,1-1.5万/月,上海-浦东新区,民营公司,3-4年经验,6,招6人,五险一金,少于50人
32,后端开发,Java开发工程师,Java架构师(J12523),上海二三四五网络科技有限公司,2.5-4.5万/月,上海-浦东新区,上市公司,5-7年经验,6,招3人,五险一金 补充医疗保险 年终奖金 定期体检 免息房贷 免息车贷 免费早餐 上市公司,500-1000人
33,后端开发,Java开发工程师,Java开发工程师,上海医浦信息科技有限公司,0.8-1万/月,上海-长宁区,民营公司,无需经验,5,招若干人,,50-150人
34,后端开发,Java开发工程师,Java高级软件开发工程师,上海冠能信息科技有限公司,1-1.5万/月,上海-杨浦区,民营公司,1年经验,6,招2人,五险一金 免费班车 员工旅游 交通补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检,少于50人
35,后端开发,Java开发工程师,java高级软件工程师,住高信息技术（上海）有限公司,0.8-1万/月,上海-嘉定区,民营公司,3-4年经验,5,招2人,五险一金 员工旅游 通讯补贴 年终奖金 定期体检,少于50人
36,后端开发,Java开发工程师,初中级Java开发工程师,上海速强信息技术股份有限公司,0.8-1.6万/月,上海-浦东新区,民营公司,2年经验,5,招3人,,150-500人
37,后端开发,Java开发工程师,Java开发工程师,上海铧盛计算机系统科技有限公司,1.2-2万/月,上海-闵行区,民营公司,3-4年经验,6,招5人,五险一金,少于50人
38,后端开发,Java开发工程师,软件开发工程师（Java）,上海廷桥信息技术有限公司,1-1.5万/月,上海-浦东新区,民营公司,3-4年经验,6,招6人,五险一金,少于50人
39,后端开发,Java开发工程师,Java高级开发工程师,上海沃行信息技术有限公司,1.5-3万/月,上海,外资（非欧美）,3-4年经验,6,招若干人,五险一金 员工旅游 弹性工作 餐饮补贴 定期体检 专业培训,50-150人
40,后端开发,Java开发工程师,Java开发工程师/SSM/springboot,奥科美（上海）信息技术有限公司,1-1.5万/月,上海-浦东新区,合资,3-4年经验,6,招2人,五险一金 绩效奖金 弹性工作 交通补贴 餐饮补贴 通讯补贴,少于50人
41,后端开发,Java开发工程师,Java开发工程师,上海面心信息科技有限公司,1-2.5万/月,上海-青浦区,民营公司,3-4年经验,5,招3人,五险一金 餐饮补贴 交通补贴 通讯补贴,少于50人
42,后端开发,Java开发工程师,Java开发工程师,玖纵网络科技（上海）有限公司,1.1-2万/月,上海-徐汇区,民营公司,3-4年经验,5,招1人,五险一金 绩效奖金 年终奖金,50-150人
43,后端开发,Java开发工程师,Java高级开发工程师,苏州花开四季网络科技有限公司,1-2.5万/月,上海-闵行区,民营公司,2年经验,6,招5人,五险一金 员工旅游 节日福利 弹性工作 生日福利 带薪年假,50-150人
44,后端开发,Java开发工程师,Java开发工程师,上海汇亚信息科技有限公司,1.2-1.6万/月,上海-浦东新区,民营公司,1年经验,6,招若干人,五险一金 绩效奖金 员工旅游 交通补贴 餐饮补贴 专业培训 年终奖金 免费班车 弹性工作,50-150人
45,后端开发,Java开发工程师,对日项目经理（Java方向）,北京政通仁和建材有限公司,1.5-2万/月,异地招聘,民营公司,8-9年经验,6,招2人,,50-150人
46,后端开发,Java开发工程师,Java高级开发工程师,上海天玑科技股份有限公司,2-4万/月,上海,上市公司,5-7年经验,6,招2人,,500-1000人
47,后端开发,Java开发工程师,Java开发工程师,上海有立信息科技有限公司,5-8千/月,上海,民营公司,2年经验,5,招若干人,五险一金 年终奖金 通讯补贴 餐饮补贴,少于50人
48,后端开发,Java开发工程师,Java开发工程师,上海大智慧股份有限公司,1.5-2万/月,上海-浦东新区,上市公司,5-7年经验,6,招1人,年终奖金 绩效奖金 五险一金 餐饮补贴 定期体检 专业培训,1000-5000人
49,后端开发,Java开发工程师,Java开发工程师,上海得逸信息技术有限公司,1.2-1.8万/月,上海-青浦区,民营公司,3-4年经验,,招4人,,1000-5000人
50,后端开发,Java开发工程师,中级Java开发工程师,上海索微科技有限公司,1-1.5万/月,上海,民营公司,2年经验,5,招若干人,五险一金 餐饮补贴 弹性工作 定期体检 员工旅游 出国机会 年终奖金 绩效奖金,少于50人
51,后端开发,Java开发工程师,Java开发工程师,上海特高信息技术有限公司,1-1.8万/月,上海-浦东新区,民营公司,3-4年经验,6,招10人,,
