,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,数据,数据分析经理/主管,Data Migration Leader,Alten China Limited,1.3-1.6万/月,上海-浦东新区,外资（欧美）,3-4年经验,6,招1人,五险一金 补充医疗保险 弹性工作 十三薪 带薪年假 过节福利,500-1000人
1,数据,数据分析经理/主管,数据运营负责人,百度呼叫中心,2.5-3万/月,上海-嘉定区,上市公司,5-7年经验,6,招1人,周末双休 餐饮补贴 商业保险 免费班车 带薪年假 父母保险计划 六险一金 年终奖金 通讯补贴,1000-5000人
2,数据,数据分析经理/主管,数据科学家主管 Lead Data Scientist,上海育碧电脑软件有限公司,,上海,外资（欧美）,3-4年经验,6,招若干人,五险一金 餐饮补贴 弹性工作 补充医疗保险 专业培训,500-1000人
3,数据,数据分析经理/主管,Tableau数据分析师,上海怡海软件技术有限公司,1-1.5万/月,上海-长宁区,外资（非欧美）,5-7年经验,6,招2人,五险一金 餐饮补贴 通讯补贴 员工旅游 年终奖金 弹性工作 出国机会,50-150人
4,数据,数据分析经理/主管,数据主管,上海点欣科技有限公司,1.5-1.8万/月,上海-徐汇区,民营公司,3-4年经验,6,招2人,,50-150人
5,数据,数据分析经理/主管,数据技术主管,上海佳锐信息科技股份有限公司,2-3万/月,上海-杨浦区,上市公司,5-7年经验,6,招1人,周末双休 弹性工作 带薪年假 五险一金 绩效奖金 节日福利 专业培训 餐饮补贴 通讯补贴,50-150人
6,数据,数据分析经理/主管,数据分析师,上海科霏智能科技有限公司,0.8-1万/月,上海-浦东新区,合资,1年经验,6,招若干人,五险一金 员工旅游 专业培训 通讯补贴 餐饮补贴 交通补贴 绩效奖金 年终奖金 定期体检,150-500人
7,数据,数据分析经理/主管,电商数据分析经理,华扬联众数字技术股份有限公司,1.5-2万/月,上海-黄浦区,民营公司,3-4年经验,6,招1人,五险一金 补充医疗保险 专业培训 定期体检,1000-5000人
8,数据,数据分析经理/主管,数据科学家,北谷电子有限公司,2.5-5万/月,上海-浦东新区,民营公司,5-7年经验,7,招若干人,七险一金 弹性工作 年终奖金 带薪年假 周末双休 餐饮补贴 专业培训 定期体检 入职导师 员工旅游,150-500人
9,数据,数据分析经理/主管,数据分析经理/主管,叮咚买菜--上海壹佰米网络科技有限公司,1-1.8万/月,上海-浦东新区,民营公司,3-4年经验,5,招1人,绩效奖金 交通补贴 节日福利 餐饮补贴,10000人以上
10,数据,数据分析经理/主管,AI数据经理,感图网络科技有限公司,1.2-1.5万/月,上海-闵行区,民营公司,5-7年经验,6,招2人,五险一金 周末双休 年终奖金 带薪年假 弹性工作 节日福利,150-500人
11,数据,数据分析经理/主管,数据分析助理（可实习）,上海新朋程数据科技发展有限公司,0.8-1.5万/月,上海-杨浦区,合资,1年经验,6,招1人,五险一金 员工旅游 定期体检 带薪年假 绩效奖金 年终奖金,150-500人
12,数据,数据分析经理/主管,数据分析咨询顾问,上海数道信息科技有限公司,1-1.5万/月,上海-浦东新区,民营公司,3-4年经验,6,招若干人,五险一金 免费班车 年终奖金 定期体检 绩效奖金,少于50人
13,数据,数据分析经理/主管,EDA数据库开发经理（C++）,芯华章科技股份有限公司,2-4万/月,上海-浦东新区,民营公司,5-7年经验,7,招1人,五险一金 补充医疗保险 补充公积金 免费班车 年终奖金 交通补贴 餐饮补贴 定期体检,150-500人
14,数据,数据分析经理/主管,项目经理,高知特信息技术（上海）有限公司 Cognizant Technology Solutions,3-4万/月,上海-浦东新区,外资（欧美）,5-7年经验,6,招1人,,1000-5000人
15,数据,数据分析经理/主管,市场研究经理,上海万茂网络科技有限公司,15-20万/年,上海-浦东新区,民营公司,3-4年经验,6,招2人,五险一金 补充医疗保险 定期体检,少于50人
16,数据,数据分析经理/主管,大数据架构师（上海）,上海华讯网络系统有限公司,40-80万/年,上海-长宁区,国企,5-7年经验,6,招1人,五险一金 补充医疗保险 补充公积金 交通补贴 通讯补贴 专业培训 绩效奖金 定期体检,1000-5000人
