,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,前端开发,Web前端开发,前段开发工程师,小米通讯技术有限公司,1.5-3万/月,上海-徐汇区,民营公司,3-4年经验,6,招1人,带薪年假 五险一金 绩效奖金 专业培训 节日福利,10000人以上
1,前端开发,Web前端开发,Web前端开发工程师,上海第九城市信息技术有限公司,1-2万/月,上海-虹口区,上市公司,3-4年经验,5,招1人,五险一金 带薪年假 交通补贴 餐饮补贴 做五休二,50-150人
2,前端开发,Web前端开发,前端开发工程师,武汉佰钧成技术有限责任公司,2-3万/月,上海-浦东新区,民营公司,3-4年经验,6,招2人,五险一金 补充医疗保险 定期体检 员工旅游 专业培训,10000人以上
3,前端开发,Web前端开发,前端开发工程师,上海砾阳软件有限公司,1-1.5万/月,上海-浦东新区,民营公司,2年经验,6,招2人,做五休二 周末双休 带薪年假 五险一金 绩效奖金 节日福利 专业培训 餐饮补贴 加班补贴,150-500人
4,前端开发,Web前端开发,前端开发工程师(vue ),上海倍增智能科技有限公司,1.4-2万/月,上海-宝山区,民营公司,2年经验,5,招1人,包吃 全勤奖 节日福利 绩效奖金 带薪年假 五险一金 年终奖金,500-1000人
5,前端开发,Web前端开发,前端开发工程师（急）,上海缆新信息技术有限公司,1.2-1.8万/月,上海-杨浦区,创业公司,3-4年经验,5,招2人,五险一金 餐饮补贴 弹性工作 年终奖金 专业培训 绩效奖金 员工旅游 定期体检,少于50人
6,前端开发,Web前端开发,高级前端开发工程师,上海联平科技有限公司,1.5-3万/月,上海-奉贤区,民营公司,3-4年经验,5,招若干人,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金,50-150人
7,前端开发,Web前端开发,Web前端开发,苏州大软信息智能科技有限公司,1-1.5万/月,上海-虹口区,外资（欧美）,3-4年经验,6,招2人,五险一金 节假日福利 年终奖金,
8,前端开发,Web前端开发,Front End Developer,上海商壹汇信息科技有限公司,1.5-3万/月,上海-长宁区,外资（非欧美）,无需经验,6,招1人,五险一金 补充医疗保险 弹性工作 扁平管理 休闲餐点 团队聚餐 领导好 发展空间大 带薪年假 技能培训,150-500人
9,前端开发,Web前端开发,Web前端开发/前端工程师,朗曦国际（上海）信息技术有限公司,0.8-1万/月,上海-长宁区,合资,3-4年经验,5,招1人,五险一金 年终奖金 绩效奖金 弹性工作,少于50人
10,前端开发,Web前端开发,前端开发工程师,上海璞映智能科技有限公司,1-1.5万/月,上海-浦东新区,合资,3-4年经验,5,招1人,周末双休 带薪年假 节日福利 年底奖金,150-500人
11,前端开发,Web前端开发,Web前端开发工程师/合肥研发中心,上海蓝矩信息科技有限公司,6-8千/月,异地招聘,民营公司,1年经验,6,招2人,五险一金 餐饮补贴 年终奖金 绩效奖金 员工旅游,少于50人
12,前端开发,Web前端开发,前端开发工程师,南京迈特望科技股份有限公司,1-1.5万/月,异地招聘,上市公司,2年经验,5,招若干人,,1000-5000人
13,前端开发,Web前端开发,web前端开发工程师（远程办公）,上海本原网络科技有限公司,1.8-2.3万/月,上海-闵行区,民营公司,3-4年经验,6,招1人,,少于50人
14,前端开发,Web前端开发,前端开发工程师,深圳思谋信息科技有限公司,2.5-5万/月,异地招聘,外资（非欧美）,3-4年经验,6,招若干人,五险一金 绩效奖金 年终奖金 定期体检 专业培训,150-500人
15,前端开发,Web前端开发,HTML5开发工程师,易批生鲜信息发展股份有限公司,0.8-1.5万/月,上海-普陀区,民营公司,3-4年经验,5,招1人,五险一金 餐饮补贴 交通补贴 通讯补贴 定期体检 绩效奖金 员工旅游,50-150人
16,前端开发,Web前端开发,前端开发工程师,上海开始网络科技有限公司,1.2-1.8万/月,上海-浦东新区,民营公司,3-4年经验,6,招2人,五险一金 专业培训 绩效奖金 带薪年假 股票期权 定期体检,少于50人
17,前端开发,Web前端开发,Web前端开发工程师,上海奥拓翰明计算机科技有限公司,1-1.5万/月,上海-静安区,民营公司,2年经验,6,招3人,五险一金 餐饮补贴 员工旅游 定期体检,150-500人
18,前端开发,Web前端开发,前端开发工程师（环球金融大厦）,上海吉贝克信息技术有限公司,1.6-2.3万/月,上海,民营公司,2年经验,6,招5人,五险一金 绩效奖金 年终奖金 通讯补贴 专业培训,500-1000人
19,前端开发,Web前端开发,Web前端开发工程师,上海苏铁信息科技有限公司,1.5-2万/月,上海-长宁区,民营公司,3-4年经验,5,招2人,五险一金 绩效奖金 年终奖金 定期体检 通讯补贴 团队建设,少于50人
20,前端开发,Web前端开发,Web前端开发工程师,南京廷桥信息技术有限公司,0.8-1.4万/月,上海-浦东新区,民营公司,2年经验,6,招4人,五险一金,少于50人
21,前端开发,Web前端开发,前端（外派平安）徐汇 或 浦东新区,上海讯锡信息科技有限公司,1-1.2万/月,上海-徐汇区,民营公司,3-4年经验,6,招1人,,500-1000人
22,前端开发,Web前端开发,Web前端开发工程师,中嘉仁和科技（北京）有限公司,10-24万/年,上海-浦东新区,外资（非欧美）,3-4年经验,6,招2人,五险一金 定期体检 绩效奖金 年终奖金,少于50人
23,前端开发,Web前端开发,Web前端开发工程师,上海久誉软件系统有限公司,2-2.8万/月,上海,国企,5-7年经验,6,招1人,五险一金 补充医疗保险 员工旅游 餐饮补贴 年终奖金 定期体检 绩效奖金,150-500人
24,前端开发,Web前端开发,Web前端开发工程师,上海廷桥信息技术有限公司,0.8-1.4万/月,上海-浦东新区,民营公司,2年经验,6,招4人,五险一金,少于50人
25,前端开发,Web前端开发,前端开发工程师,上海酷乐部信息技术有限公司,1.5-2.5万/月,上海-浦东新区,外资（欧美）,2年经验,5,招5人,五险一金 员工旅游 年终奖金 弹性工作 定期体检 周末双休 带薪年假 专业培训 节日福利,少于50人
26,前端开发,Web前端开发,Web前端开发工程师/html,玖纵网络科技（上海）有限公司,1.5-2.5万/月,上海-徐汇区,民营公司,3-4年经验,5,招3人,五险一金 绩效奖金 年终奖金,50-150人
