,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,游戏,游戏开发工程师,Cocos2d-x开发工程师,上海宏弈源软件科技有限公司,1-2.5万/月,上海-徐汇区,民营公司,2年经验,6,招5人,五险一金 带薪年假 全勤奖 节日福利 加班补贴 员工旅游 13薪,50-150人
1,游戏,游戏开发工程师,客户端程序员,英佩数码科技（上海）有限公司,0.8-1.5万/月,上海-徐汇区,外资（欧美）,1年经验,6,招1人,五险一金 补充医疗保险 餐饮补贴 绩效奖金 年终奖金,150-500人
2,游戏,游戏开发工程师,游戏后端开发工程师,上海英澈网络科技有限公司,2-4万/月,上海-闵行区,民营公司,3-4年经验,,招若干人,,少于50人
3,游戏,游戏开发工程师,中台开发工程师,数码方块软件开发（上海）有限公司,1.5-2万/月,上海-徐汇区,外资（欧美）,2年经验,6,招1人,五险一金 绩效奖金 年终奖金 弹性工作,少于50人
4,游戏,游戏开发工程师,Software Engineer,动视信息技术（上海）有限公司,1.5-2万/月,上海-静安区,外资（欧美）,3-4年经验,6,招1人,五险一金 补充医疗保险 补充公积金,1000-5000人
5,游戏,游戏开发工程师,服务器开发程序员 Network Programmer,上海育碧电脑软件有限公司,20-35万/年,上海,外资（欧美）,3-4年经验,,招1人,五险一金 餐饮补贴 弹性工作 补充医疗保险 专业培训,500-1000人
6,游戏,游戏开发工程师,高级服务器开发,上海冰风网络科技有限公司,1.5-2万/月,上海-嘉定区,民营公司,3-4年经验,6,招1人,五险一金 餐饮补贴 定期体检 弹性工作 年终奖金 节假日福利 下午茶生日会,150-500人
7,游戏,游戏开发工程师,unity程序员,上海蓝鳍信息科技有限公司,1.5-2万/月,上海-杨浦区,民营公司,3-4年经验,6,招若干人,五险一金 员工旅游 年终奖金 绩效奖金 出国机会 股票期权 餐饮补贴,少于50人
8,游戏,游戏开发工程师,Unity3D工程师,鼹鼠游戏,1.5-2万/月,上海-浦东新区,民营公司,3-4年经验,6,招若干人,五险一金 专业培训 绩效奖金 年终奖金 弹性工作 餐饮补贴 股票期权,50-150人
9,游戏,游戏开发工程师,PHP开发工程师,武汉牧望群网络科技有限公司,1.2-3万/月,异地招聘,合资,2年经验,5,招5人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
10,游戏,游戏开发工程师,PHP高级开发工程师,上海极贝网络科技有限公司,1.5-2.5万/月,上海,民营公司,5-7年经验,6,招若干人,弹性工作 五险一金 补充公积金 通讯补贴 免费班车 员工旅游 股票期权 年终奖金 绩效奖金 出国机会,150-500人
11,游戏,游戏开发工程师,服务器开发工程师,上海贤隆网络科技有限公司,2.5-3万/月,上海-浦东新区,民营公司,3-4年经验,6,招1人,绩效奖金 五险一金 交通补贴 定期体检 弹性工作,50-150人
12,游戏,游戏开发工程师,游戏开发工程师,上海盛大网络发展有限公司,2-2.5万/月,上海-浦东新区,民营公司,3-4年经验,6,招1人,,150-500人
13,游戏,游戏开发工程师,游戏后端C++程序员,上海疾创信息科技有限公司,1.5-2.5万/月,上海-普陀区,民营公司,2年经验,5,招若干人,五险一金 餐饮补贴 全勤奖,50-150人
14,游戏,游戏开发工程师,多媒体/游戏开发工程师,上海如鼎信息科技有限公司,6-8千/月,上海-黄浦区,民营公司,无需经验,5,招2人,,50-150人
15,游戏,游戏开发工程师,Unity3D开发工程师（高级）,上海申博信息系统工程有限公司,15-20万/年,上海,国企,3-4年经验,6,招若干人,做五休二 周末双休 带薪年假 五险一金 绩效奖金 节日福利 专业培训 餐饮补贴 高温补贴,50-150人
16,游戏,游戏开发工程师,unreal 4 程序开发,上海皿鎏数字科技有限公司,1.3-2.3万/月,上海,民营公司,2年经验,6,招5人,五险一金 补充医疗保险 员工旅游 年终奖金 定期体检 出国机会 下午茶，聚餐 双休，加班少 团队氛围好 节日礼物,150-500人
17,游戏,游戏开发工程师,游戏U3D（Unity3D）客户端开发工程师,无锡睿亿成信息科技有限公司,0.8-1.6万/月,上海-杨浦区,民营公司,3-4年经验,6,招3人,五险一金 弹性工作 周末双休 假期多,150-500人
18,游戏,游戏开发工程师,Unity3d开发工程师,上海阵星信息科技有限公司,1.2-2.4万/月,上海-浦东新区,民营公司,3-4年经验,6,招1人,五险一金 员工旅游 交通补贴 餐饮补贴 绩效奖金 股票期权 年终奖金 定期体检 专业培训 弹性工作,少于50人
19,游戏,游戏开发工程师,U3D开发工程师,上海数展文化创意有限公司,0.7-1.5万/月,上海-闵行区,民营公司,2年经验,5,招5人,,50-150人
20,游戏,游戏开发工程师,Unity3d游戏开发工程师,上海宇极文化传播有限公司,1-1.5万/月,上海-静安区,民营公司,1年经验,6,招1人,,少于50人
21,游戏,游戏开发工程师,高级游戏架构工程师,宁波迷之游戏有限公司,2.5-5万/月,异地招聘,民营公司,3-4年经验,5,招1人,弹性工作 生日福利 节日福利 定期体检 自由休假 六险一金 周末双休 项目分红 每年旅游 无上限调薪,少于50人
22,游戏,游戏开发工程师,游戏服务器开发,上海展盟网络科技有限公司,1.5-3万/月,上海-浦东新区,民营公司,3-4年经验,5,招2人,交通补贴 餐饮补贴 领导nice 发展空间大 下午茶 五险一金 免费班车,150-500人
23,游戏,游戏开发工程师,lua脚本程序员(游戏逻辑),上海鑫线信息技术有限公司,0.8-1.2万/月,上海-浦东新区,民营公司,招4人,,招4人,,少于50人
24,游戏,游戏开发工程师,资深C#服务器开发工程师,上海点点乐信息科技有限公司,1.8-2.5万/月,上海-浦东新区,民营公司,3-4年经验,5,招1人,五险一金 补充公积金 交通补贴 年终奖金 定期体检 弹性工作 餐饮补贴 带薪年假 带薪病假,50-150人
25,游戏,游戏开发工程师,前端开发工程师,上海坦色信息科技有限公司,2.5-3.5万/月,上海-虹口区,民营公司,1年经验,5,招2人,做五休二 周末双休 带薪年假 节日福利 早餐 零食饮料 水果,少于50人
26,游戏,游戏开发工程师,cocos2d-x客户端开发工程师,黑泉信息技术（上海）有限公司,0.8-2万/月,上海,民营公司,1年经验,6,招1人,五险一金 餐饮补贴 弹性工作 绩效奖金,少于50人
27,游戏,游戏开发工程师,游戏软件开发,上海成允网络科技有限公司,1-2万/月,上海-静安区,民营公司,2年经验,5,招若干人,带薪年假 五险一金 节日福利 全勤奖,50-150人
28,游戏,游戏开发工程师,Unity开发工程师,上海握爪信息科技有限公司,1-2万/月,上海-静安区,民营公司,1年经验,5,招2人,五险一金 员工旅游 绩效奖金 年终奖金 股票期权 合伙人 周末双休 做五休二 不加班,少于50人
29,游戏,游戏开发工程师,游戏前端开发工程师 (MJ000063),迪原创新（北京）科技有限公司,1-1.8万/月,上海-闵行区,民营公司,3-4年经验,6,招5人,五险一金 餐饮补贴 弹性工作,150-500人
30,游戏,游戏开发工程师,Unity3D游戏开发工程师,上海九影网络科技有限公司,0.8-1.5万/月,上海-浦东新区,民营公司,1年经验,5,招若干人,绩效奖金 年终奖金 五险一金 员工旅游,少于50人
31,游戏,游戏开发工程师,Java服务器开发工程师,孤岛（上海）软件有限公司,2-4万/月,上海-徐汇区,外资（欧美）,本科,6,招6人,五险一金 股票期权 弹性工作 专业培训 定期体检 出国机会 年终奖金 绩效奖金 员工旅游 通讯补贴,150-500人
32,游戏,游戏开发工程师,2D游戏动作特效设计师,上海火溶信息科技有限公司,1-1.5万/月,上海,民营公司,招若干人,,招若干人,周末双休 带薪年假 五险一金 全勤奖 节日福利,150-500人
33,游戏,游戏开发工程师,c++游戏服务器开发工程师,上海酷量信息技术有限公司,1.5-3.5万/月,上海-徐汇区,民营公司,2年经验,5,招5人,,150-500人
34,游戏,游戏开发工程师,Unity3d开发工程师,上海技越智能科技有限公司,0.8-1万/月,异地招聘,民营公司,3-4年经验,6,招5人,五险一金 绩效奖金 专业培训 节日福利 全勤奖 加班补贴,50-150人
35,游戏,游戏开发工程师,小游戏开发主程,苏州番茄互娱信息科技有限公司,1.4-2万/月,异地招聘,民营公司,5-7年经验,5,招1人,五险一金 年终奖金 免费零食,150-500人
36,游戏,游戏开发工程师,Cocos creator游戏开发,浙江杰游网络科技有限公司,0.5-1万/月,异地招聘,民营公司,2年经验,5,招2人,五险一金 弹性工作 不加班 包住宿,少于50人
37,游戏,游戏开发工程师,高级unity开发工程师,久瓴（上海）智能科技有限公司常州分公司,1.5-3万/月,上海-浦东新区,民营公司,5-7年经验,5,招3人,,50-150人
38,游戏,游戏开发工程师,游戏客户端程序员,上海魔贝投资咨询有限公司,1.5-2.5万/月,上海-杨浦区,民营公司,1年经验,6,招若干人,员工旅游 绩效奖金 专业培训 通讯补贴 弹性工作,少于50人
39,游戏,游戏开发工程师,游戏主程序（UNITY3D JAVA 后端程序）,上海能登数字科技有限公司,2-4万/月,上海-宝山区,上市公司,3-4年经验,5,招2人,五险一金 交通补贴 餐饮补贴 专业培训 绩效奖金 年终奖金,少于50人
40,游戏,游戏开发工程师,Unity3d中级开发工程师,上海上业信息科技股份有限公司,1.3-1.6万/月,上海-闵行区,民营公司,3-4年经验,5,招6人,五险一金 员工旅游 绩效奖金 年终奖金,150-500人
41,游戏,游戏开发工程师,Web前端开发工程师,上海永乾科技工程有限公司,1.2-1.8万/月,上海-闵行区,合资,2年经验,6,招1人,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 定期体检 弹性工作 年终奖金,少于50人
42,游戏,游戏开发工程师,cocos2dx Lua游戏逻辑开发工程师,上海掌贝网络科技有限公司,1-1.5万/月,上海-浦东新区,民营公司,3-4年经验,6,招若干人,,少于50人
43,游戏,游戏开发工程师,Unity游戏开发工程师,上海扬讯计算机科技有限责任公司,1-1.5万/月,上海,上市公司,2年经验,6,招若干人,,150-500人
44,游戏,游戏开发工程师,软件工程师C++,苏州澳盛网络发展有限公司,1.5-2万/月,异地招聘,民营公司,5-7年经验,5,招2人,五险一金 餐饮补贴 年终奖金 定期体检 包住宿,少于50人
45,游戏,游戏开发工程师,Lua服务器工程师,上海萤铃网络科技有限公司,1-1.5万/月,上海-徐汇区,民营公司,1年经验,5,招1人,五险一金 餐饮补贴 绩效奖金 年终奖金 弹性工作 定期体检 每年多次调薪 节日福利 生日party 团队氛围好,50-150人
46,游戏,游戏开发工程师,NodeJS开发工程师,上海爆点网络科技有限公司,1-2万/月,上海-徐汇区,民营公司,3-4年经验,6,招若干人,,少于50人
47,游戏,游戏开发工程师,资深Unity3d开发工程师,宁波盛光天翼科技有限公司,1.5-2.5万/月,上海-徐汇区,民营公司,3-4年经验,6,招若干人,五险一金 员工旅游 年终奖金 定期体检,50-150人
48,游戏,游戏开发工程师,高级C++服务器端程序,上海跳跃互动娱乐发展有限公司,2-4万/月,上海-浦东新区,民营公司,2年经验,,招1人,,150-500人
49,游戏,游戏开发工程师,高级游戏测试员,上海元游网络科技有限公司,6-8千/月,上海-静安区,民营公司,2年经验,5,招若干人,出国机会 员工旅游 年终奖金 五险一金 弹性工作,50-150人
