,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,移动开发,Android开发工程师,Android开发工程师,上海第九城市信息技术有限公司,1-2.5万/月,上海-虹口区,上市公司,3-4年经验,6,招1人,五险一金 带薪年假 交通补贴 餐饮补贴 做五休二,50-150人
1,移动开发,Android开发工程师,高级安卓软件工程师,上海有立信息科技有限公司,0.8-1.5万/月,上海-静安区,民营公司,3-4年经验,6,招若干人,五险一金 年终奖金 通讯补贴 餐饮补贴,少于50人
2,移动开发,Android开发工程师,Android开发工程师,上海蛙声一片科技有限公司,2-3万/月,上海-闵行区,民营公司,5-7年经验,5,招1人,,少于50人
3,移动开发,Android开发工程师,Android开发工程师,Green Dot Corporation,2.5-3万/月,上海-浦东新区,外资（欧美）,3-4年经验,6,招1人,技术培训 英语培训 弹性工作 文体活动,150-500人
4,移动开发,Android开发工程师,Android开发工程师,上海从开网络科技有限公司,1.1-1.8万/月,上海-浦东新区,民营公司,3-4年经验,5,招2人,五险一金 年终奖金,50-150人
5,移动开发,Android开发工程师,Android开发工程师（通信模块）,贵州禾苗通信科技有限公司,2-2.5万/月,上海-浦东新区,外资（欧美）,3-4年经验,6,招2人,五险一金 绩效奖金 股票期权 员工旅游,少于50人
6,移动开发,Android开发工程师,Android开发工程师（of）,上海古猿科技有限公司,1.5-2.2万/月,上海-浦东新区,创业公司,3-4年经验,5,招2人,五险一金 节假日福利 补充医疗保险 免费体检,少于50人
7,移动开发,Android开发工程师,图形算法工程师（安卓/IOS）,上海晟峰宝司大高科技有限公司,1.5-2万/月,上海-长宁区,外资（非欧美）,2年经验,5,招若干人,五险一金 员工旅游,少于50人
8,移动开发,Android开发工程师,安卓系统开发工程师,上海企威信息科技有限公司,0.8-1万/月,上海-青浦区,合资,2年经验,5,招若干人,五险一金 专业培训 弹性工作 年终奖金,50-150人
9,移动开发,Android开发工程师,Android开发工程师,上海治熵信息科技有限公司,1-1.5万/月,上海-浦东新区,民营公司,3-4年经验,6,招10人,年终奖金 绩效奖金 弹性工作 五险一金,少于50人
