,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,运维/技术支持,运维工程师,运维工程师,北京摩卡软件有限公司,5-8千/月,异地招聘,外资（非欧美）,1年经验,5,招3人,员工旅游 定期体检 补充医疗保险 七险一金,500-1000人
1,运维/技术支持,运维工程师,运维工程师,上海悦泰网络科技股份有限公司,5-8千/月,上海-静安区,民营公司,2年经验,5,招4人,五险一金 绩效奖金,50-150人
2,运维/技术支持,运维工程师,运维工程师,上海沃行信息技术有限公司,1.5-2万/月,上海,外资（非欧美）,3-4年经验,5,招若干人,五险一金 员工旅游 弹性工作 餐饮补贴 定期体检 专业培训,50-150人
3,运维/技术支持,运维工程师,机器人测试运维工程师,上海西虹桥导航技术有限公司,0.8-1.2万/月,上海-青浦区,合资,3-4年经验,6,招2人,五险一金 周末双休 交通补贴 通讯补贴 餐饮补贴 节日福利 定期体检,50-150人
4,运维/技术支持,运维工程师,运维实施工程师,微创（上海）网络技术股份有限公司,6-8千/月,上海-闵行区,民营公司,2年经验,6,招1人,五险一金 补充医疗保险 年终奖金 弹性工作 定期体检,150-500人
5,运维/技术支持,运维工程师,运维工程师,北京大数元科技发展有限公司,5-9千/月,上海,民营公司,2年经验,6,招1人,五险一金 补充医疗保险 交通补贴 通讯补贴 餐饮补贴,150-500人
6,运维/技术支持,运维工程师,运维工程师,北京天助盈通技术有限公司,4-6千/月,上海,民营公司,1年经验,5,招2人,年终奖金 交通补贴 餐饮补贴 社会保险,50-150人
7,运维/技术支持,运维工程师,运维开发岗,上海海万信息科技股份有限公司,1.2-1.8万/月,上海-浦东新区,民营公司,5-7年经验,5,招2人,,1000-5000人
8,运维/技术支持,运维工程师,系统运维工程师（Windows方向）(驻场),上海万昆信息科技发展有限公司,5-8千/月,上海-浦东新区,民营公司,1年经验,5,招若干人,五险一金 绩效奖金 年终奖金 餐饮补贴 技术培训 定期体检 员工旅游,50-150人
9,运维/技术支持,运维工程师,运维工程师/网络工程师,上海轶伦环境科技有限公司,0.8-1万/月,上海-松江区,民营公司,1年经验,5,招若干人,五险一金 员工旅游 出国机会 专业培训 绩效奖金 年终奖金 股票期权 定期体检 做五休二 团建,少于50人
