,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,人工智能,机器学习工程师,ROS软件工程师,深圳市功夫机器人有限公司,0.8-2万/月,深圳-龙华区,民营公司,无需经验,6,招2人,年终奖金 绩效奖金 股票期权 弹性工作 下午茶 商业医疗保险 社保五险 小姐姐多,少于50人
1,人工智能,机器学习工程师,算法工程师,字节跳动,2-4万/月,深圳,民营公司,无需经验,6,招2人,下午茶 健身瑜伽 六险一金 五险一金 股票期权 团队氛围好 晋升空间大 带薪休假 扁平管理 用户过亿,10000人以上
2,人工智能,机器学习工程师,数据工程师,深圳力维智联技术有限公司,2-3万/月,深圳-南山区,合资,3-4年经验,6,招2人,五险一金 绩效奖金 交通补贴 通讯补贴 定期体检,1000-5000人
3,人工智能,机器学习工程师,人工智能技术助理,陕西兰杉网络科技有限公司,6-8千/月,深圳-龙华区,民营公司,1年经验,5,招3人,五险一金 定期体检 绩效奖金 年终奖金 周末双休 全勤奖,50-150人
4,人工智能,机器学习工程师,7k+急聘人工智能检测助理,西安慧晶智能科技有限公司,0.8-1万/月,深圳-南山区,民营公司,无需经验,5,招2人,五险一金 年终奖金 绩效奖金 包住宿 节日福利 全勤奖 餐饮补贴 补充医疗保险 补充公积金 专业培训,150-500人
5,人工智能,机器学习工程师,机器视觉工程师,购乐贸易（深圳）有限公司,1-1.5万/月,深圳-罗湖区,民营公司,1年经验,6,招2人,五险一金 补充公积金 交通补贴 餐饮补贴 员工旅游 绩效奖金 年终奖金 定期体检,150-500人
6,人工智能,机器学习工程师,人工智能应用研究员,深圳国泰安教育技术有限公司,1.5-2.5万/月,深圳-南山区,合资,5-7年经验,7,招若干人,五险一金 绩效奖金 专业培训 年终奖金 定期体检 晋升机会 节日福利 博士专项激励 人才补贴,500-1000人
7,人工智能,机器学习工程师,算法工程师,深圳华策辉弘科技有限公司,1.5-2万/月,深圳-福田区,外资（非欧美）,3-4年经验,6,招1人,五险一金 年终奖金 周末双休 精美下午茶 弹性工作,50-150人
8,人工智能,机器学习工程师,算法工程师-机器学习方向,深圳九章数据科技有限公司,2-5万/月,深圳-南山区,民营公司,3-4年经验,6,招10人,,50-150人
9,人工智能,机器学习工程师,机器学习算法工程师,深圳绿米联创科技有限公司,2.5-3.5万/月,深圳-南山区,民营公司,3-4年经验,7,招1人,,1000-5000人
