,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,后端开发,Java开发工程师,Java开发工程师（易票云）,深圳航天信息有限公司,1-2万/月,深圳-福田区,国企,3-4年经验,6,招1人,五险一金 定期体检 专业培训 年终奖金 交通补贴 通讯补贴,500-1000人
1,后端开发,Java开发工程师,Java高级开发工程师,大连亿达信息技术有限公司深圳分公司,1.2-2万/月,深圳-南山区,民营公司,3-4年经验,6,招2人,五险一金 补充医疗保险 定期体检 弹性工作 专业培训 员工旅游 做五休二 包住宿 餐饮补贴,500-1000人
2,后端开发,Java开发工程师,（16-25）java工程师+双休+南山,深圳市汇德信息技术服务科技有限公司,1.6-2.5万/月,深圳-南山区,民营公司,5-7年经验,6,招1人,五险一金 餐饮补贴 绩效奖金 年终奖金 13薪 朝九晚六 周末双休,
3,后端开发,Java开发工程师,Java开发工程师,上海砾阳软件有限公司,0.8-1.5万/月,深圳-福田区,民营公司,2年经验,6,招10人,做五休二 周末双休 带薪年假 五险一金 绩效奖金 节日福利 专业培训 餐饮补贴 加班补贴,150-500人
4,后端开发,Java开发工程师,Java开发工程师,北京石基大商信息技术有限公司,1-1.5万/月,深圳-罗湖区,上市公司,3-4年经验,5,招1人,五险一金 补充医疗保险 餐饮补贴 通讯补贴 绩效奖金 员工旅游 定期体检 带薪年假 节假日福利 笔记本报销,500-1000人
5,后端开发,Java开发工程师,Java开发工程师,成都博彦软件技术有限公司深圳分公司,1.6-2万/月,深圳-南山区,民营公司,3-4年经验,6,招5人,五险一金 弹性工作 节假日礼品,10000人以上
6,后端开发,Java开发工程师,Java高级开发工程师,跨税云（深圳）科技有限公司,2.5-3万/月,深圳-龙华区,民营公司,8-9年经验,5,招2人,五险一金 绩效奖金 年终奖金 专业培训 下午茶 节日福利 晋升快,150-500人
7,后端开发,Java开发工程师,java开发工程师,深圳索信达数据技术有限公司,1.5-3万/月,深圳-南山区,外资（非欧美）,5-7年经验,6,招5人,五险一金 补充医疗保险 员工旅游 专业培训 年终奖金 股票期权 弹性工作 定期体检,500-1000人
8,后端开发,Java开发工程师,Java开发工程师,深圳市行知网络科技有限公司,1-2万/月,深圳-福田区,民营公司,3-4年经验,5,招3人,周末双休 五险一金 绩效奖金 节日福利 专业培训,50-150人
9,后端开发,Java开发工程师,Java开发工程师,申朴信息技术（上海）股份有限公司,1.5-2万/月,深圳-福田区,上市公司,5-7年经验,5,招若干人,,500-1000人
10,后端开发,Java开发工程师,Java开发工程师（初级、中级）,深圳市君仁控股集团有限公司,1-1.5万/月,深圳-南山区,民营公司,2年经验,6,招2人,五险一金 入职即买社保 员工旅游 专业培训 绩效奖金 年终奖金 定期体检 周末双休,50-150人
11,后端开发,Java开发工程师,Java中高级工程师,深圳市桥博设计研究院有限公司,1.3-1.8万/月,深圳-龙华区,民营公司,3-4年经验,6,招若干人,五险一金 年终奖金 绩效奖金 周末双休 朝九晚六 项目提成,150-500人
12,后端开发,Java开发工程师,Java开发工程师,千巡科技（深圳）有限公司,1.2-1.8万/月,深圳-宝安区,民营公司,3-4年经验,6,招1人,五险一金 带薪年假 节日福利 专业培训,少于50人
13,后端开发,Java开发工程师,Java开发工程师,深圳市跟投网络服务有限公司,1.4-2万/月,深圳-南山区,民营公司,3-4年经验,6,招5人,五险一金 补充医疗保险 通讯补贴 绩效奖金 年终奖金 定期体检 弹性工作,
14,后端开发,Java开发工程师,Java开发工程师,深圳市思而齐科技有限公司,5-8千/月,深圳-龙岗区,民营公司,无需经验,6,招若干人,五险一金 带薪年假 定期体检 绩效奖金 年终奖金 周末双休,少于50人
15,后端开发,Java开发工程师,JAVA软件工程师（驻场）-深圳,上海携宁计算机科技股份有限公司,0.7-1万/月,深圳-福田区,上市公司,1年经验,6,招2人,五险一金 员工旅游 交通补贴 餐饮补贴 年终奖金 定期体检,500-1000人
16,后端开发,Java开发工程师,Java开发工程师,深圳市德科信息技术有限公司,1.5-2万/月,深圳-福田区,合资,3-4年经验,6,招10人,员工旅游 年终奖金 绩效奖金 六险一金,1000-5000人
17,后端开发,Java开发工程师,Java开发工程师,南京翼海云峰软件技术有限公司,1.5-3万/月,深圳-龙岗区,民营公司,5-7年经验,6,招5人,五险一金 绩效奖金 年终奖金 定期体检 交通补贴,150-500人
18,后端开发,Java开发工程师,Java开发工程师,深圳市博悦科创科技有限公司,1-1.3万/月,深圳-福田区,民营公司,2年经验,6,招4人,五险一金 年终奖金 员工旅游 定期体检,500-1000人
19,后端开发,Java开发工程师,Java高级开发工程师,深圳市人次方信息技术有限公司,1.5-2.5万/月,深圳-光明新区,民营公司,5-7年经验,6,招若干人,五险一金 年终奖金 员工旅游 定期体检 弹性工作 绩效奖金 节假日福利 带薪年假,50-150人
20,后端开发,Java开发工程师,Java开发工程师,深圳鲲遥科技有限公司,0.6-1万/月,深圳-龙华区,民营公司,1年经验,5,招3人,,少于50人
21,后端开发,Java开发工程师,Java开发工程师,深圳市志松信息科技有限公司,1-1.6万/月,深圳-福田区,民营公司,2年经验,6,招1人,,少于50人
22,后端开发,Java开发工程师,Java开发工程师,深圳市达仁基因科技有限公司,1-2万/月,深圳-南山区,民营公司,3-4年经验,6,招2人,,少于50人
23,后端开发,Java开发工程师,Java高级开发工程师,深圳市华磊迅拓科技有限公司,1.5-2万/月,深圳-龙华区,民营公司,5-7年经验,5,招5人,五险一金 补充医疗保险 专业培训 绩效奖金 年终奖金 交通补贴 股票期权 定期体检 员工旅游 餐饮补贴,150-500人
24,后端开发,Java开发工程师,Java开发工程师,深圳市光子跃动科技有限公司,1.5-2万/月,深圳,民营公司,3-4年经验,6,招若干人,五险一金 员工旅游 餐饮补贴 交通补贴 年终奖金 弹性工作 学习基金 定期体检 免费零食 员工俱乐部,50-150人
25,后端开发,Java开发工程师,Java开发工程师,深圳市德立云物联网科技有限公司,1.2-1.5万/月,深圳-南山区,民营公司,3-4年经验,6,招1人,五险一金 餐饮补贴 弹性工作 定期体检 绩效奖金 年终奖金 股票期权 员工旅游 补充医疗保险,50-150人
26,后端开发,Java开发工程师,Java高级开发工程师,深圳市点将创新科技有限公司,1.8-2.4万/月,异地招聘,民营公司,5-7年经验,5,招若干人,,
27,后端开发,Java开发工程师,Java初级开发工程师,深圳市丘陆科技有限公司,6-8千/月,深圳-宝安区,民营公司,无需经验,5,招3人,,50-150人
28,后端开发,Java开发工程师,初级Java开发工程师,中远海运科技股份有限公司,6-9千/月,深圳-南山区,国企,2年经验,6,招1人,周末双休 带薪年假 五险一金 绩效奖金 节日福利 专业培训 交通补贴 餐饮补贴 通讯补贴 高温补贴,1000-5000人
29,后端开发,Java开发工程师,Java服务器端开发工程师,深圳大方智能科技有限公司,2.5-3万/月,异地招聘,民营公司,3-4年经验,6,招若干人,五险一金 年终奖金 绩效奖金 股票期权 员工旅游 餐饮补贴,少于50人
30,后端开发,Java开发工程师,Java开发工程师（双休+五险一金）,深圳市乐乐米信息技术有限公司,0.7-1.5万/月,深圳-南山区,民营公司,5-7年经验,5,招6人,五险一金 餐饮补贴 周末双休,50-150人
31,后端开发,Java开发工程师,Java开发开发工程师,深圳市微科创源科技有限公司,1.1-2万/月,深圳-龙岗区,民营公司,5-7年经验,5,招2人,五险一金 年终奖金 绩效奖金,少于50人
32,后端开发,Java开发工程师,Java高级开发工程师,湖南蓝海购企业策划有限公司,1.5-2.5万/月,深圳-南山区,民营公司,3-4年经验,6,招1人,五险一金 员工旅游 弹性工作 绩效奖金 周末双休,150-500人
33,后端开发,Java开发工程师,Java工程师：,深圳市常工电子计算机有限公司,0.5-1万/月,深圳-宝安区,民营公司,1年经验,6,招5人,员工旅游 五险一金 绩效奖金 年终奖金 专业培训 包住,50-150人
34,后端开发,Java开发工程师,Java开发工程师,深圳市智慧蜜蜂网络科技有限公司,0.8-1.2万/月,深圳-宝安区,民营公司,2年经验,6,招3人,,
35,后端开发,Java开发工程师,Java开发工程师,深圳市恒双展业科技有限公司,1.5-2万/月,深圳-南山区,民营公司,5-7年经验,5,招3人,,50-150人
36,后端开发,Java开发工程师,高级java开发工程师,深圳前海智绘大数据服务有限公司,0.8-1.3万/月,深圳-宝安区,民营公司,3-4年经验,5,招2人,五险一金 员工旅游 餐饮补贴 绩效奖金,
37,后端开发,Java开发工程师,JAVA开发工程师（区块链方向）,深圳市国兴信息技术咨询有限公司,1.5-2万/月,深圳-福田区,民营公司,3-4年经验,6,招1人,,50-150人
38,后端开发,Java开发工程师,Java开发工程师,金蝶软件（中国）有限公司,1-1.5万/月,深圳-南山区,外资（非欧美）,2年经验,6,招若干人,友好的同事 下午茶 节日福利,5000-10000人
39,后端开发,Java开发工程师,Java开发  丰修  彩讯大厦,武汉佰钧成技术有限责任公司,1.3-1.7万/月,深圳-南山区,民营公司,3-4年经验,5,招4人,五险一金 补充医疗保险 补充公积金 节假日福利,10000人以上
40,后端开发,Java开发工程师,Java中级开发工程师,深圳市新元素医疗技术开发有限公司,1.2-1.6万/月,深圳-南山区,民营公司,5-7年经验,6,招5人,五险一金 绩效奖金 周末双休 年终奖金 项目奖金,150-500人
41,后端开发,Java开发工程师,Java开发工程师,阿法区块链有限公司,1.5-2.5万/月,深圳-福田区,民营公司,5-7年经验,5,招5人,五险一金 员工旅游 专业培训 年终奖金 绩效奖金 股票期权 弹性工作,少于50人
42,后端开发,Java开发工程师,Java工程师,顺盈智联（深圳）科技有限公司,0.8-2万/月,深圳-罗湖区,民营公司,1年经验,6,招1人,,少于50人
43,后端开发,Java开发工程师,Java中级开发工程师,深圳楚星软件有限公司,1-1.5万/月,深圳-龙华区,民营公司,3-4年经验,5,招3人,五险一金 交通补贴 年终奖金 绩效奖金 节日福利 带薪年假 加班补贴 员工旅游 定期体检,少于50人
44,后端开发,Java开发工程师,Java开发工程师（恒大）,深圳市智慧盾科技有限公司,1.2-1.4万/月,深圳-南山区,民营公司,3-4年经验,5,招4人,五险一金 员工旅游 带薪年假 年终奖金 大型节日补贴,50-150人
45,后端开发,Java开发工程师,Java高级开发工程师,深圳市长亮科技股份有限公司,0.9-1.8万/月,异地招聘,上市公司,5-7年经验,6,招1人,五险一金 通讯补贴 定期体检 年终奖金 绩效奖金 补充医疗保险 大牛带队 专业培训,1000-5000人
