,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,数据,数据分析经理/主管,高级数据分析师 (MJ000113),开思时代科技（深圳）有限公司,1-2.5万/月,深圳-龙岗区,民营公司,3-4年经验,6,招5人,五险一金 弹性工作,1000-5000人
1,数据,数据分析经理/主管,业务数据管理师,深圳市规划国土房产信息中心（深圳市空间地理信息中心）,2-2.5万/月,深圳,事业单位,无需经验,8,招2人,五险一金 补充医疗保险 定期体检 年终奖金 专业培训 住房补贴 餐饮补贴,150-500人
2,数据,数据分析经理/主管,cognos BI 工程师,深圳市爱德数智科技股份有限公司,2.5-3万/月,深圳-南山区,民营公司,5-7年经验,5,招若干人,五险一金 弹性工作 专业技术团队 补充医疗保险 绩效奖金 定期体检 员工旅游 项目奖金,500-1000人
3,数据,数据分析经理/主管,数据分析师,深圳市荔驰管理咨询有限公司,0.6-1.5万/月,深圳-南山区,民营公司,2年经验,6,招1人,专业培训 绩效奖金 弹性工作 节日福利 带薪年假 全勤奖 五险一金,少于50人
4,数据,数据分析经理/主管,数据分析Leader,深圳弘广商科技有限公司,2.5-4.5万/月,异地招聘,民营公司,无需经验,6,招若干人,五险一金 补充公积金 年终奖金,150-500人
5,数据,数据分析经理/主管,Data Analytics Manager,乾臣集团,2-2.5万/月,异地招聘,民营公司,3-4年经验,6,招2人,五险一金 员工旅游 餐饮补贴 交通补贴 专业培训 年终奖金 定期体检,50-150人
6,数据,数据分析经理/主管,高级数据分析师,深圳巴伦如梭网络有限公司,2-2.5万/月,深圳-南山区,民营公司,5-7年经验,6,招若干人,绩效奖金 年度调薪 晋升机会,150-500人
7,数据,数据分析经理/主管,数据专员,深圳市中为世纪科技有限公司,0.8-1万/月,深圳,民营公司,1年经验,,招若干人,弹性工作 包住宿 专业培训 五险一金 绩效奖金,50-150人
8,数据,数据分析经理/主管,（高级）数据分析师,企知道网络技术有限公司,40-50万/年,深圳,民营公司,2年经验,6,招2人,年终奖金 绩效奖金 五险一金 环境高大上,150-500人
9,数据,数据分析经理/主管,数据分析师,深圳云麦科技有限公司,1.5-2万/月,深圳-南山区,民营公司,3-4年经验,6,招1人,五险一金 年终奖金 下午茶 带薪年假,150-500人
10,数据,数据分析经理/主管,数据分析师,深圳市华云中盛科技股份有限公司,1.4-2万/月,深圳-南山区,民营公司,3-4年经验,6,招1人,五险一金 员工旅游 交通补贴 通讯补贴 绩效奖金 年终奖金 定期体检 领导好 团队氛围好 环境好,500-1000人
11,数据,数据分析经理/主管,数据分析经理（数据产品经理）,匡衡软件（北京）有限公司,1.5-2.5万/月,深圳-南山区,民营公司,3-4年经验,6,招1人,五险一金 通讯补贴 年终奖金 定期体检 员工旅游 绩效奖金,少于50人
12,数据,数据分析经理/主管,BI数据分析（高级）,深圳市华讯科互联网有限公司,2-4万/月,深圳-南山区,民营公司,5-7年经验,5,招若干人,5天8小时 周末双休 五险一金 出国机会 餐饮补贴 年终奖金 绩效奖金 股票期权 员工旅游 定期体检,150-500人
13,数据,数据分析经理/主管,大数据研发经理,深圳汉辰幸福科技有限公司,2.5-3.5万/月,深圳-南山区,民营公司,5-7年经验,6,招1人,,50-150人
14,数据,数据分析经理/主管,研发经理(指标平台),深圳市赢和信息技术有限公司,1.5-2.5万/月,深圳-福田区,民营公司,3-4年经验,6,招1人,,50-150人
15,数据,数据分析经理/主管,大数据经理,深圳市拓安信计控仪表有限公司,4-5万/月,深圳-南山区,民营公司,10年以上经验,6,招1人,带薪年假 五险一金 丰厚年终奖 项目奖金 弹性工作 员工旅游,500-1000人
16,数据,数据分析经理/主管,CCRC/ITSS//CS培训师/系统集成项目管理师,深圳市领盛信息技术有限公司,20-30万/年,深圳-龙岗区,民营公司,3-4年经验,6,招若干人,五险一金 绩效奖金 年终奖金 员工旅游 专业培训,少于50人
17,数据,数据分析经理/主管,产品经理（长驻外企）,深圳市卓越方达科技有限公司,2.5-3万/月,深圳-福田区,民营公司,3-4年经验,6,招1人,五险一金 补充医疗保险 补充公积金 专业培训 弹性工作 年终奖金 绩效奖金,50-150人
18,数据,数据分析经理/主管,策略分析师,阿法区块链有限公司,1.5-2千/月,深圳-福田区,民营公司,3-4年经验,5,招1人,五险一金 员工旅游 专业培训 年终奖金 绩效奖金 股票期权 弹性工作,少于50人
19,数据,数据分析经理/主管,实施工程师,武汉远创智达科技有限公司,2-3万/月,异地招聘,民营公司,2年经验,5,招5人,五险一金 餐饮补贴 交通补贴 专业培训 绩效奖金 定期体检 弹性工作,50-150人
20,数据,数据分析经理/主管,数据专业,深圳联合金控风险资产管理有限公司,2-3千/月,深圳-南山区,民营公司,在校生/应届生,6,招1人,,少于50人
21,数据,数据分析经理/主管,高级数据平台架构师,深圳绿米联创科技有限公司,5.5-6.5万/月,深圳-南山区,民营公司,5-7年经验,6,招1人,,1000-5000人
22,数据,数据分析经理/主管,高级数据分析经理 (MJ000452),开思时代科技（深圳）有限公司,2-4万/月,深圳-龙岗区,民营公司,3-4年经验,6,招1人,弹性工作 带薪年假 五险一金 节日福利 专业培训 绩效奖金 年终奖金 定期体检 股票期权 交通补贴,1000-5000人
23,数据,数据分析经理/主管,数据算法挖掘工程师,深圳弘广商科技有限公司,4-5万/月,深圳-南山区,民营公司,2年经验,6,招3人,五险一金 绩效奖金 年终奖金 弹性工作,150-500人
24,数据,数据分析经理/主管,经营分析专家,深圳弘广商科技有限公司,4-8万/月,深圳,民营公司,无需经验,6,招若干人,五险一金 补充公积金 年终奖金 绩效奖金 弹性工作 股票期权 员工旅游 补充医疗保险 定期体检 交通补贴,150-500人
25,数据,数据分析经理/主管,数据库产品经理-金融客户端方向,匡衡软件（北京）有限公司,1.5-2.5万/月,深圳-南山区,民营公司,2年经验,6,招1人,五险一金 通讯补贴 年终奖金 定期体检 员工旅游 绩效奖金,少于50人
26,数据,数据分析经理/主管,软件销售经理（金融软件）,匡衡软件（北京）有限公司,1.5-2.5万/月,深圳-南山区,民营公司,3-4年经验,6,招1人,五险一金 通讯补贴 年终奖金 定期体检 员工旅游 绩效奖金,少于50人
27,数据,数据分析师,数据分析专员,腾讯RDM,1.2-2万/月,深圳-南山区,上市公司,3-4年经验,6,招若干人,免费班车 弹性工作 节日福利 免费早餐 带薪年假 五险一金 绩效奖金 专业培训 商业保险 住房补贴,1000-5000人
28,数据,数据分析师,数据开发工程师,上海砾阳软件有限公司,1-1.8万/月,深圳-福田区,民营公司,2年经验,6,招20人,做五休二 周末双休 带薪年假 五险一金 绩效奖金 节日福利 专业培训 餐饮补贴 加班补贴,150-500人
29,数据,数据分析师,数据分析师,深圳市德科信息技术有限公司,1.7-2.2万/月,深圳-龙华区,合资,2年经验,6,招2人,定期体检 六险一金 大小周 打车报销 定期团建 年终奖 节日礼品 下午茶 水果零食,1000-5000人
30,数据,数据分析师,数据采编分析员+包住,深圳市名扬盛世文化传播有限公司,6-8千/月,深圳-宝安区,民营公司,无需经验,5,招3人,五险一金 员工旅游 绩效奖金 年终奖金 补充公积金 补充医疗保险 交通补贴 定期体检,50-150人
31,数据,数据分析师,数据分析,深圳明辉智能技术有限公司,6-9千/月,深圳-南山区,民营公司,1年经验,5,招若干人,周末双休 节日福利 绩效奖金 年度旅游 生日礼品 五险一金 员工旅游 交通补贴 通讯补贴 年终奖金,150-500人
32,数据,数据分析师,中级数据分析师,深圳华策辉弘科技有限公司,1.3-1.6万/月,深圳-罗湖区,外资（非欧美）,3-4年经验,6,招2人,五险一金 年终奖金 周末双休 精美下午茶 弹性工作,50-150人
33,数据,数据分析师,数据分析师,深圳索信达数据技术有限公司,0.8-1万/月,深圳-南山区,外资（非欧美）,2年经验,5,招1人,五险一金 年终奖金 定期体检 周末双休 做五休二 全勤奖 节日福利,500-1000人
34,数据,数据分析师,C端app数据分析师,江苏润和软件股份有限公司,1.5-3万/月,深圳-福田区,民营公司,3-4年经验,6,招2人,五险一金 餐饮补贴 定期体检 节日福利 年假 加班补贴,5000-10000人
35,数据,数据分析师,数据分析师,深圳市缔盟软件有限公司,1.5-2万/月,深圳-南山区,民营公司,2年经验,6,招3人,五险一金 员工旅游 年终奖金 定期体检 周末双休 朝九晚六 通讯补贴,少于50人
36,数据,数据分析师,数据分析师,深圳市悦己联合信息科技有限公司,1-1.5万/月,深圳-南山区,民营公司,2年经验,6,招2人,五险一金 补充医疗保险 补充公积金 员工旅游 餐饮补贴 通讯补贴 交通补贴 绩效奖金 年终奖金 定期体检,
37,数据,数据分析师,日志分析工程师,深圳市网安信科技有限公司,1-2万/月,深圳-南山区,民营公司,3-4年经验,6,招若干人,,少于50人
38,数据,数据分析师,CF游戏技术助理,陕西大佑文化科技有限公司,5.5-8.8千/月,深圳-福田区,民营公司,无需经验,5,招2人,五险一金 补充医疗保险 补充公积金 员工旅游 通讯补贴 餐饮补贴 交通补贴 绩效奖金 年终奖金 弹性工作,150-500人
39,数据,数据分析师,数据分析\交易员（10-15K),深圳汇利银软件科技有限公司,1-1.5万/月,深圳-福田区,民营公司,1年经验,5,招10人,专业培训 年终奖金 绩效奖金 弹性工作,50-150人
40,数据,数据分析师,急聘BI大数据分析助理专员（包住+双休,深圳市波海嘉科技有限公司,4.5-6千/月,深圳-福田区,民营公司,无需经验,5,招3人,五险一金 员工旅游 通讯补贴 绩效奖金 交通补贴,50-150人
41,数据,数据分析师,1141F4-数据分析专家,平安科技（深圳）有限公司,2.5-3万/月,深圳-南山区,民营公司,3-4年经验,6,招1人,五险一金 年底双薪 补充医疗保险 定期体检 员工旅游 带薪年假,1000-5000人
42,数据,数据分析师,数据分析师,T3出行,1.2-2.4万/月,深圳,民营公司,3-4年经验,6,招1人,五险一金 餐饮补贴 年终奖金 股票期权 专业培训 交通补贴,150-500人
43,数据,数据分析师,数据分析师,中软国际科技服务有限公司,0.6-1.5万/月,深圳-南山区,合资,1年经验,5,招3人,五险一金 员工旅游 定期体检 年终奖金 免费班车,10000人以上
44,数据,数据分析师,Data Analyst,印孚瑟斯技术（中国）有限公司,1-2.5万/月,深圳-龙岗区,外资（非欧美）,3-4年经验,5,招3人,五险一金 补充医疗保险 年终奖金,1000-5000人
45,数据,数据分析师,高级数据分析师,南方电网深圳数字电网研究院有限公司,2-3万/月,深圳-南山区,国企,3-4年经验,6,招1人,五险一金 员工旅游 通讯补贴 定期体检 绩效奖金 年终奖金 专业培训 补充医疗保险 福利超好 团队专业,1000-5000人
46,数据,数据分析师,数据分析运营,深圳蔚来汽车销售服务有限公司,1-1.5万/月,深圳-南山区,上市公司,3-4年经验,6,招若干人,通讯补贴 扁平化管理 股票期权 年终奖金 定期体检 团队氛围好 补充医疗保险 六险一金,5000-10000人
47,数据,数据分析师,数据分析师,武汉佰钧成技术有限责任公司,1-1.5万/月,深圳-福田区,民营公司,2年经验,6,招1人,,10000人以上
48,数据,数据分析师,数据挖掘工程师,大连亿达信息技术有限公司深圳分公司,1-2万/月,深圳-南山区,民营公司,3-4年经验,6,招1人,五险一金 补充商业保险 公积金 年终奖金 员工旅游 定期体检,500-1000人
49,数据,数据分析师,数据分析实习生,开思时代科技（深圳）有限公司,150元/天,深圳-龙岗区,民营公司,无需经验,6,招1人,弹性工作 带薪年假 五险一金 节日福利,1000-5000人
50,数据,数据分析师,数据分析,深圳市同和信息技术有限公司,1.3-1.6万/月,深圳-南山区,民营公司,3-4年经验,6,招4人,带薪年假 五险一金 节日福利 加班费,500-1000人
51,数据,数据分析师,8K大数据分析助理,深圳市华晨鑫科信息咨询有限公司,6-8千/月,深圳-宝安区,民营公司,无需经验,5,招3人,,50-150人
52,数据,数据分析师,数据分析+本科转行,深圳市展兴信息科技有限公司,6-8千/月,深圳-宝安区,民营公司,无需经验,6,招2人,,
53,数据,数据分析师,BI大数据分析员（实习生）,深圳创尚云科信息咨询有限公司,6-8千/月,深圳-宝安区,民营公司,1年经验,5,招2人,补充公积金 五险一金 专业培训 绩效奖金 年终奖金 员工旅游,
54,数据,数据分析师,资深数据分析专员,上海微创软件股份有限公司,1-1.8万/月,深圳,合资,3-4年经验,5,招1人,五险一金 补充医疗保险 免费班车 弹性工作 定期体检 绩效奖金 年终奖金 专业培训 员工旅游 节日福利,5000-10000人
55,数据,数据分析师,数据分析师,云鲸智能（深圳）有限公司,1-1.5万/月,深圳-南山区,民营公司,1年经验,6,招若干人,,500-1000人
56,数据,数据分析师,数据分析师,杭州悦达软件技术有限公司,6-8千/月,深圳-宝安区,民营公司,无需经验,2,招4人,五险一金 补充公积金 员工旅游 交通补贴 餐饮补贴 弹性工作 绩效奖金 周末双休 带薪年假 年终奖金,少于50人
57,数据,数据分析师,数据管理师,深圳市规划国土房产信息中心（深圳市空间地理信息中心）,0.8-1万/月,深圳,事业单位,无需经验,6,招2人,五险一金 补充医疗保险 定期体检 年终奖金 专业培训 餐饮补贴 住房补贴,150-500人
58,数据,数据分析师,数据报表分析,深圳市美夕科技有限公司,6-8千/月,深圳-龙华区,民营公司,无需经验,5,招若干人,,
59,数据,数据分析师,数据分析师-影像,购乐贸易（深圳）有限公司,0.8-1万/月,深圳-龙华区,民营公司,1年经验,6,招3人,五险一金 补充公积金 交通补贴 餐饮补贴 员工旅游 绩效奖金 年终奖金 定期体检,150-500人
60,数据,数据分析师,数据分析师助理/双休,国大智科（深圳）信息技术有限公司,1-1.5万/月,深圳-宝安区,民营公司,无需经验,6,招2人,,
61,数据,数据分析师,数据分析实习生,深圳市迪尔本气动科技有限公司,5-7千/月,深圳-南山区,民营公司,无需经验,5,招3人,五险一金 通讯补贴 绩效奖金 年终奖金 定期体检 补充公积金,
62,数据,数据分析师,数据处理专员/提供住宿,深圳市科启明慧实业发展有限公司,4.5-6千/月,深圳-南山区,民营公司,无需经验,5,招2人,五险一金 免费班车 定期体检 年终奖金 绩效奖金 交通补贴,少于50人
63,数据,数据分析师,数据治理工程师(工作地:台山市),深圳紫牛信息技术有限公司,1-1.5万/月,深圳-南山区,民营公司,3-4年经验,6,招3人,五险一金 绩效奖金 定期体检 年终奖金 周末双休 长期稳定 交通补贴 员工旅游 专业培训,50-150人
64,数据,数据分析师,数据分析师（偏建模）,深圳市方特斯网络科技有限公司,1-1.5万/月,深圳,民营公司,2年经验,6,招1人,,50-150人
65,数据,数据分析师,6K通信技术/网络设备专员,深圳市上鼎创新实业有限公司,5.2-8千/月,深圳-南山区,民营公司,无需经验,5,招3人,五险一金 免费班车 员工旅游 出国机会 专业培训 绩效奖金 年终奖金 股票期权 周末双休 包住,50-150人
66,数据,数据分析师,商业数据分析师,深圳市一晤未来科技有限公司,2-2.5万/月,深圳-南山区,合资,3-4年经验,6,招1人,,50-150人
67,数据,数据分析师,银行数据分析支持助理(SQL/SAS),深圳中南人力资源有限公司,0.8-1万/月,深圳-福田区,民营公司,1年经验,6,招2人,带薪年假 年终奖 五险一金 过节费 提供食堂 餐饮补贴 住房补贴,500-1000人
68,数据,数据分析师,数据分析师,深圳赞橙网络科技有限公司,6-8千/月,深圳-福田区,民营公司,无需经验,5,招5人,做五休二 周末双休 带薪年假 五险一金 全勤奖 绩效奖金,50-150人
