,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,前端开发,Web前端开发,前端开发工程师,武汉佰钧成技术有限责任公司,1-1.5万/月,深圳-南山区,民营公司,1年经验,5,招1人,五险一金 补充医疗保险 定期体检 专业培训,10000人以上
1,前端开发,Web前端开发,WEBGL开发工程师,深圳市晨阳创展科技有限公司,2.5-3万/月,深圳,民营公司,5-7年经验,6,招2人,五险一金 年终奖金 补充医疗保险,50-150人
2,前端开发,Web前端开发,（15-25K）中高级前端开发,深圳市汇德信息技术服务科技有限公司,1.5-2.5万/月,深圳-南山区,民营公司,5-7年经验,5,招1人,五险一金 餐饮补贴 绩效奖金 年终奖金 13薪 朝九晚六 周末双休,
3,前端开发,Web前端开发,前端开发工程师,上海砾阳软件有限公司,0.8-1.5万/月,深圳-福田区,民营公司,1年经验,6,招10人,做五休二 周末双休 带薪年假 五险一金 绩效奖金 节日福利 专业培训 餐饮补贴 加班补贴,150-500人
4,前端开发,Web前端开发,Web前端开发工程师,北京石基大商信息技术有限公司,1-1.5万/月,深圳-罗湖区,上市公司,2年经验,5,招1人,五险一金 补充医疗保险 餐饮补贴 通讯补贴 绩效奖金 员工旅游 定期体检 带薪年假 节假日福利 笔记本报销,500-1000人
5,前端开发,Web前端开发,前端开发工程师,深圳前海数字贸易科技服务有限公司,1.5-2.5万/月,深圳,民营公司,5-7年经验,6,招若干人,五险一金 餐饮补贴 专业培训 绩效奖金 年终奖金 股票期权 定期体检,少于50人
6,前端开发,Web前端开发,Web开发工程师,成都博彦软件技术有限公司深圳分公司,1.6-2万/月,深圳-南山区,民营公司,3-4年经验,6,招5人,五险一金 弹性工作 节假日礼品,10000人以上
7,前端开发,Web前端开发,前端开发,深圳市睿服科技有限公司,1.3-1.7万/月,深圳-南山区,民营公司,3-4年经验,5,招3人,,500-1000人
8,前端开发,Web前端开发,Web前端开发工程师,深圳维创乐科技有限公司,1.2-1.8万/月,深圳-南山区,民营公司,3-4年经验,5,招1人,五险一金 员工旅游 年终奖金 弹性工作 专业培训 生日会 全勤奖 下午茶,50-150人
9,前端开发,Web前端开发,前端开发工程师,千巡科技（深圳）有限公司,0.7-1.2万/月,深圳-宝安区,民营公司,3-4年经验,6,招1人,五险一金 员工旅游 股票期权 弹性工作 年终奖金,少于50人
