,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,游戏,游戏开发工程师,U3D游戏开发工程师,深圳光晨互动科技有限公司,10-25万/年,深圳-南山区,创业公司,2年经验,5,招10人,五险一金 定期体检 周末双休,少于50人
1,游戏,游戏开发工程师,Unity3d游戏开发工程师,丰瑞（深圳）文化发展有限公司,2.5-3万/月,深圳-宝安区,民营公司,3-4年经验,5,招1人,,50-150人
2,游戏,游戏开发工程师,PHP开发工程师,深圳市金龄科技有限公司,1.2-2万/月,深圳-南山区,创业公司,5-7年经验,5,招若干人,五险一金 员工旅游 年终奖金 餐饮补贴 交通补贴 弹性工作 绩效奖金 一档医疗 晋升空间 丰厚奖金,50-150人
3,游戏,游戏开发工程师,游戏开发工程师,深圳市睿德网络科技有限公司,1-1.5万/月,深圳-南山区,民营公司,1年经验,6,招2人,五险一金 员工旅游 年终奖金 绩效奖金 年度旅游 发展空间大 下午茶 公司团建 灵活调薪 节日福利,少于50人
4,游戏,游戏开发工程师,游戏策划师,深圳爱卓软科技有限公司,0.6-1万/月,深圳-宝安区,民营公司,1年经验,6,招2人,五险一金 弹性工作 年终奖金 绩效奖金 员工旅游,少于50人
5,游戏,游戏开发工程师,HTML5开发工程师,陕西大佑文化科技有限公司,0.8-1万/月,深圳-南山区,民营公司,无需经验,5,招若干人,五险一金 补充医疗保险 补充公积金 员工旅游 通讯补贴 餐饮补贴 交通补贴 绩效奖金 年终奖金 弹性工作,150-500人
6,游戏,游戏开发工程师,U3D开发工程师,同立方科技有限公司,1.3-2万/月,深圳-龙岗区,民营公司,3-4年经验,6,招若干人,五险一金 补充医疗保险 补充公积金 员工旅游 绩效奖金 年终奖金 定期体检 弹性工作 股票期权,50-150人
7,游戏,游戏开发工程师,PHP开发工程师,武汉牧望群网络科技有限公司,1.2-3万/月,异地招聘,合资,2年经验,5,招5人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
8,游戏,游戏开发工程师,Unity开发工程师（U3D）,深圳飓风互动科技有限公司,1.5-2万/月,深圳-南山区,民营公司,2年经验,6,招3人,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 弹性工作,少于50人
9,游戏,游戏开发工程师,游戏服务端开发,深圳弘广商科技有限公司,2.5-3万/月,深圳-福田区,民营公司,2年经验,6,招1人,,150-500人
10,游戏,游戏开发工程师,Unity3D开发工程师,深圳市中诺思科技股份有限公司,0.7-1万/月,深圳-南山区,上市公司,2年经验,6,招2人,五险一金 员工旅游 绩效奖金 专业培训 通讯补贴,150-500人
11,游戏,游戏开发工程师,游戏开发助理,深圳市佳创业科技有限公司,6-8千/月,深圳-龙华区,民营公司,1年经验,5,招若干人,,150-500人
12,游戏,游戏开发工程师,设计转测试,西安群书教育科技有限公司,0.8-1万/月,深圳-南山区,民营公司,无需经验,5,招若干人,五险一金 补充医疗保险 补充公积金 免费班车 员工旅游 出国机会 餐饮补贴 交通补贴 绩效奖金 弹性工作,50-150人
13,游戏,游戏开发工程师,Unity3d开发工程师,深圳积木易搭科技技术有限公司,1.2-2万/月,深圳-南山区,民营公司,5-7年经验,6,招1人,五险一金 餐饮补贴 员工旅游 交通补贴 专业培训 绩效奖金 弹性工作 年终奖金 股票期权,150-500人
14,游戏,游戏开发工程师,高级UE4开发,上海六感科技有限公司,2-4万/月,深圳-龙岗区,民营公司,5-7年经验,6,招2人,五险一金 做五休二 带薪年假 节日福利,150-500人
15,游戏,游戏开发工程师,unity游戏开发工程师,深圳乐畅信息技术有限公司,1-2万/月,深圳-福田区,民营公司,1年经验,6,招2人,五险一金 员工旅游 绩效奖金 年终奖金,少于50人
16,游戏,游戏开发工程师,游戏主程,深圳市龙火科技有限公司,2-3万/月,深圳,民营公司,5-7年经验,5,招1人,周末双休 弹性工作 五险一金 专业培训 节日福利 绩效奖金 带薪年假 做五休二 不加班 频繁涨薪,50-150人
17,游戏,游戏开发工程师,游戏lua开发工程师,宁波迷之游戏有限公司,2.5-4万/月,异地招聘,民营公司,3-4年经验,5,招2人,弹性工作 生日福利 节日福利 定期体检 自由休假 六险一金 周末双休 项目分红 每年旅游 无上限调薪,少于50人
18,游戏,游戏开发工程师,前端开发工程师,现代多媒体（深圳）有限公司,0.6-1.2万/月,深圳,外资（非欧美）,2年经验,6,招1人,五险一金 员工旅游 年终奖金 绩效奖金 专业培训,150-500人
19,游戏,游戏开发工程师,游戏开发工程师,深圳鲤游科技有限公司,1-1.5万/月,深圳-南山区,民营公司,1年经验,6,招1人,五险一金 专业培训 绩效奖金 年终奖金 弹性工作 员工旅游,少于50人
20,游戏,游戏开发工程师,C++游戏服务器开发工程师,深圳艾文哲思科技有限公司,1.5-3万/月,深圳-南山区,民营公司,3-4年经验,5,招1人,,少于50人
21,游戏,游戏开发工程师,golang开发工程师,深圳市火元素网络技术有限公司,1.5-2万/月,深圳,民营公司,1年经验,6,招2人,,150-500人
22,游戏,游戏开发工程师,U3D开发工程师,珠海文景科技有限公司,1-2万/月,异地招聘,民营公司,3-4年经验,5,招3人,五险一金 补充医疗保险 交通补贴 餐饮补贴 绩效奖金 年终奖金 定期体检 大小周 全勤奖300 中午包吃,50-150人
23,游戏,游戏开发工程师,Cry Engine开发工程师,深圳臻像科技有限公司,2.5-3万/月,深圳-南山区,民营公司,2年经验,6,招1人,五险一金 全勤奖 周末双休 节日福利,少于50人
24,游戏,游戏开发工程师,Unity3d游戏开发工程师,深圳市众联互动科技有限公司,0.8-1.5万/月,深圳-南山区,民营公司,2年经验,6,招若干人,,少于50人
25,游戏,游戏开发工程师,H5游戏开发/小游戏开发工程师,深圳市迅易达互联网有限公司,1.5-2.5万/月,深圳-南山区,民营公司,2年经验,5,招2人,五险一金 年终奖金 周末双休 975，加班少,少于50人
26,游戏,游戏开发工程师,软件工程,深圳智力一百教育科技有限公司,0.8-1.2万/月,深圳-宝安区,民营公司,2年经验,5,招1人,,少于50人
27,游戏,游戏开发工程师,unity初级开发工程师,深圳市博乐信息技术有限公司,0.8-1.5万/月,深圳-福田区,民营公司,2年经验,6,招1人,五险一金 补充医疗保险 员工旅游 专业培训 绩效奖金 股票期权 定期体检 弹性工作 年终奖金,少于50人
28,游戏,游戏开发工程师,Unity3D开发工程师,深圳市南天门网络信息有限公司,1-1.5万/月,深圳-宝安区,民营公司,3-4年经验,5,招2人,五险一金 员工旅游 年终奖金 弹性工作 周末双休,少于50人
29,游戏,游戏开发工程师,休闲游戏开发工程师,天津羽仁科技有限公司,0.8-1.2万/月,深圳-宝安区,民营公司,1年经验,5,招1人,五险一金 员工旅游 定期体检 年终奖金 零食下午茶 年度礼品 全勤奖,50-150人
30,游戏,游戏开发工程师,游戏测试工程师助理/包住,深圳波特空间设计工程有限公司,6.5-9.8千/月,深圳-宝安区,民营公司,无需经验,5,招3人,定期体检 员工旅游 五险一金 周末双休 户外拓展 每周下午茶 项目提成,50-150人
31,游戏,游戏开发工程师,开发转游戏测试（双休）,北京市圣瑞物业服务有限公司西安市第三分公司,6-8千/月,深圳-罗湖区,民营公司,无需经验,5,招5人,五险一金 餐饮补贴 绩效奖金 定期体检 节日福利 生日福利 高温补贴,50-150人
32,游戏,游戏开发工程师,游戏软件测试实习生/提供宿舍,深圳市菲特思科技有限公司,0.8-1万/月,深圳-龙华区,民营公司,无需经验,5,招5人,五险一金 员工旅游 餐饮补贴 交通补贴 通讯补贴 年终奖金 绩效奖金 专业培训 弹性工作,
33,游戏,游戏开发工程师,游戏设计开发助理,深圳赞橙网络科技有限公司,5-8千/月,深圳-南山区,民营公司,在校生/应届生,5,招5人,做五休二 周末双休 带薪年假 五险一金 全勤奖 绩效奖金,50-150人
34,游戏,游戏开发工程师,游戏服务器开发,天亿电子商务（深圳）有限公司,6-8千/月,深圳-龙华区,民营公司,在校生/应届生,5,招2人,五险一金 绩效奖金 专业培训 年终奖金 员工旅游,
35,游戏,游戏开发工程师,C++游戏服务器开发,深圳光晨互动科技有限公司,1-3万/月,深圳-南山区,创业公司,3-4年经验,5,招2人,五险一金 定期体检 周末双休,少于50人
36,游戏,游戏开发工程师,Cocos Creator开发工程师,深圳爱卓软科技有限公司,0.9-1.5万/月,深圳-宝安区,民营公司,2年经验,6,招2人,五险一金 弹性工作 年终奖金 绩效奖金 员工旅游 年底双薪 餐饮补贴,少于50人
37,游戏,游戏开发工程师,H5游戏开发,武汉牧望群网络科技有限公司,1.2-2万/月,异地招聘,合资,1年经验,5,招2人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
38,游戏,游戏开发工程师,游戏后台开发工程师,深圳飓风互动科技有限公司,1.3-1.8万/月,深圳-南山区,民营公司,1年经验,6,招若干人,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 弹性工作,少于50人
39,游戏,游戏开发工程师,游戏开发助理,深圳市佳创业科技有限公司,6-8千/月,深圳-龙华区,民营公司,1年经验,5,招若干人,,150-500人
40,游戏,游戏开发工程师,HTML5开发助理/年薪14,陕西大佑文化科技有限公司,0.8-1万/月,深圳-龙岗区,民营公司,无需经验,5,招若干人,五险一金 补充医疗保险 补充公积金 员工旅游 通讯补贴 餐饮补贴 交通补贴 绩效奖金 年终奖金 弹性工作,150-500人
41,游戏,游戏开发工程师,HTML_web前端研发工程师,现代多媒体（深圳）有限公司,0.7-1.4万/月,深圳-罗湖区,外资（非欧美）,1年经验,6,招若干人,五险一金 员工旅游 年终奖金 绩效奖金 专业培训,150-500人
42,游戏,游戏开发工程师,游戏U3D客户端（高级）,武汉牧望群网络科技有限公司,1.5-3.5万/月,异地招聘,合资,3-4年经验,5,招3人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
43,游戏,游戏开发工程师,Unity3d客户端开发工程师,深圳市火元素网络技术有限公司,1-2万/月,深圳,民营公司,3-4年经验,5,招2人,五险一金 员工旅游 定期体检 各类奖金,150-500人
44,游戏,游戏开发工程师,C++服务器端开发工程师,深圳市火元素网络技术有限公司,1.5-2.5万/月,深圳,民营公司,5-7年经验,5,招2人,,150-500人
45,游戏,游戏开发工程师,Unity3d高级开发工程师,深圳市众联互动科技有限公司,1.5-2.5万/月,深圳-南山区,民营公司,3-4年经验,6,招1人,,少于50人
46,游戏,游戏开发工程师,Unity3d开发工程师,深圳市博乐信息技术有限公司,1-1.5万/月,深圳-福田区,民营公司,3-4年经验,6,招2人,五险一金 补充医疗保险 员工旅游 专业培训 绩效奖金 股票期权 定期体检 弹性工作 年终奖金,少于50人
47,游戏,游戏开发工程师,H5前端开发工程师,珠海文景科技有限公司,2-2.5万/月,异地招聘,民营公司,3-4年经验,5,招2人,五险一金 交通补贴 餐饮补贴 绩效奖金 年终奖金 定期体检 中午包餐 异地住宿福利 全勤奖,50-150人
48,游戏,游戏开发工程师,软件测试实习生,西安群书教育科技有限公司,6-8千/月,深圳-福田区,民营公司,无需经验,5,招若干人,五险一金 补充医疗保险 补充公积金 免费班车 员工旅游 出国机会 餐饮补贴 交通补贴 绩效奖金 弹性工作,50-150人
49,游戏,游戏开发工程师,Java游戏服务器,武汉牧望群网络科技有限公司,2-3万/月,异地招聘,合资,2年经验,5,招2人,五险一金 补充公积金 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 交通补贴,50-150人
50,游戏,游戏开发工程师,外贸业务员转游戏测试   有人带,西安群书教育科技有限公司,6-8千/月,深圳-龙华区,民营公司,无需经验,3,招若干人,五险一金 补充医疗保险 补充公积金 免费班车 员工旅游 出国机会 餐饮补贴 交通补贴 绩效奖金 弹性工作,50-150人
51,游戏,游戏开发工程师,游戏开发工程师,天亿电子商务（深圳）有限公司,6-8千/月,深圳-龙华区,民营公司,在校生/应届生,5,招3人,五险一金 绩效奖金 专业培训 年终奖金 员工旅游,
52,游戏,游戏开发工程师,游戏开发助理,天亿电子商务（深圳）有限公司,4.5-6千/月,深圳-龙华区,民营公司,在校生/应届生,5,招3人,五险一金 绩效奖金 专业培训 年终奖金 员工旅游,
53,游戏,Cocos2d-x开发工程师,Cocos Creator开发工程师,深圳聿旌科技有限公司,1.2-1.8万/月,深圳-宝安区,民营公司,3-4年经验,6,招若干人,周末双休 带薪年假 五险一金 全勤奖 节日福利 加班补贴 餐饮补贴 年终奖金,50-150人
54,游戏,Cocos2d-x开发工程师,中高级工程师 cocos creator,成都麦华崃科技有限公司,1.5-2万/月,深圳-南山区,民营公司,3-4年经验,5,招1人,,少于50人
55,游戏,Cocos2d-x开发工程师,Cocos开发工程师,深圳弘广商科技有限公司,2-4万/月,深圳,民营公司,2年经验,5,招2人,补充公积金 员工旅游 年终奖金 绩效奖金 出国机会 交通补贴 餐饮补贴 弹性工作 双休,150-500人
56,游戏,Cocos2d-x开发工程师,游戏研发工程师,深圳市驱动人生科技股份有限公司,0.9-1.5万/月,深圳-南山区,民营公司,1年经验,6,招1人,五险一金 员工旅游 绩效奖金 年终奖金 股票期权 定期体检,50-150人
57,游戏,Cocos2d-x开发工程师,Cocos Creator高级游戏开发工程师,深圳市火星人互动娱乐有限公司,0.8-1.5万/月,深圳-宝安区,民营公司,1年经验,6,招2人,五险一金 年终奖金 员工旅游 每日零食 年底双薪 出国机会 专业培训 绩效奖金 餐饮补贴 交通补贴,少于50人
58,游戏,Cocos2d-x开发工程师,Cocos Creator开发工程师,深圳焱游科技有限公司,1-1.5万/月,深圳-宝安区,创业公司,2年经验,5,招若干人,弹性工作 带薪年假 五险一金 绩效奖金 全勤奖 节日福利 加班补贴 交通补贴 餐饮补贴,少于50人
59,游戏,Cocos2d-x开发工程师,CocosCreator开发工程师,深圳蚁巢网络科技有限公司,1.3-2万/月,深圳-南山区,创业公司,2年经验,5,招1人,上班不打卡 周末双休 带薪年假 五险一金 节日福利 弹性工作,少于50人
60,游戏,Cocos2d-x开发工程师,客户端（cocos）开发工程师,深圳爱玩网络科技股份有限公司,6-8千/月,深圳-南山区,上市公司,在校生/应届生,6,招2人,,150-500人
61,游戏,Unity3d开发工程师,U3D开发工程师,深云科（深圳）数字科技有限公司,1-1.5万/月,深圳-福田区,民营公司,2年经验,5,招1人,,少于50人
62,游戏,Unity3d开发工程师,Unity3D客户端主程序,深圳鲤游科技有限公司,2.5-3万/月,深圳-南山区,民营公司,2年经验,6,招若干人,五险一金 专业培训 绩效奖金 年终奖金 弹性工作 员工旅游,少于50人
63,游戏,Unity3d开发工程师,Unity编辑器开发工程师,深圳一清创新科技有限公司,2-4万/月,深圳-南山区,民营公司,2年经验,6,招若干人,周末双休 弹性工作 带薪年假 五险一金 绩效奖金 节日福利,50-150人
64,游戏,Unity3d开发工程师,Unity3d开发工程师,武汉佰钧成技术有限责任公司,1.5-3万/月,深圳-福田区,民营公司,1年经验,6,招1人,五险一金 补充医疗保险 专业培训 定期体检 节假日福利 弹性工作 周末双休 带薪年假 免费班车 季度奖金,10000人以上
65,游戏,Unity3d开发工程师,中高级Unity3D开发工程师,深圳趣途科技有限责任公司,1.5-2万/月,深圳-南山区,民营公司,3-4年经验,6,招2人,做五休二 周末双休 带薪年假 弹性工作 五险一金 绩效奖金 节日福利 专业培训,50-150人
66,游戏,Unity3d开发工程师,Unity3d开发工程师,深圳市大象虚拟现实科技有限公司,1-1.5万/月,深圳-南山区,民营公司,1年经验,5,招2人,五险一金 全勤奖 绩效奖金 节日福利,少于50人
67,游戏,Unity3d开发工程师,游戏3D动画角色,中软国际科技服务有限公司,1-1.2万/月,深圳-南山区,合资,2年经验,5,招1人,,10000人以上
68,游戏,Unity3d开发工程师,Unity 3D游戏开发工程师(U3D手游）,深圳乐言科技有限公司,1-1.5万/月,深圳-南山区,民营公司,1年经验,6,招若干人,五险一金 绩效奖金 年终奖金 餐饮补贴,少于50人
69,游戏,Unity3d开发工程师,u3d程序开发工程师,北京华锐视点数字科技有限公司,7-9千/月,深圳-南山区,民营公司,1年经验,5,招3人,绩效奖金,50-150人
70,游戏,Unity3d开发工程师,Unity 3D开发工程师（深圳、长沙、昆明）,深圳市瑞立视多媒体科技有限公司,0.5-1万/月,深圳-南山区,民营公司,1年经验,5,招1人,五险一金 绩效奖金 年终奖金 节日福利 带薪年假 高温补贴,50-150人
71,游戏,Unity3d开发工程师,U3D架构师,深圳国泰安教育技术有限公司,30-40万/年,深圳-南山区,合资,5-7年经验,6,招1人,五险一金 年终奖金 专业培训,500-1000人
72,游戏,Unity3d开发工程师,Unity3D中高级开发工程师,深圳市卓趣互娱科技有限公司,2-2.5万/月,深圳-南山区,民营公司,3-4年经验,6,招1人,年终奖金 年底双薪 六险一金 交通便利 团建多氛围好,50-150人
73,游戏,Unity3d开发工程师,Unity开发工程师,深圳市中视典数字科技有限公司,1.2-1.5万/月,深圳-南山区,民营公司,3-4年经验,6,招2人,五险一金 员工旅游 餐饮补贴 定期体检 绩效奖金 周末双休,150-500人
