,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,移动开发,Android开发工程师,Android开发工程师,成都博彦软件技术有限公司深圳分公司,1.7-2.2万/月,深圳-南山区,民营公司,3-4年经验,6,招5人,五险一金 弹性工作 节假日礼品,10000人以上
1,移动开发,Android开发工程师,Android开发工程师,深圳市天启旭达科技有限公司,1.8-2.5万/月,深圳-南山区,民营公司,5-7年经验,5,招1人,,50-150人
2,移动开发,Android开发工程师,Android开发工程师（自研项目）,深圳市易博天下科技有限公司,1.5-2.5万/月,深圳-南山区,上市公司,3-4年经验,6,招2人,五险一金 年终奖金 带薪年假 加班补贴 节日福利 周末双休,500-1000人
3,移动开发,Android开发工程师,Anroid 高级工程师,深圳市智阳软件有限公司,1.5-2万/月,深圳-宝安区,民营公司,2年经验,5,招2人,五险一金 员工旅游 年终奖金 股票期权,少于50人
4,移动开发,Android开发工程师,Android开发工程师,深圳市奇力电子有限公司,1-2万/月,深圳-宝安区,民营公司,3-4年经验,6,招1人,,150-500人
5,移动开发,Android开发工程师,Android开发工程师,南京翼海云峰软件技术有限公司,2-2.5万/月,深圳-龙岗区,民营公司,5-7年经验,6,招5人,,150-500人
6,移动开发,Android开发工程师,Android开发工程师,深圳市智慧盾科技有限公司,1.3-1.6万/月,深圳-南山区,民营公司,3-4年经验,5,招2人,五险一金 员工旅游 带薪年假 年终奖金 大型节日补贴,50-150人
7,移动开发,Android开发工程师,Android开发工程师,上海海万信息科技股份有限公司,1.5-2万/月,深圳,民营公司,3-4年经验,6,招若干人,五险一金 定期体检,1000-5000人
8,移动开发,Android开发工程师,Android开发工程师,深圳市点嘀互联网络有限公司,1-2万/月,深圳,民营公司,3-4年经验,5,招1人,五险一金 补充医疗保险 年终奖金 员工旅游 节假日福利 绩效奖金,50-150人
9,移动开发,Android开发工程师,Android开发工程师,深圳市华磊迅拓科技有限公司,1-2万/月,深圳-龙华区,民营公司,3-4年经验,5,招2人,五险一金 补充医疗保险 专业培训 绩效奖金 年终奖金 交通补贴 股票期权 定期体检 员工旅游 餐饮补贴,150-500人
10,移动开发,Android开发工程师,Android硬件工程师,深圳市利恩信息技术股份有限公司,1-2万/月,深圳-宝安区,上市公司,无需经验,6,招1人,员工旅游 年终奖金 五险一金 补充公积金 绩效奖金 弹性工作,150-500人
11,移动开发,Android开发工程师,Android开发工程师,深圳市睿服科技有限公司,1.5-2万/月,深圳-南山区,民营公司,5-7年经验,5,招2人,五险一金 补充医疗保险 员工旅游 交通补贴 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 员工体检,500-1000人
12,移动开发,Android开发工程师,Android中高级开发工程师,深圳市德科信息技术有限公司,1.2-1.8万/月,深圳-南山区,合资,3-4年经验,5,招10人,年终奖金 节日福利 绩效奖金 交通补贴 定期体检 员工旅游 六险一金,1000-5000人
13,移动开发,Android开发工程师,Android开发工程师,深圳市泰霖科技有限公司,1-1.5万/月,深圳-南山区,民营公司,1年经验,5,招5人,五险一金 员工旅游 年终奖金 定期体检 餐饮补贴,50-150人
14,移动开发,Android开发工程师,Android开发工程师,遍享信息技术（上海）有限公司,1.5-2万/月,深圳-南山区,民营公司,2年经验,,招2人,,150-500人
15,移动开发,Android开发工程师,Android开发工程师,武汉佰钧成技术有限责任公司,1.5-4万/月,深圳-龙华区,民营公司,2年经验,6,招2人,,10000人以上
