,big_category,small_category,job_name,company_name,salary,work_area,company_type,work_year,education,recruitment_scale,welfare,company_size
0,运维/技术支持,运维工程师,数据库服务工程师（统招学信网可查）,深圳华云信息系统有限公司,2-2.5万/月,深圳-南山区,民营公司,5-7年经验,5,招5人,,150-500人
1,运维/技术支持,运维工程师,运维工程师,深圳市君仁控股集团有限公司,1-1.5万/月,深圳-南山区,民营公司,2年经验,6,招1人,五险一金 入职即买社保 员工旅游 专业培训 绩效奖金 年终奖金 定期体检 周末双休,50-150人
2,运维/技术支持,运维工程师,运维工程师(双休）,锦师乐伯（北京）管理顾问有限公司,0.8-1.6万/月,深圳-福田区,民营公司,2年经验,5,招1人,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 定期体检 专业培训 年终奖金,1000-5000人
3,运维/技术支持,运维工程师,运维工程师,深圳市旗扬特种装备技术工程有限公司,0.7-1万/月,深圳-宝安区,民营公司,无需经验,5,招2人,五险一金 年终奖金 股票期权 员工旅游 弹性工作,少于50人
4,运维/技术支持,运维工程师,运维工程师,上海海万信息科技股份有限公司,1-1.5万/月,深圳-南山区,民营公司,3-4年经验,5,招若干人,五险一金 定期体检,1000-5000人
5,运维/技术支持,运维工程师,中级运维工程师,深圳市科联汇通科技有限公司,1-1.2万/月,深圳-南山区,民营公司,2年经验,5,招若干人,五险一金 员工旅游 交通补贴 年终奖金 周末双休,150-500人
6,运维/技术支持,运维工程师,运维工程师,深圳市神驼科技有限公司,1.8-2万/月,深圳-南山区,民营公司,3-4年经验,6,招若干人,五险一金 绩效奖金 年终奖金 弹性工作 定期体检 员工旅游,少于50人
7,运维/技术支持,运维工程师,OA运维管理员,深圳市达博威科技有限公司,0.7-1.5万/月,深圳-南山区,民营公司,1年经验,5,招5人,五险一金 年终奖金 下午茶 补充意外险 补充医疗保险 定期体检 员工旅游 绩效奖金,150-500人
8,运维/技术支持,运维工程师,IT运维工程师,影石创新科技股份有限公司,1-2万/月,深圳-南山区,民营公司,2年经验,5,招1人,五险一金 年终奖金 年底双薪 带薪年假 绩效奖金 节日福利,500-1000人
9,运维/技术支持,运维工程师,1141F9-运维高级工程师（数据中心）,平安科技（深圳）有限公司,20-30万/年,深圳-南山区,民营公司,3-4年经验,6,招2人,五险一金 带薪年假 绩效奖金 定期体检 节日福利,1000-5000人
10,运维/技术支持,运维工程师,IT运维/网络管理工程师,深圳趣途科技有限责任公司,0.8-1.5万/月,深圳-南山区,民营公司,3-4年经验,5,招1人,做五休二 周末双休 带薪年假 弹性工作 五险一金 绩效奖金 节日福利 专业培训,50-150人
11,运维/技术支持,运维工程师,IT运维工程师,深圳市图元科技有限公司,0.8-1.2万/月,深圳-南山区,上市公司,2年经验,6,招1人,五险一金 专业培训 定期体检 员工旅游,500-1000人
12,运维/技术支持,运维工程师,IT运维工程师,深圳创新科技术有限公司,1-2万/月,深圳-南山区,外资（欧美）,3-4年经验,5,招2人,五险一金 员工旅游 弹性工作 定期体检 周末双休 带薪年假 节日福利,150-500人
13,运维/技术支持,运维工程师,系统管理员,港华能源投资有限公司,0.8-1.5万/月,深圳-罗湖区,民营公司,3-4年经验,6,招1人,五险一金 补充医疗保险 通讯补贴 年终奖金 定期体检 员工旅游 周末双休 带薪年假 节日福利 专业培训,50-150人
14,运维/技术支持,运维工程师,运维工程师-物联网,深圳航天信息有限公司,1-1.5万/月,深圳-福田区,国企,2年经验,6,招1人,,500-1000人
15,运维/技术支持,运维工程师,IT桌面运维,武汉佰钧成技术有限责任公司,0.7-1.1万/月,深圳-南山区,民营公司,1年经验,5,招6人,五险一金 补充医疗保险 补充公积金 节假日福利,10000人以上
16,运维/技术支持,运维工程师,运维工程师,汕头市佳创信息科技有限公司,0.8-1万/月,深圳,民营公司,2年经验,5,招1人,五险一金 年终奖金 定期体检 周末双休,50-150人
